SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
kr	Global	1	1	1	0	0	0	504	1	
kr	Global	2	1	0	0	1	0	482	1	
kr	Global	3	1	0	1	0	0	394	1	
kr	Global	4	1	0	1	0	0	385	1	
kr	Global	5	1	1	1	1	0	637	1	
kr	Global	6	1	0	0	0	0	367	1	
kr	Global	7	1	1	0	1	1	683	1	
kr	Global	8	1	1	1	1	1	698	1	
kr	Global	9	1	1	0	1	0	150	0	
kr	Global	10	1	1	1	0	0	742	1	
kr	Global	11	1	1	0	0	0	491	1	
kr	Global	12	1	1	0	1	0	491	1	
kr	Global	13	1	1	0	0	0	492	1	
kr	Global	14	1	1	0	0	1	668	1	
kr	Global	15	1	0	0	1	0	521	1	
kr	Global	16	1	1	0	0	0	541	1	
kr	Global	17	1	1	1	1	1	643	1	
kr	Global	18	1	1	1	0	1	694	1	
kr	Global	19	1	0	0	0	1	413	1	
kr	Global	20	1	0	0	1	1	429	1	
kr	Global	21	1	0	1	0	1	566	1	
kr	Global	22	1	0	0	1	0	472	1	
kr	Global	23	1	1	1	0	0	703	1	
kr	Global	24	1	1	1	1	0	727	1	
kr	Global	25	1	0	1	0	1	747	1	
kr	Global	26	1	0	1	1	0	150	0	
kr	Global	27	1	0	0	0	0	457	1	
kr	Global	28	1	0	1	1	0	534	1	
kr	Global	29	1	0	1	0	0	379	1	
kr	Global	30	1	0	1	1	0	480	1	
kr	Global	31	1	1	0	1	0	424	1	
kr	Global	32	1	1	1	1	0	458	1	
kr	Local	1	1	0	1	0	1	1052	1	
kr	Local	2	1	0	1	1	1	468	1	
kr	Local	3	1	0	0	1	1	474	1	
kr	Local	4	1	1	1	1	0	681	1	
kr	Local	5	1	1	1	1	0	536	1	
kr	Local	6	1	1	1	0	0	415	1	
kr	Local	7	1	1	0	1	1	607	1	
kr	Local	8	1	1	0	1	0	468	1	
kr	Local	9	1	0	0	0	1	475	1	
kr	Local	10	1	1	1	1	0	425	1	
kr	Local	11	1	1	1	0	1	731	1	
kr	Local	12	1	0	1	0	1	599	1	
kr	Local	13	1	0	0	0	0	652	1	
kr	Local	14	1	0	0	0	0	1056	1	
kr	Local	15	1	1	0	1	0	489	1	
kr	Local	16	1	1	1	1	0	522	1	
kr	Local	17	1	0	0	1	0	455	1	
kr	Local	18	1	0	0	0	0	404	1	
kr	Local	19	1	1	1	1	1	706	1	
kr	Local	20	1	0	0	1	0	1051	1	
kr	Local	21	1	0	1	0	1	931	1	
kr	Local	22	1	1	0	1	0	902	1	
kr	Local	23	1	0	1	0	1	477	1	
kr	Local	24	1	0	1	0	0	564	1	
kr	Local	25	1	1	1	1	1	492	1	
kr	Local	26	1	1	0	0	0	412	1	
kr	Local	27	1	1	0	0	1	516	1	
kr	Local	28	1	0	0	0	0	400	1	
kr	Local	29	1	1	1	1	0	782	1	
kr	Local	30	1	0	1	0	1	625	1	
kr	Local	31	1	1	0	0	1	553	1	
kr	Local	32	1	0	0	1	0	425	1	
kr	Global	1	0	1	0	1	0	542	1	
kr	Global	2	0	0	0	0	0	501	1	
kr	Global	3	0	1	0	0	1	503	1	
kr	Global	4	0	0	1	0	1	704	1	
kr	Global	5	0	1	1	1	1	593	1	
kr	Global	6	0	1	0	1	1	430	1	
kr	Global	7	0	1	0	0	0	440	1	
kr	Global	8	0	1	0	1	1	523	1	
kr	Global	9	0	1	0	1	1	616	1	
kr	Global	10	0	0	1	1	1	150	0	
kr	Global	11	0	0	1	1	0	673	1	
kr	Global	12	0	1	1	1	1	774	1	
kr	Global	13	0	1	0	1	1	431	1	
kr	Global	14	0	1	1	0	1	657	1	
kr	Global	15	0	1	1	0	0	533	1	
kr	Global	16	0	0	0	0	1	586	1	
kr	Global	17	0	0	0	1	1	533	1	
kr	Global	18	0	1	1	0	0	946	1	
kr	Global	19	0	1	0	0	1	607	1	
kr	Global	20	0	1	0	1	0	508	1	
kr	Global	21	0	1	0	0	1	528	1	
kr	Global	22	0	1	1	1	0	469	1	
kr	Global	23	0	0	1	1	1	651	1	
kr	Global	24	0	0	0	0	0	823	1	
kr	Global	25	0	1	0	0	0	439	1	
kr	Global	26	0	1	0	1	1	602	1	
kr	Global	27	0	1	1	1	0	703	1	
kr	Global	28	0	0	1	0	0	1288	1	
kr	Global	29	0	0	1	0	0	1260	1	
kr	Global	30	0	1	1	0	1	556	1	
kr	Global	31	0	1	1	1	1	589	1	
kr	Global	32	0	0	1	0	0	552	1	
kr	Local	1	0	1	1	1	1	150	0	
kr	Local	2	0	0	0	1	1	1470	1	
kr	Local	3	0	1	0	0	0	839	1	
kr	Local	4	0	1	0	1	0	536	1	
kr	Local	5	0	1	1	1	0	671	1	
kr	Local	6	0	1	1	1	1	804	1	
kr	Local	7	0	1	0	0	0	616	1	
kr	Local	8	0	0	1	1	0	711	1	
kr	Local	9	0	1	1	0	1	666	1	
kr	Local	10	0	0	0	1	1	519	1	
kr	Local	11	0	1	1	1	0	150	0	
kr	Local	12	0	0	1	1	0	950	1	
kr	Local	13	0	0	0	0	1	802	1	
kr	Local	14	0	0	0	1	1	791	1	
kr	Local	15	0	1	1	0	1	665	1	
kr	Local	16	0	0	1	1	1	703	1	
kr	Local	17	0	1	0	0	0	663	1	
kr	Local	18	0	1	1	0	0	595	1	
kr	Local	19	0	1	1	0	1	936	1	
kr	Local	20	0	0	0	1	1	867	1	
kr	Local	21	0	1	0	1	1	520	1	
kr	Local	22	0	0	0	0	0	603	1	
kr	Local	23	0	0	1	0	1	752	1	
kr	Local	24	0	1	1	0	1	1408	1	
