SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ks175	Global	1	0	0	1	0	1	995	1	
ks175	Global	2	0	0	1	0	0	540	1	
ks175	Global	3	0	1	1	0	1	539	1	
ks175	Global	4	0	1	0	1	0	442	1	
ks175	Global	5	0	0	0	1	0	1461	1	
ks175	Global	6	0	0	0	0	0	508	1	
ks175	Global	7	0	0	1	1	1	568	1	
ks175	Global	8	0	1	0	0	1	546	1	
ks175	Global	9	0	1	0	1	0	520	1	
ks175	Global	10	0	1	0	0	0	150	0	
ks175	Global	11	0	1	0	0	1	563	1	
ks175	Global	12	0	0	1	1	0	507	1	
ks175	Global	13	0	0	1	1	0	599	1	
ks175	Global	14	0	1	0	1	1	516	1	
ks175	Global	15	0	1	1	0	0	527	1	
ks175	Global	16	0	1	0	0	0	461	1	
ks175	Global	17	0	1	1	1	0	481	1	
ks175	Global	18	0	0	1	0	0	498	1	
ks175	Global	19	0	1	1	1	0	515	1	
ks175	Global	20	0	0	0	1	0	495	1	
ks175	Global	21	0	1	0	0	1	457	1	
ks175	Global	22	0	0	0	1	1	446	1	
ks175	Global	23	0	0	0	0	1	441	1	
ks175	Global	24	0	0	1	0	0	524	1	
ks175	Global	25	0	0	0	1	0	529	1	
ks175	Global	26	0	1	1	1	1	598	1	
ks175	Global	27	0	1	1	0	0	475	1	
ks175	Global	28	0	0	0	1	0	522	1	
ks175	Global	29	0	1	1	1	1	535	1	
ks175	Global	30	0	0	0	0	1	428	1	
ks175	Global	31	0	1	1	1	1	526	1	
ks175	Global	32	0	1	1	0	0	459	1	
ks175	Local	1	0	1	1	1	1	807	1	
ks175	Local	2	0	1	1	0	1	684	1	
ks175	Local	3	0	0	1	1	0	667	1	
ks175	Local	4	0	0	0	1	1	536	1	
ks175	Local	5	0	1	0	1	1	591	1	
ks175	Local	6	0	0	0	0	0	434	1	
ks175	Local	7	0	1	0	0	0	492	1	
ks175	Local	8	0	0	1	0	1	468	1	
ks175	Local	9	0	1	0	1	0	523	1	
ks175	Local	10	0	0	1	0	0	656	1	
ks175	Local	11	0	0	1	1	0	668	1	
ks175	Local	12	0	1	1	1	0	649	1	
ks175	Local	13	0	1	0	0	1	547	1	
ks175	Local	14	0	1	0	1	1	546	1	
ks175	Local	15	0	0	1	1	1	593	1	
ks175	Local	16	0	1	0	0	1	580	1	
ks175	Local	17	0	1	1	0	1	640	1	
ks175	Local	18	0	1	0	1	1	554	1	
ks175	Local	19	0	0	1	0	1	506	1	
ks175	Local	20	0	0	1	1	0	676	1	
ks175	Local	21	0	1	0	1	1	610	1	
ks175	Local	22	0	1	1	1	1	553	1	
ks175	Local	23	0	1	0	0	1	577	1	
ks175	Local	24	0	1	0	0	0	771	1	
ks175	Local	25	0	1	1	1	1	612	1	
ks175	Local	26	0	0	0	1	0	715	1	
ks175	Local	27	0	0	0	0	0	565	1	
ks175	Local	28	0	1	1	0	0	495	1	
