SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
lat155	Global	1	0	1	1	0	1	512	1	
lat155	Global	2	0	1	0	0	0	459	1	
lat155	Global	3	0	1	0	1	1	400	1	
lat155	Global	4	0	0	0	0	0	502	1	
lat155	Global	5	0	1	0	0	1	496	1	
lat155	Global	6	0	1	1	1	1	394	1	
lat155	Global	7	0	0	1	1	1	408	1	
lat155	Global	8	0	1	1	0	0	464	1	
lat155	Global	9	0	0	1	1	1	335	1	
lat155	Global	10	0	1	0	1	0	558	1	
lat155	Global	11	0	0	0	1	1	343	1	
lat155	Global	12	0	1	0	1	1	431	1	
lat155	Global	13	0	1	0	0	0	309	1	
lat155	Global	14	0	0	0	0	1	370	1	
lat155	Global	15	0	0	0	0	1	421	1	
lat155	Global	16	0	1	1	0	1	336	1	
lat155	Global	17	0	0	1	0	1	472	1	
lat155	Global	18	0	0	0	0	1	390	1	
lat155	Global	19	0	0	1	1	1	435	1	
lat155	Global	20	0	0	1	0	0	565	1	
lat155	Global	21	0	0	0	1	1	423	1	
lat155	Global	22	0	0	1	0	0	480	1	
lat155	Global	23	0	0	0	1	1	448	1	
lat155	Global	24	0	0	1	1	1	388	1	
lat155	Global	25	0	0	1	1	0	150	0	
lat155	Global	26	0	1	1	1	0	451	1	
lat155	Global	27	0	0	1	1	1	440	1	
lat155	Global	28	0	0	1	0	1	396	1	
lat155	Global	29	0	1	0	1	1	330	1	
lat155	Global	30	0	1	0	1	0	336	1	
lat155	Global	31	0	1	1	0	1	400	1	
lat155	Global	32	0	1	0	0	0	374	1	
lat155	Local	1	0	1	1	1	1	956	1	
lat155	Local	2	0	0	1	0	0	706	1	
lat155	Local	3	0	1	0	0	1	811	1	
lat155	Local	4	0	0	0	0	0	385	1	
lat155	Local	5	0	0	1	1	1	534	1	
lat155	Local	6	0	0	1	0	0	659	1	
lat155	Local	7	0	1	0	1	0	551	1	
lat155	Local	8	0	0	0	1	0	399	1	
lat155	Local	9	0	1	0	0	1	493	1	
lat155	Local	10	0	0	0	0	0	407	1	
lat155	Local	11	0	0	1	0	1	551	1	
lat155	Local	12	0	0	0	1	1	150	0	
lat155	Local	13	0	0	0	1	0	871	1	
lat155	Local	14	0	1	0	0	1	668	1	
