SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ll126	Global	1	0	0	0	0	0	1006	1	
ll126	Global	2	0	1	1	1	1	1369	1	
ll126	Global	3	0	0	0	1	1	1431	1	
ll126	Global	4	0	1	0	1	0	611	1	
ll126	Global	5	0	0	0	1	0	938	1	
ll126	Global	6	0	0	1	0	1	878	1	
ll126	Global	7	0	0	0	0	1	1699	1	
ll126	Global	8	0	0	1	0	1	1485	1	
ll126	Global	9	0	1	1	0	1	591	1	
ll126	Global	10	0	0	1	0	0	1115	1	
ll126	Global	11	0	1	0	0	0	1027	1	
ll126	Global	12	0	1	0	0	1	1833	1	
ll126	Global	13	0	1	0	1	0	1283	1	
ll126	Global	14	0	1	0	1	1	1071	1	
ll126	Global	15	0	1	1	0	1	1067	1	
ll126	Global	16	0	1	0	1	1	876	1	
ll126	Global	17	0	0	1	1	1	881	1	
ll126	Global	18	0	1	1	1	0	847	1	
ll126	Global	19	0	1	1	1	0	896	1	
ll126	Global	20	0	1	0	1	0	432	1	
ll126	Global	21	0	1	0	1	1	457	1	
ll126	Global	22	0	0	0	0	1	598	1	
ll126	Global	23	0	0	1	0	1	1131	1	
ll126	Global	24	0	0	1	0	1	477	1	
ll126	Global	25	0	1	1	1	1	611	1	
ll126	Global	26	0	0	0	0	1	922	1	
ll126	Global	27	0	0	1	1	1	492	1	
ll126	Global	28	0	1	1	1	0	412	1	
ll126	Global	29	0	0	0	0	0	444	1	
ll126	Global	30	0	0	1	1	1	543	1	
ll126	Global	31	0	1	1	0	0	1078	1	
ll126	Global	32	0	0	0	0	1	769	1	
ll126	Local	1	0	1	0	1	1	1043	1	
ll126	Local	2	0	0	1	0	1	1443	1	
ll126	Local	3	0	0	1	0	1	841	1	
ll126	Local	4	0	0	1	1	0	738	1	
ll126	Local	5	0	0	1	0	0	1063	1	
ll126	Local	6	0	1	1	1	0	641	1	
ll126	Local	7	0	1	0	0	0	891	1	
ll126	Local	8	0	0	0	0	0	897	1	
ll126	Local	9	0	1	0	0	1	825	1	
ll126	Local	10	0	0	1	1	1	1096	1	
ll126	Local	11	0	1	0	0	1	1327	1	
ll126	Local	12	0	0	0	1	0	912	1	
