SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
lp139	Global	1	0	0	1	0	0	503	1	
lp139	Global	2	0	0	0	0	1	150	0	
lp139	Global	3	0	0	0	0	0	150	0	
lp139	Global	4	0	1	1	0	1	652	1	
lp139	Global	5	0	1	1	0	1	480	1	
lp139	Global	6	0	0	1	1	1	504	1	
lp139	Global	7	0	1	0	1	1	402	1	
lp139	Global	8	0	0	0	0	0	528	1	
lp139	Global	9	0	0	0	1	1	597	1	
lp139	Global	10	0	1	1	1	1	459	1	
lp139	Global	11	0	0	1	0	0	495	1	
lp139	Global	12	0	1	1	0	1	481	1	
lp139	Global	13	0	1	1	1	1	513	1	
lp139	Global	14	0	0	0	0	1	413	1	
lp139	Global	15	0	1	0	0	0	397	1	
lp139	Global	16	0	0	1	0	0	523	1	
lp139	Global	17	0	1	1	1	0	312	1	
lp139	Global	18	0	0	1	0	1	150	0	
lp139	Global	19	0	0	1	1	0	657	1	
lp139	Global	20	0	0	0	0	0	381	1	
lp139	Global	21	0	1	1	1	0	562	1	
lp139	Global	22	0	1	0	1	0	442	1	
lp139	Global	23	0	0	0	1	1	469	1	
lp139	Global	24	0	0	0	1	1	396	1	
lp139	Global	25	0	1	0	1	1	578	1	
lp139	Global	26	0	1	1	1	0	468	1	
lp139	Global	27	0	0	1	1	1	539	1	
lp139	Global	28	0	0	1	0	1	425	1	
lp139	Global	29	0	1	0	0	0	451	1	
lp139	Global	30	0	0	0	1	0	150	0	
lp139	Global	31	0	1	0	1	0	397	1	
lp139	Global	32	0	0	0	0	1	603	1	
lp139	Local	1	0	1	0	1	0	150	0	
lp139	Local	2	0	0	1	1	1	815	1	
lp139	Local	3	0	1	0	1	0	525	1	
lp139	Local	4	0	1	1	1	0	554	1	
lp139	Local	5	0	0	0	1	1	522	1	
lp139	Local	6	0	1	0	0	0	527	1	
lp139	Local	7	0	0	1	1	1	468	1	
lp139	Local	8	0	0	1	1	0	587	1	
lp139	Local	9	0	1	1	1	1	526	1	
lp139	Local	10	0	0	1	0	0	436	1	
lp139	Local	11	0	0	0	1	1	423	1	
lp139	Local	12	0	0	0	0	0	408	1	
lp139	Local	13	0	0	0	1	1	384	1	
lp139	Local	14	0	1	1	0	1	597	1	
lp139	Local	15	0	0	0	0	0	458	1	
lp139	Local	16	0	0	1	1	0	631	1	
lp139	Local	17	0	0	0	0	0	376	1	
lp139	Local	18	0	1	1	0	1	595	1	
lp139	Local	19	0	1	1	0	0	704	1	
lp139	Local	20	0	0	1	0	1	393	1	
lp139	Local	21	0	0	1	1	0	527	1	
lp139	Local	22	0	0	0	0	0	428	1	
lp139	Local	23	0	0	0	0	1	574	1	
lp139	Local	24	0	0	0	1	0	416	1	
lp139	Local	25	0	1	1	0	1	416	1	
lp139	Local	26	0	0	0	0	1	448	1	
lp139	Local	27	0	0	0	1	0	411	1	
lp139	Local	28	0	0	1	0	0	643	1	
lp139	Local	29	0	0	0	1	1	301	1	
lp139	Local	30	0	0	0	0	0	392	1	
lp139	Local	31	0	1	1	1	1	462	1	
lp139	Local	32	0	0	1	0	1	419	1	
lp139	Global	1	1	0	1	0	0	150	0	
lp139	Global	2	1	1	0	1	0	721	1	
lp139	Global	3	1	0	1	1	0	427	1	
lp139	Global	4	1	0	0	0	1	413	1	
lp139	Global	5	1	0	1	1	0	150	0	
lp139	Global	6	1	0	0	0	0	523	1	
lp139	Global	7	1	1	1	1	0	150	0	
lp139	Global	8	1	1	1	0	0	504	1	
lp139	Global	9	1	0	0	1	0	410	1	
lp139	Global	10	1	1	0	0	0	354	1	
lp139	Global	11	1	1	0	0	1	443	1	
lp139	Global	12	1	0	1	1	1	559	1	
lp139	Global	13	1	0	0	0	0	471	1	
lp139	Global	14	1	1	0	0	1	397	1	
lp139	Global	15	1	1	1	0	0	588	1	
lp139	Global	16	1	0	1	1	0	424	1	
lp139	Global	17	1	1	0	1	0	417	1	
lp139	Global	18	1	0	1	0	1	521	1	
lp139	Global	19	1	0	0	1	0	445	1	
lp139	Global	20	1	0	1	1	1	488	1	
lp139	Global	21	1	0	0	1	0	376	1	
lp139	Global	22	1	0	1	0	1	467	1	
lp139	Global	23	1	0	1	0	1	673	1	
lp139	Global	24	1	0	0	0	0	383	1	
lp139	Global	25	1	1	1	1	0	476	1	
lp139	Global	26	1	0	1	1	1	322	1	
lp139	Global	27	1	1	0	1	0	456	1	
lp139	Global	28	1	1	0	1	0	437	1	
lp139	Global	29	1	0	1	0	1	241	1	
lp139	Global	30	1	0	0	1	0	405	1	
lp139	Global	31	1	1	1	0	0	571	1	
lp139	Global	32	1	1	0	0	0	429	1	
lp139	Local	1	1	1	0	0	0	720	1	
lp139	Local	2	1	1	0	0	0	394	1	
lp139	Local	3	1	1	0	1	1	345	1	
lp139	Local	4	1	0	1	1	1	464	1	
lp139	Local	5	1	1	0	1	0	535	1	
lp139	Local	6	1	0	1	1	0	628	1	
lp139	Local	7	1	1	1	1	1	445	1	
lp139	Local	8	1	1	0	0	0	400	1	
lp139	Local	9	1	0	0	0	0	358	1	
lp139	Local	10	1	1	1	0	0	368	1	
lp139	Local	11	1	0	0	1	0	371	1	
lp139	Local	12	1	0	1	1	1	318	1	
lp139	Local	13	1	0	1	1	0	330	1	
lp139	Local	14	1	0	0	0	0	312	1	
lp139	Local	15	1	1	1	1	0	373	1	
lp139	Local	16	1	1	1	1	0	424	1	
lp139	Local	17	1	0	0	0	0	346	1	
lp139	Local	18	1	1	1	0	0	433	1	
lp139	Local	19	1	1	0	1	0	379	1	
lp139	Local	20	1	1	0	1	0	360	1	
lp139	Local	21	1	1	0	1	0	273	1	
lp139	Local	22	1	0	1	0	1	329	1	
lp139	Local	23	1	0	1	0	0	327	1	
lp139	Local	24	1	1	0	1	1	333	1	
lp139	Local	25	1	1	0	1	0	395	1	
lp139	Local	26	1	1	1	0	0	410	1	
lp139	Local	27	1	1	0	0	1	370	1	
lp139	Local	28	1	1	1	0	1	365	1	
lp139	Local	29	1	0	1	1	0	416	1	
lp139	Local	30	1	1	0	0	0	361	1	
lp139	Local	31	1	0	1	0	1	347	1	
lp139	Local	32	1	0	1	0	0	362	1	
