SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ls136	Global	1	0	0	0	0	0	367	1	
ls136	Global	2	0	1	0	0	1	386	1	
ls136	Global	3	0	1	0	1	0	327	1	
ls136	Global	4	0	1	1	1	1	397	1	
ls136	Global	5	0	1	1	0	0	331	1	
ls136	Global	6	0	1	1	0	0	393	1	
ls136	Global	7	0	0	0	1	1	280	1	
ls136	Global	8	0	1	0	1	1	305	1	
ls136	Global	9	0	1	0	0	1	356	1	
ls136	Global	10	0	1	0	1	0	373	1	
ls136	Global	11	0	1	1	0	0	440	1	
ls136	Global	12	0	1	1	0	1	403	1	
ls136	Global	13	0	1	1	0	0	402	1	
ls136	Global	14	0	1	1	1	1	392	1	
ls136	Global	15	0	0	1	0	0	373	1	
ls136	Global	16	0	0	1	1	0	360	1	
ls136	Global	17	0	0	0	0	1	377	1	
ls136	Global	18	0	0	0	0	1	348	1	
ls136	Global	19	0	1	0	1	0	356	1	
ls136	Global	20	0	1	0	1	1	302	1	
ls136	Global	21	0	1	1	1	0	376	1	
ls136	Global	22	0	0	1	0	1	347	1	
ls136	Global	23	0	1	1	1	0	299	1	
ls136	Global	24	0	1	1	1	0	430	1	
ls136	Global	25	0	1	0	1	1	296	1	
ls136	Global	26	0	0	0	0	0	363	1	
ls136	Global	27	0	1	1	0	0	364	1	
ls136	Global	28	0	0	0	0	0	311	1	
ls136	Global	29	0	0	0	0	1	348	1	
ls136	Global	30	0	0	1	1	0	355	1	
ls136	Global	31	0	0	0	1	0	333	1	
ls136	Global	32	0	0	1	1	0	315	1	
ls136	Local	1	0	1	1	1	1	457	1	
ls136	Local	2	0	0	0	1	1	485	1	
ls136	Local	3	0	1	1	0	1	406	1	
ls136	Local	4	0	0	1	0	0	150	0	
ls136	Local	5	0	1	0	0	0	455	1	
ls136	Local	6	0	0	1	0	1	524	1	
ls136	Local	7	0	0	1	0	0	553	1	
ls136	Local	8	0	1	1	0	0	521	1	
ls136	Local	9	0	1	0	0	0	501	1	
ls136	Local	10	0	1	0	0	1	383	1	
ls136	Local	11	0	1	0	1	1	523	1	
ls136	Local	12	0	1	0	0	1	560	1	
ls136	Local	13	0	0	0	0	0	449	1	
ls136	Local	14	0	0	1	1	0	516	1	
ls136	Local	15	0	0	1	1	1	367	1	
ls136	Local	16	0	1	0	0	0	362	1	
ls136	Local	17	0	1	1	0	0	396	1	
ls136	Local	18	0	1	0	1	1	314	1	
ls136	Local	19	0	0	1	0	0	447	1	
ls136	Local	20	0	1	0	0	1	362	1	
ls136	Local	21	0	1	0	1	1	507	1	
ls136	Local	22	0	1	0	1	1	399	1	
ls136	Local	23	0	1	1	1	1	485	1	
ls136	Local	24	0	0	1	1	1	485	1	
ls136	Local	25	0	1	1	0	0	150	0	
ls136	Local	26	0	1	0	0	1	547	1	
ls136	Local	27	0	0	1	1	0	449	1	
ls136	Local	28	0	0	0	1	0	332	1	
ls136	Local	29	0	1	0	1	0	459	1	
ls136	Local	30	0	0	1	1	0	544	1	
ls136	Local	31	0	0	0	1	1	398	1	
ls136	Local	32	0	1	1	1	1	525	1	
ls136	Global	1	1	1	0	1	1	562	1	
ls136	Global	2	1	0	0	0	1	402	1	
ls136	Global	3	1	0	1	1	1	150	0	
ls136	Global	4	1	1	1	1	1	530	1	
ls136	Global	5	1	1	0	0	0	447	1	
ls136	Global	6	1	1	1	0	0	150	0	
ls136	Global	7	1	0	0	0	1	459	1	
ls136	Global	8	1	1	1	1	0	624	1	
ls136	Global	9	1	1	0	1	1	576	1	
ls136	Global	10	1	1	1	1	1	1186	1	
ls136	Global	11	1	1	1	0	1	530	1	
ls136	Global	12	1	1	1	0	0	150	0	
ls136	Global	13	1	0	0	1	1	505	1	
ls136	Global	14	1	1	0	0	1	467	1	
ls136	Global	15	1	0	0	1	1	417	1	
ls136	Global	16	1	1	1	0	1	481	1	
ls136	Global	17	1	0	1	1	0	378	1	
ls136	Global	18	1	1	1	0	1	597	1	
ls136	Global	19	1	0	1	0	0	490	1	
ls136	Global	20	1	1	1	1	1	150	0	
ls136	Global	21	1	1	1	1	0	635	1	
ls136	Global	22	1	0	0	0	1	435	1	
ls136	Global	23	1	0	0	1	0	470	1	
ls136	Global	24	1	0	1	0	1	717	1	
ls136	Global	25	1	1	1	1	0	559	1	
ls136	Global	26	1	1	0	0	0	552	1	
ls136	Global	27	1	0	1	0	1	624	1	
ls136	Global	28	1	0	0	0	1	457	1	
ls136	Global	29	1	0	0	0	1	365	1	
ls136	Global	30	1	0	0	1	1	320	1	
ls136	Global	31	1	0	0	1	0	423	1	
ls136	Global	32	1	1	0	1	0	504	1	
ls136	Local	1	1	0	1	1	1	374	1	
ls136	Local	2	1	1	1	0	1	329	1	
ls136	Local	3	1	0	1	0	0	392	1	
ls136	Local	4	1	1	1	1	1	348	1	
ls136	Local	5	1	0	0	0	0	372	1	
ls136	Local	6	1	0	0	1	1	335	1	
ls136	Local	7	1	1	0	0	1	311	1	
ls136	Local	8	1	0	0	1	1	323	1	
ls136	Local	9	1	1	0	1	0	298	1	
ls136	Local	10	1	0	1	1	0	348	1	
ls136	Local	11	1	1	0	0	0	300	1	
ls136	Local	12	1	1	0	1	0	311	1	
ls136	Local	13	1	1	0	1	0	324	1	
ls136	Local	14	1	0	1	0	0	298	1	
ls136	Local	15	1	0	0	0	0	285	1	
ls136	Local	16	1	0	0	0	0	262	1	
ls136	Local	17	1	0	0	0	0	340	1	
ls136	Local	18	1	0	0	1	0	292	1	
ls136	Local	19	1	1	1	1	1	351	1	
ls136	Local	20	1	1	1	0	1	344	1	
ls136	Local	21	1	0	1	1	1	336	1	
ls136	Local	22	1	1	1	0	0	336	1	
ls136	Local	23	1	0	1	0	1	150	0	
ls136	Local	24	1	1	1	1	0	391	1	
ls136	Local	25	1	1	1	0	0	452	1	
ls136	Local	26	1	1	0	0	0	305	1	
ls136	Local	27	1	1	0	1	0	364	1	
ls136	Local	28	1	0	1	1	0	367	1	
ls136	Local	29	1	0	1	0	1	410	1	
ls136	Local	30	1	1	0	0	0	378	1	
ls136	Local	31	1	1	1	1	1	398	1	
ls136	Local	32	1	1	0	1	0	389	1	
