SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
lt192	Global	1	1	1	1	1	1	906	1	
lt192	Global	2	1	0	0	1	1	474	1	
lt192	Global	3	1	1	1	1	1	457	1	
lt192	Global	4	1	1	0	0	0	414	1	
lt192	Global	5	1	0	0	1	0	430	1	
lt192	Global	6	1	1	1	0	0	535	1	
lt192	Global	7	1	0	1	0	0	532	1	
lt192	Global	8	1	0	0	1	0	417	1	
lt192	Global	9	1	0	1	1	0	593	1	
lt192	Global	10	1	1	1	1	1	150	0	
lt192	Global	11	1	0	1	0	0	668	1	
lt192	Global	12	1	0	0	1	0	529	1	
lt192	Global	13	1	0	1	1	1	526	1	
lt192	Global	14	1	1	0	0	0	467	1	
lt192	Global	15	1	0	1	1	0	570	1	
lt192	Global	16	1	1	0	1	0	460	1	
lt192	Global	17	1	0	0	0	0	569	1	
lt192	Global	18	1	1	1	0	1	443	1	
lt192	Global	19	1	0	0	1	0	422	1	
lt192	Global	20	1	0	1	0	1	416	1	
lt192	Global	21	1	0	0	0	0	448	1	
lt192	Global	22	1	1	0	0	1	307	1	
lt192	Global	23	1	1	0	1	0	415	1	
lt192	Global	24	1	1	1	1	0	511	1	
lt192	Global	25	1	1	1	0	1	387	1	
lt192	Global	26	1	1	1	0	1	664	1	
lt192	Global	27	1	0	0	0	1	355	1	
lt192	Global	28	1	1	0	0	1	517	1	
lt192	Global	29	1	0	0	0	1	456	1	
lt192	Global	30	1	0	0	1	0	405	1	
lt192	Global	31	1	1	1	1	1	523	1	
lt192	Global	32	1	1	1	0	1	793	1	
lt192	Local	1	1	0	1	1	1	484	1	
lt192	Local	2	1	1	0	0	1	460	1	
lt192	Local	3	1	1	0	0	1	488	1	
lt192	Local	4	1	1	1	0	1	425	1	
lt192	Local	5	1	0	0	0	1	418	1	
lt192	Local	6	1	1	0	0	1	442	1	
lt192	Local	7	1	1	0	1	0	486	1	
lt192	Local	8	1	0	0	1	0	438	1	
lt192	Local	9	1	1	1	0	0	625	1	
lt192	Local	10	1	0	0	0	0	490	1	
lt192	Local	11	1	1	1	0	1	442	1	
lt192	Local	12	1	0	1	0	0	429	1	
lt192	Local	13	1	1	1	0	0	447	1	
lt192	Local	14	1	1	1	1	0	434	1	
lt192	Local	15	1	0	1	1	0	411	1	
lt192	Local	16	1	1	0	0	1	371	1	
lt192	Local	17	1	0	1	1	1	366	1	
lt192	Local	18	1	1	1	1	1	441	1	
lt192	Local	19	1	1	1	0	0	373	1	
lt192	Local	20	1	1	1	1	1	424	1	
lt192	Local	21	1	1	0	1	0	353	1	
lt192	Local	22	1	1	0	0	0	395	1	
lt192	Local	23	1	1	0	1	0	393	1	
lt192	Local	24	1	0	1	0	1	360	1	
lt192	Local	25	1	1	1	1	1	150	0	
lt192	Local	26	1	1	0	1	0	352	1	
lt192	Local	27	1	1	1	0	0	513	1	
lt192	Local	28	1	0	0	1	0	429	1	
lt192	Local	29	1	1	0	1	1	374	1	
lt192	Local	30	1	1	0	1	1	569	1	
lt192	Local	31	1	1	1	1	1	483	1	
lt192	Local	32	1	1	0	0	1	371	1	
lt192	Global	1	0	1	0	1	1	399	1	
lt192	Global	2	0	1	1	0	0	389	1	
lt192	Global	3	0	1	1	0	0	482	1	
lt192	Global	4	0	0	0	0	0	402	1	
lt192	Global	5	0	1	1	1	0	945	1	
lt192	Global	6	0	1	0	0	0	453	1	
lt192	Global	7	0	0	0	0	1	410	1	
lt192	Global	8	0	0	0	0	0	338	1	
lt192	Global	9	0	0	0	0	0	426	1	
lt192	Global	10	0	0	1	0	0	419	1	
lt192	Global	11	0	0	1	1	1	363	1	
lt192	Global	12	0	0	1	1	0	373	1	
lt192	Global	13	0	0	1	0	1	480	1	
lt192	Global	14	0	0	1	1	0	480	1	
lt192	Global	15	0	1	1	0	1	424	1	
lt192	Global	16	0	0	1	1	0	370	1	
lt192	Global	17	0	1	0	1	1	261	1	
lt192	Global	18	0	0	0	0	1	435	1	
lt192	Global	19	0	1	1	0	1	150	0	
lt192	Global	20	0	0	1	1	0	636	1	
lt192	Global	21	0	0	1	0	0	461	1	
lt192	Global	22	0	0	0	0	1	418	1	
lt192	Global	23	0	0	0	0	0	386	1	
lt192	Global	24	0	0	1	0	1	254	1	
lt192	Global	25	0	0	0	1	0	364	1	
lt192	Global	26	0	0	0	1	1	319	1	
lt192	Global	27	0	0	0	1	1	476	1	
lt192	Global	28	0	0	1	1	0	346	1	
lt192	Global	29	0	1	1	1	1	322	1	
lt192	Global	30	0	0	0	1	1	150	0	
lt192	Global	31	0	0	0	1	0	350	1	
lt192	Global	32	0	0	0	1	1	328	1	
lt192	Local	1	0	1	0	0	0	465	1	
lt192	Local	2	0	1	0	0	0	432	1	
lt192	Local	3	0	1	0	0	1	369	1	
lt192	Local	4	0	1	1	0	1	612	1	
lt192	Local	5	0	1	1	1	1	571	1	
lt192	Local	6	0	0	1	0	1	445	1	
lt192	Local	7	0	0	0	1	0	312	1	
lt192	Local	8	0	1	0	0	1	373	1	
lt192	Local	9	0	0	1	1	1	456	1	
lt192	Local	10	0	0	0	1	1	445	1	
lt192	Local	11	0	0	1	0	1	392	1	
lt192	Local	12	0	1	0	0	1	397	1	
lt192	Local	13	0	0	0	1	0	659	1	
lt192	Local	14	0	0	0	1	0	639	1	
lt192	Local	15	0	0	1	1	0	625	1	
lt192	Local	16	0	0	0	1	1	466	1	
lt192	Local	17	0	1	1	1	1	496	1	
lt192	Local	18	0	1	1	0	1	522	1	
lt192	Local	19	0	0	0	1	1	391	1	
lt192	Local	20	0	1	1	0	1	412	1	
lt192	Local	21	0	0	1	0	0	468	1	
lt192	Local	22	0	0	0	0	0	150	0	
lt192	Local	23	0	0	1	0	0	679	1	
lt192	Local	24	0	1	1	1	0	525	1	
lt192	Local	25	0	1	0	0	1	386	1	
lt192	Local	26	0	1	1	1	1	422	1	
lt192	Local	27	0	1	1	1	1	472	1	
lt192	Local	28	0	1	0	1	1	502	1	
lt192	Local	29	0	1	0	1	0	656	1	
lt192	Local	30	0	1	1	0	1	404	1	
lt192	Local	31	0	0	1	1	0	346	1	
lt192	Local	32	0	1	0	0	0	482	1	
