SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
lw120	Global	1	0	1	0	1	1	933	1	
lw120	Global	2	0	0	1	1	0	632	1	
lw120	Global	3	0	0	1	0	0	1041	1	
lw120	Global	4	0	1	1	0	0	713	1	
lw120	Global	5	0	1	1	1	1	635	1	
lw120	Global	6	0	1	1	0	0	1652	1	
lw120	Global	7	0	0	0	0	0	880	1	
lw120	Global	8	0	0	1	1	0	837	1	
lw120	Global	9	0	0	1	1	0	620	1	
lw120	Global	10	0	0	0	1	0	595	1	
lw120	Global	11	0	1	0	1	1	736	1	
lw120	Global	12	0	0	1	1	0	748	1	
lw120	Global	13	0	0	0	1	0	722	1	
lw120	Global	14	0	0	1	0	0	588	1	
lw120	Global	15	0	1	1	1	0	584	1	
lw120	Global	16	0	0	0	1	0	716	1	
lw120	Global	17	0	1	1	0	1	678	1	
lw120	Global	18	0	1	1	1	1	627	1	
lw120	Global	19	0	0	0	1	0	916	1	
lw120	Global	20	0	1	0	0	1	669	1	
lw120	Global	21	0	0	1	0	0	603	1	
lw120	Global	22	0	1	0	1	1	928	1	
lw120	Global	23	0	1	0	0	0	587	1	
lw120	Global	24	0	0	1	1	1	846	1	
lw120	Global	25	0	0	0	1	0	927	1	
lw120	Global	26	0	0	0	0	1	594	1	
lw120	Global	27	0	0	0	0	1	672	1	
lw120	Global	28	0	1	0	0	1	661	1	
lw120	Global	29	0	1	0	0	1	561	1	
lw120	Global	30	0	1	1	0	1	545	1	
lw120	Global	31	0	0	1	0	0	512	1	
lw120	Global	32	0	0	0	0	1	555	1	
lw120	Local	1	0	1	1	1	0	936	1	
lw120	Local	2	0	1	0	1	0	971	1	
lw120	Local	3	0	0	0	1	1	1603	1	
lw120	Local	4	0	0	1	0	0	955	1	
lw120	Local	5	0	0	0	0	0	150	0	
lw120	Local	6	0	0	0	0	0	640	1	
lw120	Local	7	0	0	1	1	1	794	1	
lw120	Local	8	0	0	0	1	1	686	1	
lw120	Local	9	0	1	0	0	0	558	1	
lw120	Local	10	0	0	1	1	0	862	1	
lw120	Local	11	0	1	0	1	0	697	1	
lw120	Local	12	0	0	1	1	0	577	1	
lw120	Local	13	0	0	1	0	1	715	1	
lw120	Local	14	0	0	1	0	1	798	1	
lw120	Local	15	0	1	1	1	0	826	1	
