SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ma66	Global	1	1	0	1	0	0	1077	1	
ma66	Global	2	1	1	1	0	0	150	0	
ma66	Global	3	1	0	0	0	0	425	1	
ma66	Global	4	1	0	0	0	0	523	1	
ma66	Global	5	1	0	1	1	1	840	1	
ma66	Global	6	1	1	0	0	1	1025	1	
ma66	Global	7	1	1	1	1	1	711	1	
ma66	Global	8	1	1	0	0	1	537	1	
ma66	Global	9	1	0	1	0	1	608	1	
ma66	Global	10	1	1	0	0	1	639	1	
ma66	Global	11	1	0	0	1	0	665	1	
ma66	Global	12	1	0	1	1	0	847	1	
ma66	Global	13	1	1	1	1	1	624	1	
ma66	Global	14	1	0	0	0	1	720	1	
ma66	Global	15	1	0	0	0	0	859	1	
ma66	Global	16	1	1	0	0	1	565	1	
ma66	Global	17	1	1	0	1	0	415	1	
ma66	Global	18	1	1	0	1	0	519	1	
ma66	Global	19	1	0	0	1	0	483	1	
ma66	Global	20	1	0	0	1	0	483	1	
ma66	Global	21	1	1	1	0	1	150	0	
ma66	Global	22	1	0	0	1	0	506	1	
ma66	Global	23	1	0	0	1	0	468	1	
ma66	Global	24	1	0	1	1	0	786	1	
ma66	Global	25	1	0	0	1	0	461	1	
ma66	Global	26	1	1	1	0	1	962	1	
ma66	Global	27	1	0	1	0	0	976	1	
ma66	Global	28	1	0	1	1	1	720	1	
ma66	Global	29	1	0	1	0	0	714	1	
ma66	Global	30	1	0	1	1	0	804	1	
ma66	Global	31	1	1	1	1	1	601	1	
ma66	Global	32	1	1	1	0	1	150	0	
ma66	Local	1	1	1	0	1	0	844	1	
ma66	Local	2	1	0	0	0	0	373	1	
ma66	Local	3	1	1	0	0	0	504	1	
ma66	Local	4	1	0	1	1	0	1106	1	
ma66	Local	5	1	1	1	1	0	560	1	
ma66	Local	6	1	1	1	1	1	617	1	
ma66	Local	7	1	1	0	1	1	336	1	
ma66	Local	8	1	1	0	0	0	463	1	
ma66	Local	9	1	1	0	0	0	484	1	
ma66	Local	10	1	0	0	1	0	484	1	
ma66	Local	11	1	1	1	1	1	501	1	
ma66	Local	12	1	1	1	0	1	150	0	
ma66	Local	13	1	1	1	0	1	513	1	
ma66	Local	14	1	1	1	0	1	381	1	
ma66	Local	15	1	0	1	0	1	377	1	
ma66	Local	16	1	1	1	0	0	885	1	
ma66	Local	17	1	1	1	1	1	531	1	
ma66	Local	18	1	0	1	1	0	344	1	
ma66	Local	19	1	1	0	1	0	439	1	
ma66	Local	20	1	1	0	0	1	491	1	
ma66	Local	21	1	1	0	1	1	403	1	
ma66	Local	22	1	0	1	1	1	433	1	
ma66	Local	23	1	1	0	0	1	331	1	
ma66	Local	24	1	0	1	1	0	481	1	
ma66	Local	25	1	0	1	0	0	305	1	
ma66	Local	26	1	1	0	1	1	388	1	
ma66	Local	27	1	1	0	0	1	369	1	
ma66	Local	28	1	1	1	0	0	572	1	
ma66	Local	29	1	1	0	0	1	350	1	
ma66	Local	30	1	0	1	0	0	295	1	
ma66	Local	31	1	1	0	1	0	402	1	
ma66	Local	32	1	1	0	1	0	248	1	
ma66	Global	1	0	1	1	1	1	619	1	
ma66	Global	2	0	1	0	0	1	554	1	
ma66	Global	3	0	1	0	1	1	410	1	
ma66	Global	4	0	1	0	0	0	290	1	
ma66	Global	5	0	1	0	1	0	339	1	
ma66	Global	6	0	1	1	1	0	347	1	
ma66	Global	7	0	0	0	0	1	419	1	
ma66	Global	8	0	0	0	0	1	355	1	
ma66	Global	9	0	0	1	1	1	316	1	
ma66	Global	10	0	0	1	0	0	305	1	
ma66	Global	11	0	0	0	1	1	150	0	
ma66	Global	12	0	1	1	0	1	568	1	
ma66	Global	13	0	0	0	1	1	386	1	
ma66	Global	14	0	0	1	1	0	567	1	
ma66	Global	15	0	1	0	0	1	505	1	
ma66	Global	16	0	1	0	1	0	491	1	
ma66	Global	17	0	1	0	0	0	515	1	
ma66	Global	18	0	0	1	1	0	430	1	
ma66	Global	19	0	1	1	0	1	600	1	
ma66	Global	20	0	0	1	0	0	541	1	
ma66	Global	21	0	1	1	0	1	476	1	
ma66	Global	22	0	0	0	0	1	466	1	
ma66	Global	23	0	0	1	0	1	441	1	
ma66	Global	24	0	0	0	1	1	420	1	
ma66	Global	25	0	0	1	0	1	524	1	
ma66	Global	26	0	1	0	1	0	441	1	
ma66	Global	27	0	0	1	1	1	532	1	
ma66	Global	28	0	1	0	1	0	394	1	
ma66	Global	29	0	0	0	0	1	352	1	
ma66	Global	30	0	1	1	1	1	513	1	
ma66	Global	31	0	0	1	0	0	629	1	
ma66	Global	32	0	0	1	1	0	501	1	
ma66	Local	1	0	0	0	1	1	842	1	
ma66	Local	2	0	0	0	1	1	483	1	
ma66	Local	3	0	0	0	1	0	403	1	
ma66	Local	4	0	1	0	0	0	401	1	
ma66	Local	5	0	1	1	0	0	680	1	
ma66	Local	6	0	0	1	0	0	623	1	
ma66	Local	7	0	1	0	1	1	543	1	
ma66	Local	8	0	1	1	0	1	526	1	
ma66	Local	9	0	0	0	0	0	467	1	
ma66	Local	10	0	0	1	0	0	506	1	
ma66	Local	11	0	1	1	1	0	468	1	
ma66	Local	12	0	1	1	1	0	506	1	
ma66	Local	13	0	1	0	0	0	444	1	
ma66	Local	14	0	0	0	1	0	479	1	
ma66	Local	15	0	0	0	0	0	495	1	
ma66	Local	16	0	1	1	0	0	401	1	
ma66	Local	17	0	0	0	1	1	535	1	
ma66	Local	18	0	0	1	1	1	581	1	
ma66	Local	19	0	0	0	1	0	488	1	
ma66	Local	20	0	0	0	1	0	392	1	
ma66	Local	21	0	0	1	0	0	567	1	
ma66	Local	22	0	0	0	0	0	345	1	
ma66	Local	23	0	1	1	1	1	464	1	
ma66	Local	24	0	1	0	0	1	375	1	
ma66	Local	25	0	1	0	0	1	386	1	
ma66	Local	26	0	0	1	0	0	150	0	
ma66	Local	27	0	0	1	1	0	353	1	
ma66	Local	28	0	1	1	1	1	458	1	
ma66	Local	29	0	0	0	0	1	431	1	
ma66	Local	30	0	1	1	1	0	432	1	
ma66	Local	31	0	0	1	1	1	434	1	
ma66	Local	32	0	0	1	0	0	396	1	
