SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
md91	Global	1	0	0	1	1	0	1906	1	
md91	Global	2	0	1	0	0	1	1596	1	
md91	Global	3	0	1	1	1	1	1346	1	
md91	Global	4	0	0	0	0	0	981	1	
md91	Global	5	0	1	0	0	1	1333	1	
md91	Global	6	0	1	1	0	1	1277	1	
md91	Global	7	0	1	1	1	1	896	1	
md91	Global	8	0	0	1	0	0	783	1	
md91	Global	9	0	1	0	0	0	674	1	
md91	Global	10	0	1	0	1	1	639	1	
md91	Global	11	0	0	0	0	1	1097	1	
md91	Global	12	0	0	1	1	1	680	1	
md91	Global	13	0	0	1	0	1	591	1	
md91	Global	14	0	0	0	1	0	571	1	
md91	Global	15	0	0	0	0	1	661	1	
md91	Global	16	0	0	1	1	0	553	1	
md91	Global	17	0	0	1	1	0	150	0	
md91	Global	18	0	0	0	1	0	772	1	
md91	Global	19	0	0	0	1	0	533	1	
md91	Global	20	0	0	0	1	0	522	1	
md91	Global	21	0	1	0	0	0	567	1	
md91	Global	22	0	1	1	0	1	593	1	
md91	Global	23	0	0	0	1	0	503	1	
md91	Global	24	0	1	1	0	1	544	1	
md91	Global	25	0	1	1	0	0	487	1	
md91	Global	26	0	0	0	0	0	599	1	
md91	Global	27	0	0	0	1	0	613	1	
md91	Global	28	0	1	1	1	0	539	1	
md91	Global	29	0	1	0	1	1	618	1	
md91	Global	30	0	0	1	0	1	1113	1	
md91	Global	31	0	0	1	1	0	929	1	
md91	Global	32	0	1	1	0	0	740	1	
md91	Local	1	0	1	1	1	0	923	1	
md91	Local	2	0	1	0	1	1	636	1	
md91	Local	3	0	0	1	0	1	1374	1	
md91	Local	4	0	0	0	0	0	684	1	
md91	Local	5	0	0	1	1	1	755	1	
md91	Local	6	0	1	0	1	0	714	1	
md91	Local	7	0	1	1	1	1	853	1	
md91	Local	8	0	0	1	1	1	624	1	
md91	Local	9	0	1	0	0	0	608	1	
md91	Local	10	0	0	1	0	0	807	1	
md91	Local	11	0	1	0	1	0	635	1	
md91	Local	12	0	0	1	1	1	620	1	
md91	Local	13	0	0	0	1	0	547	1	
md91	Local	14	0	1	1	1	1	1265	1	
md91	Local	15	0	0	1	1	1	642	1	
md91	Local	16	0	1	0	1	1	644	1	
md91	Local	17	0	0	0	0	0	598	1	
