SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
mg107	Global	1	0	1	1	1	0	150	0	
mg107	Global	2	0	0	1	1	1	581	1	
mg107	Global	3	0	1	1	0	0	753	1	
mg107	Global	4	0	1	0	1	0	536	1	
mg107	Global	5	0	0	1	0	1	567	1	
mg107	Global	6	0	0	0	1	1	545	1	
mg107	Global	7	0	0	0	1	0	672	1	
mg107	Global	8	0	1	1	0	1	693	1	
mg107	Global	9	0	0	0	0	0	508	1	
mg107	Global	10	0	1	0	1	0	544	1	
mg107	Global	11	0	1	1	0	1	590	1	
mg107	Global	12	0	0	0	0	1	602	1	
mg107	Global	13	0	1	1	0	0	471	1	
mg107	Global	14	0	1	1	0	1	654	1	
mg107	Global	15	0	0	1	1	1	578	1	
mg107	Global	16	0	0	0	0	1	532	1	
mg107	Global	17	0	0	0	0	1	513	1	
mg107	Global	18	0	1	1	0	1	532	1	
mg107	Global	19	0	0	1	1	1	561	1	
mg107	Global	20	0	1	0	0	1	562	1	
mg107	Global	21	0	1	0	1	1	506	1	
mg107	Global	22	0	1	1	1	1	508	1	
mg107	Global	23	0	1	0	1	0	559	1	
mg107	Global	24	0	1	0	1	0	504	1	
mg107	Global	25	0	0	1	0	0	593	1	
mg107	Global	26	0	0	1	1	0	535	1	
mg107	Global	27	0	1	1	1	0	476	1	
mg107	Global	28	0	1	0	0	0	474	1	
mg107	Global	29	0	1	0	0	0	465	1	
mg107	Global	30	0	1	0	1	1	150	0	
mg107	Global	31	0	0	0	0	1	654	1	
mg107	Global	32	0	1	1	1	0	474	1	
mg107	Local	1	0	1	1	1	1	761	1	
mg107	Local	2	0	0	0	1	0	712	1	
mg107	Local	3	0	0	1	1	1	827	1	
mg107	Local	4	0	0	1	1	1	618	1	
mg107	Local	5	0	1	0	0	1	150	0	
mg107	Local	6	0	0	1	0	1	788	1	
mg107	Local	7	0	0	1	1	0	743	1	
mg107	Local	8	0	1	1	1	1	676	1	
mg107	Local	9	0	0	0	0	1	150	0	
mg107	Local	10	0	0	1	1	1	665	1	
mg107	Local	11	0	1	0	1	1	150	0	
mg107	Local	12	0	1	1	1	0	782	1	
mg107	Local	13	0	0	1	0	0	849	1	
mg107	Local	14	0	1	1	0	1	706	1	
mg107	Local	15	0	0	1	0	0	763	1	
mg107	Local	16	0	1	0	0	1	150	0	
mg107	Local	17	0	0	0	1	0	644	1	
mg107	Local	18	0	1	0	0	0	726	1	
mg107	Local	19	0	0	0	1	1	842	1	
mg107	Local	20	0	0	0	1	1	684	1	
mg107	Local	21	0	1	1	0	1	843	1	
mg107	Local	22	0	0	0	0	1	972	1	
mg107	Local	23	0	1	0	0	0	612	1	
mg107	Local	24	0	0	0	0	0	866	1	
mg107	Local	25	0	1	0	1	1	663	1	
mg107	Local	26	0	1	1	0	1	731	1	
mg107	Local	27	0	0	1	0	1	799	1	
mg107	Local	28	0	0	1	0	1	883	1	
mg107	Local	29	0	1	0	0	1	921	1	
mg107	Local	30	0	1	1	1	1	730	1	
mg107	Local	31	0	1	0	1	0	614	1	
mg107	Local	32	0	1	0	1	1	693	1	
mg107	Global	1	1	1	0	0	0	705	1	
mg107	Global	2	1	0	1	0	1	150	0	
mg107	Global	3	1	1	1	0	1	150	0	
mg107	Global	4	1	0	1	1	1	150	0	
mg107	Global	5	1	1	0	0	1	600	1	
mg107	Global	6	1	0	0	0	1	589	1	
mg107	Global	7	1	0	0	0	0	457	1	
mg107	Global	8	1	0	1	1	0	150	0	
mg107	Global	9	1	0	1	1	0	150	0	
mg107	Global	10	1	0	0	0	1	591	1	
mg107	Global	11	1	0	1	1	1	150	0	
mg107	Global	12	1	1	0	0	1	619	1	
mg107	Global	13	1	0	0	1	1	642	1	
mg107	Global	14	1	1	1	0	1	150	0	
mg107	Global	15	1	1	0	1	1	651	1	
mg107	Global	16	1	0	0	1	1	789	1	
mg107	Global	17	1	1	0	1	0	695	1	
mg107	Global	18	1	0	1	0	1	150	0	
mg107	Global	19	1	0	1	1	1	150	0	
mg107	Global	20	1	1	0	0	0	681	1	
mg107	Global	21	1	0	0	0	0	616	1	
mg107	Global	22	1	1	0	1	1	623	1	
mg107	Global	23	1	1	0	1	1	624	1	
mg107	Global	24	1	1	0	1	1	664	1	
mg107	Global	25	1	0	1	0	1	876	1	
mg107	Global	26	1	1	1	1	1	824	1	
mg107	Global	27	1	0	1	0	0	888	1	
mg107	Global	28	1	0	0	1	1	918	1	
mg107	Global	29	1	0	1	0	1	823	1	
mg107	Global	30	1	1	1	0	0	846	1	
mg107	Global	31	1	0	1	1	0	728	1	
mg107	Global	32	1	0	1	1	0	820	1	
mg107	Local	1	1	0	1	0	0	835	1	
mg107	Local	2	1	1	1	1	1	643	1	
mg107	Local	3	1	0	1	1	0	621	1	
mg107	Local	4	1	1	0	0	1	668	1	
mg107	Local	5	1	1	1	1	1	593	1	
mg107	Local	6	1	0	0	0	0	661	1	
mg107	Local	7	1	0	1	1	1	150	0	
mg107	Local	8	1	1	0	1	1	600	1	
mg107	Local	9	1	0	0	0	1	589	1	
mg107	Local	10	1	0	1	0	1	761	1	
mg107	Local	11	1	1	0	1	0	616	1	
mg107	Local	12	1	0	0	0	1	631	1	
mg107	Local	13	1	0	1	1	1	1088	1	
mg107	Local	14	1	0	1	1	0	669	1	
mg107	Local	15	1	0	1	0	0	594	1	
mg107	Local	16	1	0	1	0	1	615	1	
mg107	Local	17	1	0	1	0	1	1246	1	
mg107	Local	18	1	0	0	0	0	725	1	
mg107	Local	19	1	0	0	1	0	593	1	
mg107	Local	20	1	1	1	0	0	150	0	
mg107	Local	21	1	1	0	1	0	659	1	
mg107	Local	22	1	0	1	0	0	1127	1	
mg107	Local	23	1	0	0	0	1	592	1	
mg107	Local	24	1	0	1	1	0	516	1	
mg107	Local	25	1	1	0	1	0	567	1	
mg107	Local	26	1	0	0	1	0	625	1	
mg107	Local	27	1	0	0	1	0	650	1	
mg107	Local	28	1	0	0	1	0	548	1	
mg107	Local	29	1	1	1	1	0	571	1	
mg107	Local	30	1	1	0	0	1	534	1	
mg107	Local	31	1	1	1	0	0	540	1	
mg107	Local	32	1	0	0	0	0	658	1	
