SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
mm202	Global	1	0	1	1	1	0	1156	1	
mm202	Global	2	0	0	0	0	1	753	1	
mm202	Global	3	0	0	1	1	0	688	1	
mm202	Global	4	0	0	1	1	0	559	1	
mm202	Global	5	0	1	1	0	0	432	1	
mm202	Global	6	0	0	0	0	0	513	1	
mm202	Global	7	0	1	0	0	1	501	1	
mm202	Global	8	0	1	1	0	1	646	1	
mm202	Global	9	0	1	1	0	1	929	1	
mm202	Global	10	0	1	1	0	1	484	1	
mm202	Global	11	0	1	1	1	1	716	1	
mm202	Global	12	0	1	0	0	1	526	1	
mm202	Global	13	0	1	1	0	0	603	1	
mm202	Global	14	0	0	0	1	0	560	1	
mm202	Global	15	0	0	0	0	1	593	1	
mm202	Global	16	0	1	1	1	0	668	1	
mm202	Global	17	0	1	0	1	0	762	1	
mm202	Global	18	0	1	0	1	1	593	1	
mm202	Global	19	0	0	0	0	1	582	1	
mm202	Global	20	0	1	1	1	0	690	1	
mm202	Global	21	0	0	1	0	1	929	1	
mm202	Global	22	0	0	1	0	0	1148	1	
mm202	Global	23	0	1	0	1	0	679	1	
mm202	Global	24	0	1	1	0	0	735	1	
mm202	Global	25	0	1	0	0	1	659	1	
mm202	Global	26	0	0	0	1	1	550	1	
mm202	Global	27	0	0	0	0	0	1167	1	
mm202	Global	28	0	1	0	1	0	588	1	
mm202	Global	29	0	1	1	1	1	591	1	
mm202	Global	30	0	0	1	1	1	707	1	
mm202	Global	31	0	0	0	1	0	588	1	
mm202	Global	32	0	0	0	1	1	735	1	
mm202	Local	1	0	0	1	1	0	775	1	
mm202	Local	2	0	0	1	1	1	664	1	
mm202	Local	3	0	1	0	0	1	772	1	
mm202	Local	4	0	1	1	0	0	613	1	
mm202	Local	5	0	1	1	0	0	764	1	
mm202	Local	6	0	0	1	0	0	739	1	
mm202	Local	7	0	0	1	0	1	689	1	
mm202	Local	8	0	1	1	1	1	744	1	
mm202	Local	9	0	0	0	0	0	637	1	
mm202	Local	10	0	0	1	0	0	655	1	
mm202	Local	11	0	0	0	1	1	539	1	
mm202	Local	12	0	1	0	0	1	658	1	
mm202	Local	13	0	1	1	1	0	590	1	
mm202	Local	14	0	1	0	1	0	617	1	
mm202	Local	15	0	1	1	1	0	648	1	
mm202	Local	16	0	1	1	0	1	554	1	
mm202	Local	17	0	1	0	1	0	563	1	
mm202	Local	18	0	0	1	0	0	659	1	
mm202	Local	19	0	0	0	1	1	599	1	
mm202	Local	20	0	1	0	1	1	604	1	
mm202	Local	21	0	1	0	1	0	681	1	
mm202	Local	22	0	0	1	0	1	729	1	
mm202	Local	23	0	1	0	1	1	581	1	
mm202	Local	24	0	0	0	1	1	680	1	
mm202	Local	25	0	0	1	1	1	855	1	
mm202	Local	26	0	0	0	0	0	1010	1	
mm202	Local	27	0	0	0	0	0	703	1	
mm202	Local	28	0	0	1	1	1	751	1	
mm202	Local	29	0	1	0	0	1	727	1	
mm202	Local	30	0	1	1	1	1	643	1	
mm202	Local	31	0	1	0	0	0	653	1	
mm202	Local	32	0	0	0	0	1	601	1	
mm202	Global	1	1	0	0	1	0	1142	1	
mm202	Global	2	1	0	1	0	0	1201	1	
mm202	Global	3	1	1	0	0	1	1059	1	
mm202	Global	4	1	1	1	1	0	1029	1	
mm202	Global	5	1	0	1	1	1	731	1	
mm202	Global	6	1	0	0	1	1	567	1	
mm202	Global	7	1	0	0	0	0	561	1	
mm202	Global	8	1	1	0	1	1	970	1	
mm202	Global	9	1	0	0	1	0	537	1	
mm202	Global	10	1	0	0	1	1	488	1	
mm202	Global	11	1	0	1	0	1	1144	1	
mm202	Global	12	1	1	1	1	1	876	1	
mm202	Global	13	1	1	0	0	0	496	1	
mm202	Global	14	1	1	1	1	1	794	1	
mm202	Global	15	1	0	0	1	1	669	1	
mm202	Global	16	1	0	0	1	0	914	1	
mm202	Global	17	1	1	1	0	0	699	1	
mm202	Global	18	1	1	0	0	0	732	1	
mm202	Global	19	1	0	0	1	0	664	1	
mm202	Global	20	1	1	0	0	1	580	1	
mm202	Global	21	1	1	0	0	1	631	1	
mm202	Global	22	1	1	1	0	0	568	1	
mm202	Global	23	1	0	1	0	0	666	1	
mm202	Global	24	1	0	1	1	1	1527	1	
mm202	Global	25	1	1	1	1	0	703	1	
mm202	Global	26	1	1	0	0	0	696	1	
mm202	Global	27	1	0	1	0	0	1329	1	
mm202	Global	28	1	1	0	0	0	1105	1	
mm202	Global	29	1	1	1	0	0	680	1	
mm202	Global	30	1	1	1	0	0	863	1	
mm202	Global	31	1	0	1	1	1	674	1	
mm202	Global	32	1	1	1	1	1	879	1	
mm202	Local	1	1	1	0	0	1	715	1	
mm202	Local	2	1	0	1	1	1	789	1	
mm202	Local	3	1	0	0	0	1	688	1	
mm202	Local	4	1	0	1	0	1	679	1	
mm202	Local	5	1	0	0	0	1	628	1	
mm202	Local	6	1	0	1	1	1	613	1	
mm202	Local	7	1	1	1	1	0	692	1	
mm202	Local	8	1	1	0	1	1	851	1	
mm202	Local	9	1	0	1	0	0	796	1	
mm202	Local	10	1	1	0	1	1	776	1	
mm202	Local	11	1	0	1	1	1	689	1	
mm202	Local	12	1	0	1	0	0	1152	1	
mm202	Local	13	1	1	1	1	1	884	1	
mm202	Local	14	1	1	0	0	0	882	1	
mm202	Local	15	1	1	0	1	0	776	1	
mm202	Local	16	1	1	0	0	0	905	1	
mm202	Local	17	1	0	0	1	0	584	1	
mm202	Local	18	1	0	0	1	1	532	1	
mm202	Local	19	1	0	1	0	1	753	1	
mm202	Local	20	1	1	0	0	0	704	1	
mm202	Local	21	1	0	1	1	0	689	1	
mm202	Local	22	1	1	1	1	1	584	1	
mm202	Local	23	1	1	0	0	0	564	1	
mm202	Local	24	1	1	0	1	1	900	1	
mm202	Local	25	1	1	1	0	0	572	1	
mm202	Local	26	1	1	1	1	0	582	1	
mm202	Local	27	1	1	1	0	1	545	1	
mm202	Local	28	1	1	0	1	0	664	1	
mm202	Local	29	1	1	1	0	0	884	1	
mm202	Local	30	1	1	0	0	1	546	1	
mm202	Local	31	1	1	1	0	1	656	1	
mm202	Local	32	1	0	0	1	1	732	1	
