SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
mpb100	Global	1	0	1	1	1	1	615	1	
mpb100	Global	2	0	1	1	1	1	598	1	
mpb100	Global	3	0	0	0	0	0	491	1	
mpb100	Global	4	0	0	1	1	1	419	1	
mpb100	Global	5	0	0	1	0	0	667	1	
mpb100	Global	6	0	1	1	1	0	489	1	
mpb100	Global	7	0	0	0	0	1	385	1	
mpb100	Global	8	0	1	0	0	1	534	1	
mpb100	Global	9	0	0	1	0	1	619	1	
mpb100	Global	10	0	1	1	1	1	578	1	
mpb100	Global	11	0	1	1	0	0	676	1	
mpb100	Global	12	0	0	0	1	1	489	1	
mpb100	Global	13	0	0	0	0	0	593	1	
mpb100	Global	14	0	0	0	1	0	805	1	
mpb100	Global	15	0	1	1	0	1	457	1	
mpb100	Global	16	0	0	1	1	0	782	1	
mpb100	Global	17	0	1	0	1	0	528	1	
mpb100	Global	18	0	1	1	0	0	485	1	
mpb100	Global	19	0	1	0	1	1	470	1	
mpb100	Global	20	0	1	0	0	1	492	1	
mpb100	Global	21	0	0	1	0	1	532	1	
mpb100	Global	22	0	1	0	0	1	417	1	
mpb100	Global	23	0	1	0	1	1	377	1	
mpb100	Global	24	0	0	1	0	0	492	1	
mpb100	Global	25	0	0	0	1	0	509	1	
mpb100	Global	26	0	1	1	1	0	432	1	
mpb100	Global	27	0	0	0	1	0	434	1	
mpb100	Global	28	0	0	0	0	0	371	1	
mpb100	Global	29	0	1	0	1	0	414	1	
mpb100	Global	30	0	0	0	0	1	430	1	
mpb100	Global	31	0	1	1	1	0	472	1	
mpb100	Global	32	0	1	1	0	1	574	1	
mpb100	Local	1	0	0	1	1	0	885	1	
mpb100	Local	2	0	0	1	1	0	875	1	
mpb100	Local	3	0	1	0	0	0	647	1	
mpb100	Local	4	0	0	0	1	0	633	1	
mpb100	Local	5	0	1	0	1	0	586	1	
mpb100	Local	6	0	1	1	0	0	694	1	
mpb100	Local	7	0	1	1	0	0	653	1	
mpb100	Local	8	0	1	1	1	1	150	0	
mpb100	Local	9	0	0	0	0	1	1346	1	
mpb100	Local	10	0	0	0	0	1	1172	1	
mpb100	Local	11	0	0	0	1	1	150	0	
mpb100	Local	12	0	0	0	0	0	1322	1	
mpb100	Local	13	0	0	0	1	1	150	0	
mpb100	Local	14	0	1	1	0	1	150	0	
mpb100	Local	15	0	1	0	0	0	954	1	
mpb100	Local	16	0	1	1	1	1	1336	1	
mpb100	Local	17	0	1	0	0	1	1193	1	
mpb100	Local	18	0	0	0	1	0	929	1	
mpb100	Local	19	0	1	1	1	1	150	0	
mpb100	Local	20	0	1	0	1	1	1734	1	
mpb100	Local	21	0	1	0	0	0	869	1	
mpb100	Local	22	0	1	0	0	0	769	1	
mpb100	Local	23	0	1	0	1	1	1818	1	
mpb100	Local	24	0	0	1	0	1	1451	1	
mpb100	Local	25	0	1	1	1	1	1168	1	
mpb100	Local	26	0	1	1	0	1	1015	1	
mpb100	Local	27	0	0	1	1	0	604	1	
mpb100	Local	28	0	0	1	0	1	1081	1	
mpb100	Local	29	0	0	0	1	1	701	1	
mpb100	Local	30	0	0	1	1	1	741	1	
mpb100	Local	31	0	0	1	0	1	555	1	
mpb100	Local	32	0	1	1	0	0	795	1	
mpb100	Global	1	1	0	0	0	0	1162	1	
mpb100	Global	2	1	0	1	1	1	919	1	
mpb100	Global	3	1	0	1	1	0	737	1	
mpb100	Global	4	1	1	1	0	1	821	1	
mpb100	Global	5	1	1	0	0	0	682	1	
mpb100	Global	6	1	1	0	1	0	497	1	
mpb100	Global	7	1	0	0	0	1	915	1	
mpb100	Global	8	1	0	0	0	1	469	1	
mpb100	Global	9	1	0	1	1	0	1723	1	
mpb100	Global	10	1	0	0	0	1	616	1	
mpb100	Global	11	1	1	1	0	1	591	1	
mpb100	Global	12	1	0	0	1	1	571	1	
mpb100	Global	13	1	1	1	0	1	629	1	
mpb100	Global	14	1	0	0	1	0	653	1	
mpb100	Global	15	1	0	0	0	0	625	1	
mpb100	Global	16	1	1	1	1	1	681	1	
mpb100	Global	17	1	0	0	0	0	817	1	
mpb100	Global	18	1	1	0	1	0	830	1	
mpb100	Global	19	1	0	1	1	0	614	1	
mpb100	Global	20	1	0	1	0	1	613	1	
mpb100	Global	21	1	0	0	1	0	612	1	
mpb100	Global	22	1	0	0	1	1	627	1	
mpb100	Global	23	1	1	0	0	1	547	1	
mpb100	Global	24	1	0	1	1	1	570	1	
mpb100	Global	25	1	0	0	1	1	636	1	
mpb100	Global	26	1	1	0	1	0	444	1	
mpb100	Global	27	1	0	1	0	0	592	1	
mpb100	Global	28	1	1	1	1	1	699	1	
mpb100	Global	29	1	0	1	0	1	572	1	
mpb100	Global	30	1	0	1	0	0	846	1	
mpb100	Global	31	1	1	1	1	1	543	1	
mpb100	Global	32	1	0	1	0	0	598	1	
mpb100	Local	1	1	1	0	0	1	833	1	
mpb100	Local	2	1	0	0	1	1	424	1	
mpb100	Local	3	1	1	1	1	1	458	1	
mpb100	Local	4	1	1	1	1	0	543	1	
mpb100	Local	5	1	0	1	0	0	694	1	
mpb100	Local	6	1	1	1	0	1	589	1	
mpb100	Local	7	1	0	1	1	0	432	1	
mpb100	Local	8	1	0	1	1	1	586	1	
mpb100	Local	9	1	1	0	1	0	598	1	
mpb100	Local	10	1	1	1	1	1	387	1	
mpb100	Local	11	1	0	0	0	0	488	1	
mpb100	Local	12	1	0	1	1	1	504	1	
mpb100	Local	13	1	0	0	1	1	465	1	
mpb100	Local	14	1	0	0	0	0	520	1	
mpb100	Local	15	1	0	0	0	1	379	1	
mpb100	Local	16	1	1	1	0	0	520	1	
mpb100	Local	17	1	0	1	0	0	532	1	
