SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
mtt99	Global	1	1	0	0	1	0	850	1	
mtt99	Global	2	1	0	0	0	1	571	1	
mtt99	Global	3	1	1	0	0	0	509	1	
mtt99	Global	4	1	1	0	1	0	368	1	
mtt99	Global	5	1	1	1	0	1	150	0	
mtt99	Global	6	1	0	1	0	0	776	1	
mtt99	Global	7	1	1	1	0	1	729	1	
mtt99	Global	8	1	0	0	1	1	581	1	
mtt99	Global	9	1	1	0	1	1	529	1	
mtt99	Global	10	1	1	0	0	1	478	1	
mtt99	Global	11	1	1	1	1	0	788	1	
mtt99	Global	12	1	0	0	0	1	559	1	
mtt99	Global	13	1	1	1	0	1	799	1	
mtt99	Global	14	1	0	1	1	0	692	1	
mtt99	Global	15	1	1	1	1	1	1083	1	
mtt99	Global	16	1	1	1	1	1	720	1	
mtt99	Global	17	1	1	0	0	0	570	1	
mtt99	Global	18	1	0	1	1	0	756	1	
mtt99	Global	19	1	1	0	1	0	635	1	
mtt99	Global	20	1	0	1	0	0	596	1	
mtt99	Global	21	1	0	1	0	1	857	1	
mtt99	Global	22	1	1	0	0	1	620	1	
mtt99	Global	23	1	1	1	1	1	643	1	
mtt99	Global	24	1	0	0	1	0	677	1	
mtt99	Global	25	1	0	0	0	0	570	1	
mtt99	Global	26	1	1	1	0	0	660	1	
mtt99	Global	27	1	0	1	1	0	680	1	
mtt99	Global	28	1	0	1	1	1	1063	1	
mtt99	Global	29	1	1	0	0	0	753	1	
mtt99	Global	30	1	0	0	1	1	728	1	
mtt99	Global	31	1	1	1	0	0	1068	1	
mtt99	Global	32	1	1	0	1	0	583	1	
mtt99	Local	1	1	0	0	0	1	1084	1	
mtt99	Local	2	1	1	1	0	0	753	1	
mtt99	Local	3	1	0	1	1	1	680	1	
mtt99	Local	4	1	1	0	0	1	655	1	
mtt99	Local	5	1	1	0	0	0	747	1	
mtt99	Local	6	1	1	0	1	1	721	1	
mtt99	Local	7	1	1	1	1	1	659	1	
mtt99	Local	8	1	0	1	1	0	647	1	
mtt99	Local	9	1	0	1	0	0	857	1	
mtt99	Local	10	1	1	1	1	0	716	1	
mtt99	Local	11	1	0	1	1	1	718	1	
mtt99	Local	12	1	0	0	0	0	681	1	
mtt99	Local	13	1	0	0	1	0	592	1	
mtt99	Local	14	1	0	1	0	1	507	1	
mtt99	Local	15	1	0	0	1	0	503	1	
mtt99	Local	16	1	0	0	1	1	553	1	
mtt99	Local	17	1	1	0	0	1	545	1	
mtt99	Local	18	1	1	0	1	1	528	1	
mtt99	Local	19	1	1	0	0	0	589	1	
mtt99	Local	20	1	1	0	1	1	568	1	
mtt99	Local	21	1	0	1	1	1	642	1	
mtt99	Local	22	1	1	0	1	0	669	1	
mtt99	Local	23	1	1	0	0	0	610	1	
mtt99	Local	24	1	0	1	0	0	449	1	
mtt99	Local	25	1	0	1	0	0	612	1	
mtt99	Local	26	1	0	1	1	1	595	1	
mtt99	Local	27	1	0	1	0	1	648	1	
mtt99	Local	28	1	0	1	0	0	563	1	
mtt99	Local	29	1	1	1	0	0	467	1	
mtt99	Local	30	1	1	0	0	0	553	1	
mtt99	Local	31	1	0	0	1	0	466	1	
mtt99	Local	32	1	1	1	1	1	560	1	
mtt99	Global	1	0	1	1	0	0	1040	1	
mtt99	Global	2	0	0	1	0	1	672	1	
mtt99	Global	3	0	1	0	0	1	558	1	
mtt99	Global	4	0	0	0	0	0	710	1	
mtt99	Global	5	0	1	0	1	0	577	1	
mtt99	Global	6	0	0	1	0	0	515	1	
mtt99	Global	7	0	0	1	1	0	494	1	
mtt99	Global	8	0	1	0	1	1	616	1	
mtt99	Global	9	0	1	0	1	0	679	1	
mtt99	Global	10	0	0	1	1	1	724	1	
mtt99	Global	11	0	0	0	1	0	536	1	
mtt99	Global	12	0	0	0	0	0	671	1	
mtt99	Global	13	0	0	1	1	0	548	1	
mtt99	Global	14	0	1	0	0	0	699	1	
mtt99	Global	15	0	1	0	0	1	1012	1	
mtt99	Global	16	0	0	1	0	0	150	0	
mtt99	Global	17	0	0	0	1	1	665	1	
mtt99	Global	18	0	1	0	1	1	599	1	
mtt99	Global	19	0	1	1	0	0	150	0	
mtt99	Global	20	0	0	1	0	0	150	0	
mtt99	Global	21	0	1	0	1	0	656	1	
mtt99	Global	22	0	1	0	0	0	564	1	
mtt99	Global	23	0	0	0	0	0	660	1	
mtt99	Global	24	0	0	1	1	0	150	0	
mtt99	Global	25	0	1	0	0	1	583	1	
mtt99	Global	26	0	1	0	1	0	506	1	
mtt99	Global	27	0	0	1	1	0	150	0	
mtt99	Global	28	0	1	1	1	0	150	0	
mtt99	Global	29	0	0	1	1	0	150	0	
mtt99	Global	30	0	0	1	0	0	150	0	
mtt99	Global	31	0	1	1	0	1	150	0	
mtt99	Global	32	0	0	1	1	1	150	0	
mtt99	Local	1	0	0	0	1	1	970	1	
