Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	0.88	0.94	0.81	1.00	0.91	0.92
incong	0.75	0.88	0.81	0.94	0.75	0.84	0.83
Grand Total	0.88	0.88	0.88	0.88	0.88	0.88	0.88
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	0.75	0.88	0.88	0.81	0.94	1.00	0.75
380.5	388.3	392.9	442.8	466.1	565.9	440.3	468.3
							
							
							
rt	SDev	CCor	UCor				
380.5	52.02	15	16	0	0	0	
388.3	60.55	12	12	0	0	1	
392.9	36.22	14	14	0	1	0	
442.8	34.84	13	14	0	1	1	
466.1	66.34	13	13	1	0	0	
565.9	63.95	15	15	1	0	1	
440.3	42.68	15	16	1	1	0	
468.3	101.5	12	12	1	1	1	
