SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
mw219	Global	1	1	0	0	1	1	398	1	
mw219	Global	2	1	1	0	1	1	340	1	
mw219	Global	3	1	0	0	1	0	356	1	
mw219	Global	4	1	1	0	0	1	389	1	
mw219	Global	5	1	1	1	1	1	150	0	
mw219	Global	6	1	0	1	1	1	475	1	
mw219	Global	7	1	1	1	0	0	442	1	
mw219	Global	8	1	0	0	1	0	405	1	
mw219	Global	9	1	1	1	0	1	467	1	
mw219	Global	10	1	1	1	1	0	442	1	
mw219	Global	11	1	0	0	0	0	150	0	
mw219	Global	12	1	0	0	1	0	419	1	
mw219	Global	13	1	1	1	0	1	150	0	
mw219	Global	14	1	1	1	1	0	466	1	
mw219	Global	15	1	1	0	1	0	432	1	
mw219	Global	16	1	0	0	0	1	450	1	
mw219	Global	17	1	0	1	1	1	431	1	
mw219	Global	18	1	0	1	0	1	456	1	
mw219	Global	19	1	0	0	0	1	325	1	
mw219	Global	20	1	1	0	0	0	363	1	
mw219	Global	21	1	0	0	0	1	391	1	
mw219	Global	22	1	1	1	1	0	379	1	
mw219	Global	23	1	0	0	0	1	424	1	
mw219	Global	24	1	0	1	0	0	402	1	
mw219	Global	25	1	1	0	1	1	150	0	
mw219	Global	26	1	0	1	0	0	987	1	
mw219	Global	27	1	1	0	0	0	420	1	
mw219	Global	28	1	1	1	0	1	412	1	
mw219	Global	29	1	0	1	1	1	412	1	
mw219	Global	30	1	1	0	1	0	388	1	
mw219	Global	31	1	1	1	1	1	505	1	
mw219	Global	32	1	0	1	0	0	467	1	
mw219	Local	1	1	0	0	1	1	470	1	
mw219	Local	2	1	0	1	0	0	150	0	
mw219	Local	3	1	0	1	1	1	501	1	
mw219	Local	4	1	1	1	1	0	150	0	
mw219	Local	5	1	0	0	0	0	418	1	
mw219	Local	6	1	1	0	0	1	514	1	
mw219	Local	7	1	0	0	1	0	509	1	
mw219	Local	8	1	1	0	0	1	601	1	
mw219	Local	9	1	1	1	1	0	446	1	
mw219	Local	10	1	0	1	0	1	417	1	
mw219	Local	11	1	0	0	0	0	481	1	
mw219	Local	12	1	1	0	1	1	449	1	
mw219	Local	13	1	0	0	0	0	390	1	
mw219	Local	14	1	1	0	1	1	443	1	
mw219	Local	15	1	0	0	1	0	454	1	
mw219	Local	16	1	1	1	0	1	435	1	
mw219	Local	17	1	0	1	0	1	461	1	
mw219	Local	18	1	1	0	0	1	386	1	
mw219	Local	19	1	1	0	0	0	406	1	
mw219	Local	20	1	1	0	1	1	421	1	
mw219	Local	21	1	0	1	1	1	453	1	
mw219	Local	22	1	0	1	0	0	441	1	
mw219	Local	23	1	1	1	1	0	285	1	
mw219	Local	24	1	0	1	1	0	150	0	
mw219	Local	25	1	1	1	0	0	396	1	
mw219	Local	26	1	0	0	1	0	379	1	
mw219	Local	27	1	1	1	1	1	150	0	
mw219	Local	28	1	1	1	0	1	556	1	
mw219	Local	29	1	0	1	0	0	709	1	
mw219	Local	30	1	0	1	1	0	519	1	
mw219	Local	31	1	1	0	0	0	467	1	
mw219	Local	32	1	1	0	1	0	417	1	
mw219	Global	1	0	0	1	0	0	464	1	
mw219	Global	2	0	1	1	1	1	150	0	
mw219	Global	3	0	0	1	1	1	401	1	
mw219	Global	4	0	1	0	0	1	511	1	
mw219	Global	5	0	1	0	1	0	419	1	
mw219	Global	6	0	0	0	0	1	395	1	
mw219	Global	7	0	0	0	0	1	305	1	
mw219	Global	8	0	1	0	1	0	380	1	
mw219	Global	9	0	0	1	1	0	393	1	
mw219	Global	10	0	1	1	0	1	503	1	
mw219	Global	11	0	0	0	1	1	393	1	
mw219	Global	12	0	0	1	0	0	150	0	
mw219	Global	13	0	0	1	0	1	402	1	
mw219	Global	14	0	0	1	0	0	393	1	
mw219	Global	15	0	1	1	0	1	367	1	
mw219	Global	16	0	1	1	0	0	402	1	
mw219	Global	17	0	1	0	1	1	400	1	
mw219	Global	18	0	1	0	1	1	343	1	
mw219	Global	19	0	1	0	1	1	351	1	
mw219	Global	20	0	1	0	0	1	376	1	
mw219	Global	21	0	1	0	0	0	355	1	
mw219	Global	22	0	1	1	0	1	150	0	
mw219	Global	23	0	1	0	0	0	370	1	
mw219	Global	24	0	0	0	1	0	301	1	
mw219	Global	25	0	1	1	1	0	304	1	
mw219	Global	26	0	1	1	1	0	323	1	
mw219	Global	27	0	1	0	0	0	369	1	
mw219	Global	28	0	0	0	1	0	580	1	
mw219	Global	29	0	0	1	1	0	296	1	
mw219	Global	30	0	1	1	1	1	150	0	
mw219	Global	31	0	1	0	0	1	439	1	
mw219	Global	32	0	1	1	1	0	411	1	
mw219	Local	1	0	1	1	0	1	588	1	
mw219	Local	2	0	1	0	0	0	407	1	
mw219	Local	3	0	1	0	0	0	391	1	
mw219	Local	4	0	0	0	1	0	572	1	
mw219	Local	5	0	1	0	0	0	374	1	
mw219	Local	6	0	1	1	0	0	633	1	
mw219	Local	7	0	1	1	0	1	150	0	
mw219	Local	8	0	0	1	1	0	613	1	
mw219	Local	9	0	1	1	0	0	636	1	
mw219	Local	10	0	0	0	1	1	150	0	
mw219	Local	11	0	1	0	0	0	538	1	
mw219	Local	12	0	1	1	1	0	576	1	
mw219	Local	13	0	0	1	0	0	530	1	
mw219	Local	14	0	0	0	0	1	383	1	
mw219	Local	15	0	0	0	0	0	500	1	
mw219	Local	16	0	0	1	1	0	606	1	
mw219	Local	17	0	0	0	1	1	150	0	
mw219	Local	18	0	0	1	0	1	446	1	
