SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
nb70	Global	1	0	0	0	1	0	771	1	
nb70	Global	2	0	1	0	0	1	619	1	
nb70	Global	3	0	0	0	0	0	410	1	
nb70	Global	4	0	1	1	1	0	378	1	
nb70	Global	5	0	1	1	0	0	150	0	
nb70	Global	6	0	1	1	0	0	605	1	
nb70	Global	7	0	1	1	0	0	491	1	
nb70	Global	8	0	1	1	1	1	475	1	
nb70	Global	9	0	1	0	0	1	545	1	
nb70	Global	10	0	0	1	1	0	464	1	
nb70	Global	11	0	1	0	0	0	351	1	
nb70	Global	12	0	1	0	1	0	344	1	
nb70	Global	13	0	1	1	0	0	448	1	
nb70	Global	14	0	0	0	1	1	459	1	
nb70	Global	15	0	1	0	1	1	696	1	
nb70	Global	16	0	1	1	0	1	553	1	
nb70	Global	17	0	0	1	1	0	505	1	
nb70	Global	18	0	0	0	0	0	531	1	
nb70	Global	19	0	0	0	1	0	392	1	
nb70	Global	20	0	1	1	1	0	397	1	
nb70	Global	21	0	1	1	1	1	491	1	
nb70	Global	22	0	1	1	0	1	491	1	
nb70	Global	23	0	1	0	0	0	371	1	
nb70	Global	24	0	0	1	1	0	542	1	
nb70	Global	25	0	0	0	0	0	453	1	
nb70	Global	26	0	0	1	1	1	418	1	
nb70	Global	27	0	0	0	1	0	394	1	
nb70	Global	28	0	0	0	1	1	384	1	
nb70	Global	29	0	1	0	0	1	405	1	
nb70	Global	30	0	0	0	1	1	435	1	
nb70	Global	31	0	1	1	0	1	423	1	
nb70	Global	32	0	0	1	0	0	504	1	
nb70	Local	1	0	0	1	1	1	150	0	
nb70	Local	2	0	1	0	0	1	657	1	
nb70	Local	3	0	0	1	1	1	636	1	
nb70	Local	4	0	0	0	1	0	535	1	
nb70	Local	5	0	0	1	1	1	692	1	
nb70	Local	6	0	1	0	1	0	547	1	
nb70	Local	7	0	0	1	0	1	433	1	
nb70	Local	8	0	1	1	1	0	643	1	
nb70	Local	9	0	1	0	0	0	469	1	
nb70	Local	10	0	0	0	1	1	492	1	
nb70	Local	11	0	0	1	1	1	564	1	
nb70	Local	12	0	0	0	0	0	452	1	
nb70	Local	13	0	1	1	0	1	409	1	
nb70	Local	14	0	0	0	1	0	545	1	
nb70	Local	15	0	0	1	0	1	2640	1	
nb70	Local	16	0	1	0	1	0	558	1	
nb70	Local	17	0	0	0	0	1	406	1	
nb70	Local	18	0	1	0	0	0	468	1	
nb70	Local	19	0	0	0	0	0	467	1	
nb70	Local	20	0	1	0	0	1	409	1	
nb70	Local	21	0	1	1	0	0	409	1	
nb70	Local	22	0	0	1	0	0	649	1	
nb70	Local	23	0	0	1	0	0	372	1	
nb70	Local	24	0	1	0	0	0	359	1	
nb70	Local	25	0	1	1	1	1	488	1	
nb70	Local	26	0	1	1	0	0	480	1	
nb70	Local	27	0	0	1	1	0	536	1	
nb70	Local	28	0	0	0	1	0	150	0	
nb70	Local	29	0	1	0	1	0	471	1	
nb70	Local	30	0	1	1	0	0	486	1	
nb70	Local	31	0	1	1	1	1	422	1	
nb70	Local	32	0	0	0	1	1	432	1	
nb70	Global	1	1	1	0	1	0	570	1	
nb70	Global	2	1	0	1	0	1	628	1	
nb70	Global	3	1	0	0	0	0	396	1	
nb70	Global	4	1	1	1	1	0	150	0	
nb70	Global	5	1	0	0	0	0	354	1	
nb70	Global	6	1	1	1	0	1	404	1	
nb70	Global	7	1	1	1	1	0	530	1	
nb70	Global	8	1	1	1	1	1	487	1	
nb70	Global	9	1	1	0	0	1	423	1	
nb70	Global	10	1	0	0	1	0	409	1	
nb70	Global	11	1	0	0	1	0	425	1	
nb70	Global	12	1	1	0	0	0	371	1	
nb70	Global	13	1	0	1	1	0	150	0	
nb70	Global	14	1	0	1	1	0	150	0	
nb70	Global	15	1	1	1	1	0	558	1	
nb70	Global	16	1	0	1	0	1	478	1	
nb70	Global	17	1	0	1	0	1	605	1	
nb70	Global	18	1	0	1	0	0	634	1	
nb70	Global	19	1	0	0	0	1	643	1	
nb70	Global	20	1	1	1	0	1	461	1	
nb70	Global	21	1	1	0	0	1	354	1	
nb70	Global	22	1	0	0	1	0	395	1	
nb70	Global	23	1	1	1	1	1	465	1	
nb70	Global	24	1	0	0	0	1	432	1	
nb70	Global	25	1	0	0	1	1	394	1	
nb70	Global	26	1	1	1	1	1	352	1	
nb70	Global	27	1	0	1	0	0	449	1	
nb70	Global	28	1	1	0	1	1	453	1	
nb70	Global	29	1	1	0	1	0	449	1	
nb70	Global	30	1	1	0	1	1	413	1	
nb70	Global	31	1	0	0	0	0	477	1	
nb70	Global	32	1	0	1	0	0	571	1	
nb70	Local	1	1	1	0	1	0	589	1	
nb70	Local	2	1	1	0	1	1	416	1	
nb70	Local	3	1	0	0	0	1	584	1	
nb70	Local	4	1	1	1	1	0	476	1	
nb70	Local	5	1	1	1	1	0	466	1	
nb70	Local	6	1	1	1	1	0	345	1	
nb70	Local	7	1	0	0	0	0	329	1	
nb70	Local	8	1	0	0	1	1	487	1	
nb70	Local	9	1	1	0	0	1	383	1	
nb70	Local	10	1	0	0	1	1	340	1	
nb70	Local	11	1	0	1	1	1	372	1	
nb70	Local	12	1	0	1	0	1	303	1	
nb70	Local	13	1	1	1	1	0	418	1	
nb70	Local	14	1	1	0	0	0	378	1	
nb70	Local	15	1	0	1	1	1	413	1	
nb70	Local	16	1	0	0	1	0	549	1	
nb70	Local	17	1	1	1	1	0	150	0	
nb70	Local	18	1	0	1	0	1	424	1	
nb70	Local	19	1	1	1	0	0	522	1	
nb70	Local	20	1	0	1	1	0	559	1	
nb70	Local	21	1	1	0	1	1	479	1	
nb70	Local	22	1	0	1	0	0	440	1	
nb70	Local	23	1	1	1	0	0	563	1	
nb70	Local	24	1	0	1	0	1	539	1	
nb70	Local	25	1	0	1	0	1	554	1	
nb70	Local	26	1	1	0	0	1	394	1	
nb70	Local	27	1	1	0	1	1	353	1	
nb70	Local	28	1	0	0	0	1	386	1	
nb70	Local	29	1	0	0	1	1	383	1	
nb70	Local	30	1	0	0	0	1	339	1	
nb70	Local	31	1	1	0	0	1	323	1	
nb70	Local	32	1	0	1	0	0	361	1	
