SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ndn104	Global	1	0	0	0	1	1	1297	1	
ndn104	Global	2	0	1	1	0	0	743	1	
ndn104	Global	3	0	0	1	0	0	572	1	
ndn104	Global	4	0	0	1	1	0	630	1	
ndn104	Global	5	0	0	0	0	0	527	1	
ndn104	Global	6	0	1	0	0	0	396	1	
ndn104	Global	7	0	1	0	1	1	794	1	
ndn104	Global	8	0	0	0	0	1	519	1	
ndn104	Global	9	0	1	1	1	0	618	1	
ndn104	Global	10	0	0	0	1	0	609	1	
ndn104	Global	11	0	0	1	0	1	664	1	
ndn104	Global	12	0	1	1	1	0	620	1	
ndn104	Global	13	0	0	0	0	0	634	1	
ndn104	Global	14	0	1	1	0	0	587	1	
ndn104	Global	15	0	1	1	1	1	663	1	
ndn104	Global	16	0	0	1	0	1	546	1	
ndn104	Global	17	0	0	0	1	1	465	1	
ndn104	Global	18	0	1	0	0	0	656	1	
ndn104	Global	19	0	0	0	0	1	507	1	
ndn104	Global	20	0	1	0	1	0	655	1	
ndn104	Global	21	0	0	1	1	1	739	1	
ndn104	Global	22	0	1	0	1	0	584	1	
ndn104	Global	23	0	0	1	0	1	596	1	
ndn104	Global	24	0	0	1	1	1	569	1	
ndn104	Global	25	0	0	0	1	1	491	1	
ndn104	Global	26	0	1	0	0	1	507	1	
ndn104	Global	27	0	0	1	1	1	519	1	
ndn104	Global	28	0	0	1	0	1	426	1	
ndn104	Global	29	0	0	0	0	0	628	1	
ndn104	Global	30	0	1	1	0	1	612	1	
ndn104	Global	31	0	1	1	1	1	595	1	
ndn104	Global	32	0	0	0	1	1	577	1	
ndn104	Local	1	0	1	0	0	1	1290	1	
ndn104	Local	2	0	1	0	0	1	1086	1	
ndn104	Local	3	0	1	1	1	0	1218	1	
ndn104	Local	4	0	0	0	1	1	150	0	
ndn104	Local	5	0	1	0	1	0	1505	1	
ndn104	Local	6	0	0	0	1	0	998	1	
ndn104	Local	7	0	0	1	0	1	1081	1	
ndn104	Local	8	0	0	1	0	1	1956	1	
ndn104	Local	9	0	0	0	0	1	1339	1	
ndn104	Local	10	0	1	0	0	1	150	0	
ndn104	Local	11	0	1	0	0	0	1653	1	
ndn104	Local	12	0	0	1	1	0	1306	1	
ndn104	Local	13	0	1	1	0	1	824	1	
ndn104	Local	14	0	1	1	1	1	847	1	
ndn104	Local	15	0	1	0	1	0	704	1	
ndn104	Local	16	0	1	1	1	0	873	1	
ndn104	Local	17	0	0	1	1	1	813	1	
ndn104	Local	18	0	1	1	0	0	1107	1	
ndn104	Local	19	0	1	0	1	1	1442	1	
ndn104	Local	20	0	0	1	0	0	839	1	
ndn104	Local	21	0	1	1	0	1	745	1	
ndn104	Local	22	0	1	0	0	0	622	1	
ndn104	Local	23	0	1	0	0	0	631	1	
ndn104	Local	24	0	1	0	1	0	695	1	
ndn104	Local	25	0	1	1	1	0	680	1	
ndn104	Local	26	0	0	1	0	0	711	1	
ndn104	Local	27	0	1	0	0	0	593	1	
ndn104	Local	28	0	1	1	1	0	695	1	
ndn104	Local	29	0	1	1	1	0	567	1	
ndn104	Local	30	0	1	0	1	1	705	1	
ndn104	Local	31	0	1	0	1	0	674	1	
ndn104	Local	32	0	1	1	0	1	704	1	
ndn104	Global	1	1	1	0	0	0	1385	1	
ndn104	Global	2	1	1	0	0	1	624	1	
ndn104	Global	3	1	0	1	1	1	1208	1	
ndn104	Global	4	1	0	0	0	0	650	1	
ndn104	Global	5	1	1	0	1	1	693	1	
ndn104	Global	6	1	1	0	0	0	628	1	
ndn104	Global	7	1	1	1	0	0	1004	1	
ndn104	Global	8	1	1	1	1	0	847	1	
ndn104	Global	9	1	1	0	1	1	784	1	
ndn104	Global	10	1	1	1	0	0	819	1	
ndn104	Global	11	1	0	1	1	1	769	1	
ndn104	Global	12	1	0	1	0	0	786	1	
ndn104	Global	13	1	0	1	0	0	796	1	
ndn104	Global	14	1	0	0	1	1	632	1	
ndn104	Global	15	1	1	1	1	0	729	1	
ndn104	Global	16	1	0	1	1	1	765	1	
ndn104	Global	17	1	1	1	1	0	908	1	
ndn104	Global	18	1	1	1	0	0	644	1	
ndn104	Global	19	1	1	0	0	1	710	1	
ndn104	Global	20	1	0	0	1	1	816	1	
ndn104	Global	21	1	1	1	1	0	702	1	
ndn104	Global	22	1	0	1	1	1	951	1	
ndn104	Global	23	1	0	1	0	0	740	1	
ndn104	Global	24	1	1	0	0	1	865	1	
ndn104	Global	25	1	1	0	1	1	788	1	
ndn104	Global	26	1	0	0	1	1	742	1	
ndn104	Global	27	1	0	0	1	1	780	1	
ndn104	Global	28	1	1	0	0	0	615	1	
ndn104	Global	29	1	1	1	0	1	1126	1	
ndn104	Global	30	1	0	0	0	0	695	1	
ndn104	Global	31	1	1	0	1	1	776	1	
ndn104	Global	32	1	0	1	0	1	865	1	
ndn104	Local	1	1	1	1	1	1	957	1	
ndn104	Local	2	1	1	1	0	1	691	1	
ndn104	Local	3	1	0	1	0	1	778	1	
ndn104	Local	4	1	0	0	1	0	643	1	
ndn104	Local	5	1	0	0	1	1	678	1	
ndn104	Local	6	1	0	1	0	0	723	1	
ndn104	Local	7	1	1	0	1	1	655	1	
ndn104	Local	8	1	1	1	0	1	763	1	
ndn104	Local	9	1	1	0	0	1	722	1	
ndn104	Local	10	1	0	1	1	1	764	1	
ndn104	Local	11	1	1	1	0	1	692	1	
ndn104	Local	12	1	1	0	1	1	667	1	
ndn104	Local	13	1	1	1	1	0	744	1	
ndn104	Local	14	1	1	0	0	1	702	1	
ndn104	Local	15	1	0	0	1	1	743	1	
ndn104	Local	16	1	1	0	0	0	780	1	
ndn104	Local	17	1	0	0	0	1	775	1	
ndn104	Local	18	1	0	1	1	0	704	1	
ndn104	Local	19	1	1	1	0	1	704	1	
ndn104	Local	20	1	0	1	1	1	705	1	
ndn104	Local	21	1	1	1	1	1	682	1	
ndn104	Local	22	1	1	0	1	1	721	1	
ndn104	Local	23	1	0	1	0	1	651	1	
ndn104	Local	24	1	1	1	1	0	847	1	
ndn104	Local	25	1	0	0	1	0	696	1	
ndn104	Local	26	1	1	0	0	1	833	1	
ndn104	Local	27	1	0	0	1	0	984	1	
ndn104	Local	28	1	1	0	0	0	674	1	
ndn104	Local	29	1	1	1	0	0	943	1	
ndn104	Local	30	1	1	0	0	0	684	1	
ndn104	Local	31	1	1	0	0	1	787	1	
ndn104	Local	32	1	1	1	1	1	758	1	
