SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ne204	Global	1	0	1	0	0	1	882	1	
ne204	Global	2	0	1	1	1	1	504	1	
ne204	Global	3	0	1	1	1	0	450	1	
ne204	Global	4	0	0	0	1	1	367	1	
ne204	Global	5	0	1	1	1	1	482	1	
ne204	Global	6	0	0	0	0	1	498	1	
ne204	Global	7	0	1	1	0	0	572	1	
ne204	Global	8	0	0	0	1	0	502	1	
ne204	Global	9	0	1	0	1	0	376	1	
ne204	Global	10	0	1	1	0	1	451	1	
ne204	Global	11	0	0	1	0	1	496	1	
ne204	Global	12	0	1	1	1	1	522	1	
ne204	Global	13	0	1	1	0	1	607	1	
ne204	Global	14	0	1	0	0	1	412	1	
ne204	Global	15	0	1	1	0	0	396	1	
ne204	Global	16	0	0	1	0	1	538	1	
ne204	Global	17	0	1	0	1	0	369	1	
ne204	Global	18	0	1	0	1	0	436	1	
ne204	Global	19	0	0	0	0	0	487	1	
ne204	Global	20	0	0	1	0	1	511	1	
ne204	Global	21	0	0	0	0	1	499	1	
ne204	Global	22	0	1	0	1	0	373	1	
ne204	Global	23	0	0	0	1	1	472	1	
ne204	Global	24	0	0	0	0	0	454	1	
ne204	Global	25	0	1	1	1	1	150	0	
ne204	Global	26	0	1	1	1	0	509	1	
ne204	Global	27	0	0	1	1	0	472	1	
ne204	Global	28	0	0	0	1	0	447	1	
ne204	Global	29	0	1	1	0	0	450	1	
ne204	Global	30	0	1	1	1	1	503	1	
ne204	Global	31	0	0	0	0	1	425	1	
ne204	Global	32	0	0	0	0	1	530	1	
ne204	Local	1	0	1	0	1	1	689	1	
ne204	Local	2	0	0	0	1	1	512	1	
ne204	Local	3	0	1	1	1	1	150	0	
ne204	Local	4	0	0	0	1	1	624	1	
ne204	Local	5	0	0	0	1	1	560	1	
ne204	Local	6	0	1	1	1	0	568	1	
ne204	Local	7	0	1	0	1	1	627	1	
ne204	Local	8	0	0	1	0	0	507	1	
ne204	Local	9	0	0	0	0	0	566	1	
ne204	Local	10	0	0	1	0	0	520	1	
ne204	Local	11	0	0	1	0	1	150	0	
ne204	Local	12	0	1	0	1	1	639	1	
ne204	Local	13	0	1	1	0	0	505	1	
ne204	Local	14	0	1	1	1	0	507	1	
ne204	Local	15	0	1	1	0	1	623	1	
ne204	Local	16	0	1	0	1	1	583	1	
ne204	Local	17	0	0	0	0	1	563	1	
ne204	Local	18	0	1	0	0	0	371	1	
ne204	Local	19	0	0	0	0	0	614	1	
ne204	Local	20	0	0	0	1	1	413	1	
ne204	Local	21	0	0	0	0	0	581	1	
ne204	Local	22	0	0	1	1	1	553	1	
ne204	Local	23	0	1	1	1	1	150	0	
ne204	Local	24	0	0	1	1	1	752	1	
ne204	Local	25	0	1	1	1	1	743	1	
ne204	Local	26	0	0	1	0	1	637	1	
ne204	Local	27	0	1	1	0	0	639	1	
ne204	Local	28	0	0	0	0	0	513	1	
ne204	Local	29	0	1	0	0	0	613	1	
ne204	Local	30	0	0	1	1	1	636	1	
ne204	Local	31	0	1	1	0	0	636	1	
ne204	Local	32	0	0	0	0	1	405	1	
ne204	Global	1	1	0	0	1	0	545	1	
ne204	Global	2	1	1	1	0	0	424	1	
ne204	Global	3	1	1	0	0	0	401	1	
ne204	Global	4	1	1	0	0	1	344	1	
ne204	Global	5	1	0	0	1	0	303	1	
ne204	Global	6	1	0	1	1	1	578	1	
ne204	Global	7	1	0	0	0	0	308	1	
ne204	Global	8	1	1	0	1	1	225	1	
ne204	Global	9	1	1	0	1	0	339	1	
ne204	Global	10	1	1	1	1	0	571	1	
ne204	Global	11	1	0	1	0	0	150	0	
ne204	Global	12	1	1	1	0	0	650	1	
ne204	Global	13	1	0	1	1	0	150	0	
ne204	Global	14	1	1	0	0	0	430	1	
ne204	Global	15	1	1	1	1	1	150	0	
ne204	Global	16	1	1	1	1	1	1003	1	
ne204	Global	17	1	1	1	0	1	630	1	
ne204	Global	18	1	0	1	1	0	647	1	
ne204	Global	19	1	0	0	1	0	465	1	
ne204	Global	20	1	0	0	1	1	344	1	
ne204	Global	21	1	1	1	0	0	543	1	
ne204	Global	22	1	1	0	1	1	454	1	
ne204	Global	23	1	1	0	0	1	531	1	
ne204	Global	24	1	0	1	1	0	656	1	
ne204	Global	25	1	0	1	0	1	676	1	
ne204	Global	26	1	1	1	0	0	537	1	
ne204	Global	27	1	0	0	0	0	432	1	
ne204	Global	28	1	0	0	1	0	354	1	
ne204	Global	29	1	1	0	0	1	531	1	
ne204	Global	30	1	1	1	0	0	464	1	
ne204	Global	31	1	1	1	1	0	150	0	
ne204	Global	32	1	0	0	0	1	629	1	
ne204	Local	1	1	0	1	0	0	713	1	
ne204	Local	2	1	1	1	0	0	150	0	
ne204	Local	3	1	1	1	1	1	682	1	
ne204	Local	4	1	0	0	1	0	385	1	
ne204	Local	5	1	1	1	0	0	390	1	
ne204	Local	6	1	1	0	0	0	395	1	
ne204	Local	7	1	1	1	1	1	150	0	
ne204	Local	8	1	0	1	1	1	364	1	
ne204	Local	9	1	1	0	1	0	463	1	
ne204	Local	10	1	0	0	1	1	300	1	
ne204	Local	11	1	1	0	1	1	150	0	
ne204	Local	12	1	1	0	1	1	559	1	
ne204	Local	13	1	1	1	1	1	583	1	
ne204	Local	14	1	1	0	0	1	475	1	
ne204	Local	15	1	1	1	0	0	425	1	
ne204	Local	16	1	1	1	1	0	150	0	
ne204	Local	17	1	1	1	1	0	428	1	
ne204	Local	18	1	0	1	1	1	374	1	
ne204	Local	19	1	0	0	1	1	150	0	
ne204	Local	20	1	1	0	0	1	150	0	
ne204	Local	21	1	1	0	0	0	425	1	
ne204	Local	22	1	1	1	0	0	467	1	
ne204	Local	23	1	0	1	1	1	297	1	
ne204	Local	24	1	0	1	0	1	452	1	
ne204	Local	25	1	1	0	1	0	329	1	
ne204	Local	26	1	0	1	0	0	150	0	
ne204	Local	27	1	0	0	0	1	951	1	
ne204	Local	28	1	1	0	1	1	563	1	
ne204	Local	29	1	1	0	0	1	500	1	
ne204	Local	30	1	0	0	0	0	358	1	
ne204	Local	31	1	1	0	0	0	519	1	
ne204	Local	32	1	0	1	0	1	538	1	
