SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
nh90	Global	1	1	1	1	1	0	1752	1	
nh90	Global	2	1	0	1	1	1	1192	1	
nh90	Global	3	1	1	1	1	0	689	1	
nh90	Global	4	1	1	1	0	1	912	1	
nh90	Global	5	1	0	0	0	1	841	1	
nh90	Global	6	1	0	1	1	0	658	1	
nh90	Global	7	1	1	0	1	0	638	1	
nh90	Global	8	1	1	0	1	0	528	1	
nh90	Global	9	1	0	0	1	1	621	1	
nh90	Global	10	1	1	0	0	0	388	1	
nh90	Global	11	1	1	1	0	0	625	1	
nh90	Global	12	1	1	0	0	1	481	1	
nh90	Global	13	1	0	0	1	0	642	1	
nh90	Global	14	1	1	1	1	1	804	1	
nh90	Global	15	1	1	0	0	1	704	1	
nh90	Global	16	1	0	0	1	0	609	1	
nh90	Global	17	1	1	1	0	1	680	1	
nh90	Global	18	1	1	0	0	0	399	1	
nh90	Global	19	1	0	1	1	0	150	0	
nh90	Global	20	1	1	1	0	0	623	1	
nh90	Global	21	1	1	1	0	0	607	1	
nh90	Global	22	1	0	1	1	0	637	1	
nh90	Global	23	1	0	0	1	0	415	1	
nh90	Global	24	1	0	1	1	0	487	1	
nh90	Global	25	1	0	1	0	0	543	1	
nh90	Global	26	1	0	0	0	1	630	1	
nh90	Global	27	1	0	1	0	0	686	1	
nh90	Global	28	1	0	0	1	1	533	1	
nh90	Global	29	1	1	1	0	0	522	1	
nh90	Global	30	1	1	0	1	0	463	1	
nh90	Global	31	1	1	0	0	0	412	1	
nh90	Global	32	1	1	0	0	0	380	1	
nh90	Local	1	1	0	1	1	1	859	1	
nh90	Local	2	1	1	0	0	0	494	1	
nh90	Local	3	1	1	1	0	1	616	1	
nh90	Local	4	1	0	0	1	1	463	1	
nh90	Local	5	1	0	1	0	0	636	1	
nh90	Local	6	1	1	0	0	0	524	1	
nh90	Local	7	1	0	0	1	1	505	1	
nh90	Local	8	1	1	1	0	0	419	1	
nh90	Local	9	1	1	0	1	0	499	1	
nh90	Local	10	1	0	1	0	1	581	1	
nh90	Local	11	1	1	1	0	0	640	1	
nh90	Local	12	1	0	0	1	0	819	1	
nh90	Local	13	1	0	1	1	0	448	1	
nh90	Local	14	1	1	1	1	0	468	1	
nh90	Local	15	1	0	0	1	0	546	1	
nh90	Local	16	1	1	1	1	1	753	1	
nh90	Local	17	1	0	1	0	0	872	1	
nh90	Local	18	1	1	0	1	1	717	1	
nh90	Local	19	1	0	1	1	1	695	1	
nh90	Local	20	1	1	1	1	1	616	1	
nh90	Local	21	1	1	0	0	1	687	1	
nh90	Local	22	1	1	0	1	0	718	1	
nh90	Local	23	1	0	0	0	0	608	1	
nh90	Local	24	1	0	1	1	1	607	1	
nh90	Local	25	1	1	0	0	1	460	1	
nh90	Local	26	1	1	0	1	0	505	1	
nh90	Local	27	1	1	1	0	1	755	1	
nh90	Local	28	1	0	0	0	1	610	1	
nh90	Local	29	1	1	1	1	0	537	1	
nh90	Local	30	1	0	0	0	0	584	1	
nh90	Local	31	1	0	0	0	1	555	1	
nh90	Local	32	1	0	1	0	0	548	1	
nh90	Global	1	0	1	0	0	0	638	1	
nh90	Global	2	0	1	0	0	0	440	1	
nh90	Global	3	0	1	0	1	0	347	1	
nh90	Global	4	0	0	0	1	1	507	1	
nh90	Global	5	0	0	1	1	1	414	1	
nh90	Global	6	0	0	0	1	1	326	1	
nh90	Global	7	0	0	1	1	1	413	1	
nh90	Global	8	0	0	1	1	0	557	1	
