Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	1.00	1.00	1.00	1.00	1.00	1.00
incong	0.94	1.00	0.97	1.00	1.00	1.00	0.98
Grand Total	0.97	1.00	0.98	1.00	1.00	1.00	0.99
							
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	0.94	1.00	1.00	1.00	1.00	1.00	1.00
473.2	507.9	523.6	632.1	447.8	536.6	465.1	499.4
							
							
rt	SDev	CCor	UCor				
473.2	108.7	16	16	0	0	0	
507.9	74.26	14	15	0	0	1	
523.6	67.19	16	16	0	1	0	
632.1	111.9	16	16	0	1	1	
447.8	51.27	16	16	1	0	0	
536.6	83.55	16	16	1	0	1	
465.1	58.13	15	16	1	1	0	
499.4	89.62	16	16	1	1	1	
