SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ns38	Global	1	1	1	0	1	0	1093	1	
ns38	Global	2	1	1	1	0	0	150	0	
ns38	Global	3	1	1	1	1	0	150	0	
ns38	Global	4	1	1	0	1	1	438	1	
ns38	Global	5	1	0	1	0	0	150	0	
ns38	Global	6	1	1	0	0	1	393	1	
ns38	Global	7	1	1	1	1	0	150	0	
ns38	Global	8	1	0	1	1	0	150	0	
ns38	Global	9	1	1	0	1	1	449	1	
ns38	Global	10	1	1	0	0	0	548	1	
ns38	Global	11	1	0	1	0	0	150	0	
ns38	Global	12	1	0	0	1	0	464	1	
ns38	Global	13	1	1	1	0	1	150	0	
ns38	Global	14	1	1	1	0	1	150	0	
ns38	Global	15	1	0	1	0	1	150	0	
ns38	Global	16	1	0	0	0	0	450	1	
ns38	Global	17	1	1	0	0	1	543	1	
ns38	Global	18	1	1	1	1	1	150	0	
ns38	Global	19	1	1	0	1	1	1661	1	
ns38	Global	20	1	1	1	0	0	150	0	
ns38	Global	21	1	1	1	0	1	150	0	
ns38	Global	22	1	0	0	0	0	618	1	
ns38	Global	23	1	0	1	1	1	150	0	
ns38	Global	24	1	0	0	0	0	636	1	
ns38	Global	25	1	1	1	1	0	150	0	
ns38	Global	26	1	1	0	1	1	1353	1	
ns38	Global	27	1	1	1	1	0	150	0	
ns38	Global	28	1	1	0	1	1	482	1	
ns38	Global	29	1	0	0	1	1	442	1	
ns38	Global	30	1	1	0	0	1	414	1	
ns38	Global	31	1	0	0	0	1	462	1	
ns38	Global	32	1	0	1	1	1	150	0	
ns38	Local	1	1	1	1	1	1	1493	1	
ns38	Local	2	1	0	0	0	1	832	1	
ns38	Local	3	1	0	1	0	1	480	1	
ns38	Local	4	1	1	1	0	0	640	1	
ns38	Local	5	1	0	1	0	0	586	1	
ns38	Local	6	1	0	1	0	0	621	1	
ns38	Local	7	1	1	1	1	0	150	0	
ns38	Local	8	1	0	1	1	1	1160	1	
ns38	Local	9	1	0	0	0	1	845	1	
ns38	Local	10	1	0	0	0	0	974	1	
ns38	Local	11	1	0	0	0	1	942	1	
ns38	Local	12	1	0	0	1	1	890	1	
ns38	Local	13	1	1	1	1	1	752	1	
ns38	Local	14	1	0	0	0	1	880	1	
ns38	Local	15	1	0	0	1	0	1076	1	
ns38	Local	16	1	0	0	1	0	895	1	
ns38	Local	17	1	1	0	1	1	150	0	
ns38	Local	18	1	0	0	0	0	611	1	
ns38	Local	19	1	1	0	1	1	1074	1	
ns38	Local	20	1	1	1	1	1	1190	1	
