SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
oev42	Global	1	1	0	0	0	1	985	1	
oev42	Global	2	1	0	0	0	1	890	1	
oev42	Global	3	1	0	1	1	0	920	1	
oev42	Global	4	1	0	0	0	0	1065	1	
oev42	Global	5	1	0	1	0	0	835	1	
oev42	Global	6	1	1	0	0	1	522	1	
oev42	Global	7	1	1	0	1	1	967	1	
oev42	Global	8	1	0	0	1	0	815	1	
oev42	Global	9	1	1	0	1	0	941	1	
oev42	Global	10	1	1	1	1	0	1130	1	
oev42	Global	11	1	0	0	0	0	532	1	
oev42	Global	12	1	0	1	0	1	633	1	
oev42	Global	13	1	0	0	0	0	769	1	
oev42	Global	14	1	0	1	0	1	714	1	
oev42	Global	15	1	0	0	0	0	684	1	
oev42	Global	16	1	1	1	0	0	676	1	
oev42	Global	17	1	0	1	0	0	609	1	
oev42	Global	18	1	1	0	0	0	496	1	
oev42	Global	19	1	0	1	1	1	658	1	
oev42	Global	20	1	0	0	1	0	725	1	
oev42	Global	21	1	1	1	0	0	466	1	
oev42	Global	22	1	1	1	0	0	576	1	
oev42	Global	23	1	0	0	1	1	658	1	
oev42	Global	24	1	1	1	1	1	502	1	
oev42	Global	25	1	1	1	1	1	464	1	
oev42	Global	26	1	1	0	1	0	420	1	
oev42	Global	27	1	0	1	0	1	676	1	
oev42	Global	28	1	0	0	1	1	698	1	
oev42	Global	29	1	1	1	1	0	715	1	
oev42	Global	30	1	1	1	1	0	733	1	
oev42	Global	31	1	1	0	1	0	841	1	
oev42	Global	32	1	0	1	1	0	594	1	
oev42	Local	1	1	0	0	1	0	967	1	
oev42	Local	2	1	0	1	0	0	919	1	
oev42	Local	3	1	1	0	0	1	648	1	
oev42	Local	4	1	0	1	1	0	747	1	
oev42	Local	5	1	0	1	1	1	728	1	
oev42	Local	6	1	0	0	0	1	604	1	
oev42	Local	7	1	0	1	1	0	682	1	
oev42	Local	8	1	0	0	0	1	641	1	
oev42	Local	9	1	0	0	0	1	635	1	
oev42	Local	10	1	0	1	0	0	691	1	
oev42	Local	11	1	1	1	1	0	715	1	
oev42	Local	12	1	1	1	1	0	725	1	
oev42	Local	13	1	0	0	0	0	665	1	
oev42	Local	14	1	1	1	1	0	605	1	
oev42	Local	15	1	1	0	0	1	626	1	
oev42	Local	16	1	1	0	1	1	699	1	
oev42	Local	17	1	1	0	1	1	979	1	
oev42	Local	18	1	1	0	1	0	715	1	
oev42	Local	19	1	0	1	1	0	757	1	
oev42	Local	20	1	1	1	0	0	757	1	
oev42	Local	21	1	1	0	1	0	708	1	
oev42	Local	22	1	0	1	0	1	605	1	
oev42	Local	23	1	0	1	1	1	554	1	
oev42	Local	24	1	1	0	1	0	906	1	
