SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ln213	Global	1	0	1	0	1	1	605	1	
ln213	Global	2	0	1	0	0	0	419	1	
ln213	Global	3	0	1	0	0	1	418	1	
ln213	Global	4	0	0	0	1	0	459	1	
ln213	Global	5	0	0	0	0	0	431	1	
ln213	Global	6	0	1	0	0	1	513	1	
ln213	Global	7	0	0	0	1	1	516	1	
ln213	Global	8	0	1	1	1	0	728	1	
ln213	Global	9	0	1	1	0	1	700	1	
ln213	Global	10	0	0	1	1	0	150	0	
ln213	Global	11	0	0	0	0	1	150	0	
ln213	Global	12	0	1	0	1	0	150	0	
ln213	Global	13	0	0	0	1	1	984	1	
ln213	Global	14	0	1	1	0	1	150	0	
ln213	Global	15	0	0	1	1	0	530	1	
ln213	Global	16	0	0	1	0	0	503	1	
ln213	Global	17	0	1	0	1	0	441	1	
ln213	Global	18	0	1	0	0	0	636	1	
ln213	Global	19	0	1	1	0	0	389	1	
ln213	Global	20	0	0	0	0	1	585	1	
ln213	Global	21	0	0	1	0	1	693	1	
ln213	Global	22	0	1	1	0	1	1124	1	
ln213	Global	23	0	1	1	1	1	580	1	
ln213	Global	24	0	0	1	0	0	568	1	
ln213	Global	25	0	1	1	1	0	150	0	
ln213	Global	26	0	1	1	1	0	987	1	
ln213	Global	27	0	0	0	0	1	628	1	
ln213	Global	28	0	0	1	1	0	150	0	
ln213	Global	29	0	0	1	1	0	587	1	
ln213	Global	30	0	1	1	0	1	798	1	
ln213	Global	31	0	1	0	1	1	747	1	
ln213	Global	32	0	1	0	1	1	520	1	
ln213	Local	1	0	0	0	0	0	750	1	
ln213	Local	2	0	1	0	1	0	428	1	
ln213	Local	3	0	0	0	1	1	429	1	
ln213	Local	4	0	1	0	1	1	839	1	
ln213	Local	5	0	0	0	1	0	608	1	
ln213	Local	6	0	1	0	1	1	519	1	
ln213	Local	7	0	1	1	0	1	150	0	
ln213	Local	8	0	0	1	1	1	150	0	
ln213	Local	9	0	1	0	1	1	150	0	
ln213	Local	10	0	0	1	1	0	150	0	
ln213	Local	11	0	0	1	1	0	777	1	
ln213	Local	12	0	0	0	0	1	634	1	
ln213	Local	13	0	1	1	0	1	667	1	
ln213	Local	14	0	0	0	0	1	150	0	
ln213	Local	15	0	1	0	0	1	743	1	
ln213	Local	16	0	1	0	1	1	445	1	
ln213	Local	17	0	0	0	0	1	480	1	
ln213	Local	18	0	0	0	0	1	472	1	
ln213	Local	19	0	0	1	1	0	527	1	
ln213	Local	20	0	1	1	1	0	492	1	
ln213	Local	21	0	1	1	0	1	676	1	
ln213	Local	22	0	0	0	0	1	1058	1	
ln213	Local	23	0	0	1	0	1	507	1	
ln213	Local	24	0	1	1	0	0	527	1	
ln213	Local	25	0	0	0	0	0	516	1	
ln213	Local	26	0	1	1	1	0	519	1	
ln213	Local	27	0	0	1	0	1	571	1	
ln213	Local	28	0	0	1	0	1	421	1	
ln213	Local	29	0	1	1	1	1	709	1	
ln213	Local	30	0	1	0	1	0	471	1	
ln213	Local	31	0	1	1	1	0	509	1	
ln213	Local	32	0	0	1	0	0	537	1	
ln213	Global	1	1	0	0	1	1	581	1	
ln213	Global	2	1	1	1	1	0	150	0	
ln213	Global	3	1	1	0	0	1	438	1	
ln213	Global	4	1	1	0	1	0	385	1	
ln213	Global	5	1	1	1	0	1	150	0	
ln213	Global	6	1	0	0	1	1	521	1	
ln213	Global	7	1	1	1	1	0	684	1	
ln213	Global	8	1	0	1	0	1	556	1	
ln213	Global	9	1	1	1	0	1	150	0	
ln213	Global	10	1	0	1	1	1	876	1	
ln213	Global	11	1	0	0	1	1	849	1	
ln213	Global	12	1	0	0	0	0	490	1	
ln213	Global	13	1	0	0	0	1	442	1	
ln213	Global	14	1	0	1	1	0	645	1	
ln213	Global	15	1	0	1	1	1	527	1	
ln213	Global	16	1	1	0	0	1	524	1	
ln213	Global	17	1	1	1	0	0	809	1	
ln213	Global	18	1	1	0	1	1	487	1	
ln213	Global	19	1	0	1	0	1	871	1	
ln213	Global	20	1	0	1	1	0	780	1	
ln213	Global	21	1	0	1	1	0	581	1	
ln213	Global	22	1	0	0	0	1	664	1	
ln213	Global	23	1	0	1	0	1	150	0	
ln213	Global	24	1	1	0	1	1	664	1	
ln213	Global	25	1	0	0	1	1	548	1	
ln213	Global	26	1	0	0	0	0	562	1	
ln213	Global	27	1	1	0	1	0	507	1	
ln213	Global	28	1	0	0	0	0	428	1	
ln213	Global	29	1	1	1	0	1	494	1	
ln213	Global	30	1	0	0	0	1	416	1	
ln213	Global	31	1	1	1	1	0	536	1	
ln213	Global	32	1	1	1	0	0	551	1	
ln213	Local	1	1	1	1	0	1	826	1	
ln213	Local	2	1	0	1	0	1	641	1	
ln213	Local	3	1	0	0	0	0	150	0	
ln213	Local	4	1	1	1	1	0	150	0	
ln213	Local	5	1	0	1	1	0	150	0	
ln213	Local	6	1	0	0	1	0	617	1	
ln213	Local	7	1	1	1	1	1	496	1	
ln213	Local	8	1	0	0	1	1	150	0	
ln213	Local	9	1	1	0	0	1	685	1	
ln213	Local	10	1	1	0	1	1	404	1	
ln213	Local	11	1	0	1	0	0	635	1	
ln213	Local	12	1	0	0	0	0	150	0	
ln213	Local	13	1	1	1	1	0	955	1	
ln213	Local	14	1	0	0	1	1	457	1	
ln213	Local	15	1	1	0	0	1	926	1	
ln213	Local	16	1	1	0	0	0	529	1	
ln213	Local	17	1	1	0	1	1	614	1	
ln213	Local	18	1	1	0	1	0	997	1	
ln213	Local	19	1	1	1	0	1	632	1	
ln213	Local	20	1	0	0	1	1	537	1	
ln213	Local	21	1	1	0	0	1	552	1	
ln213	Local	22	1	0	1	0	1	528	1	
ln213	Local	23	1	1	1	1	1	493	1	
ln213	Local	24	1	0	1	1	1	415	1	
ln213	Local	25	1	1	0	1	1	447	1	
ln213	Local	26	1	1	0	0	0	150	0	
ln213	Local	27	1	1	1	1	0	696	1	
ln213	Local	28	1	1	0	0	1	513	1	
ln213	Local	29	1	0	1	0	1	485	1	
ln213	Local	30	1	1	1	1	1	150	0	
ln213	Local	31	1	1	1	0	0	150	0	
ln213	Local	32	1	1	1	0	1	150	0	
