Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	0	1		0	1		
0	1.00	1.00	1.00	1.00	1.00	1.00	1.00
1	0.94	0.94	0.94	0.94	0.94	0.94	0.94
Grand Total	0.97	0.97	0.97	0.97	0.97	0.97	0.97
							
							
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	0.94	1.00	0.94	1.00	0.94	1.00	0.94
460.8	499.3	458.3	565.5	436	530.6	431.4	449.9
							
							
rt	SDev	CCor	UCor				
460.8	51.71	16	16	0	0	0	
499.3	87.1	15	15	0	0	1	
458.3	32.31	15	16	0	1	0	
565.5	69.78	15	15	0	1	1	
436	45.24	15	16	1	0	0	
530.6	78.97	15	15	1	0	1	
431.4	47.84	16	16	1	1	0	
449.9	70.51	15	15	1	1	1	
