SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
rb143	Global	1	0	1	1	1	0	150	0	
rb143	Global	2	0	0	1	0	0	595	1	
rb143	Global	3	0	0	0	0	0	464	1	
rb143	Global	4	0	0	0	0	1	509	1	
rb143	Global	5	0	1	1	0	0	560	1	
rb143	Global	6	0	0	1	0	0	576	1	
rb143	Global	7	0	0	0	0	1	514	1	
rb143	Global	8	0	1	1	0	0	494	1	
rb143	Global	9	0	1	0	1	1	528	1	
rb143	Global	10	0	1	1	1	1	493	1	
rb143	Global	11	0	0	0	1	0	423	1	
rb143	Global	12	0	0	1	0	1	496	1	
rb143	Global	13	0	1	0	1	1	498	1	
rb143	Global	14	0	1	0	1	1	516	1	
rb143	Global	15	0	0	1	0	0	415	1	
rb143	Global	16	0	0	1	0	1	503	1	
rb143	Global	17	0	1	1	1	1	705	1	
rb143	Global	18	0	0	0	0	0	458	1	
rb143	Global	19	0	1	0	1	0	527	1	
rb143	Global	20	0	0	0	1	1	460	1	
rb143	Global	21	0	1	0	0	0	385	1	
rb143	Global	22	0	1	1	1	1	533	1	
rb143	Global	23	0	1	0	0	1	458	1	
rb143	Global	24	0	1	0	0	0	415	1	
rb143	Global	25	0	1	1	1	1	407	1	
rb143	Global	26	0	0	1	1	1	439	1	
rb143	Global	27	0	1	1	1	1	490	1	
rb143	Global	28	0	0	0	0	0	451	1	
rb143	Global	29	0	1	0	1	0	391	1	
rb143	Global	30	0	0	1	0	1	420	1	
rb143	Global	31	0	0	1	1	1	364	1	
rb143	Global	32	0	1	0	1	0	375	1	
rb143	Local	1	0	0	1	1	0	150	0	
rb143	Local	2	0	1	0	1	1	1079	1	
rb143	Local	3	0	0	1	0	0	578	1	
rb143	Local	4	0	1	1	0	0	572	1	
rb143	Local	5	0	1	0	0	0	494	1	
rb143	Local	6	0	1	1	0	1	592	1	
rb143	Local	7	0	1	0	1	0	516	1	
rb143	Local	8	0	1	1	1	0	583	1	
rb143	Local	9	0	0	0	1	0	379	1	
rb143	Local	10	0	0	1	1	1	679	1	
rb143	Local	11	0	0	1	0	1	462	1	
rb143	Local	12	0	1	0	0	0	491	1	
rb143	Local	13	0	0	1	1	0	587	1	
rb143	Local	14	0	1	1	0	1	511	1	
rb143	Local	15	0	1	1	1	1	531	1	
rb143	Local	16	0	1	0	0	0	448	1	
rb143	Local	17	0	0	1	0	0	595	1	
rb143	Local	18	0	0	1	0	1	440	1	
rb143	Local	19	0	1	0	1	1	419	1	
rb143	Local	20	0	1	1	1	0	411	1	
rb143	Local	21	0	0	0	0	1	483	1	
rb143	Local	22	0	0	1	1	1	403	1	
rb143	Local	23	0	1	0	0	1	418	1	
rb143	Local	24	0	0	0	1	1	394	1	
rb143	Local	25	0	1	0	1	1	440	1	
rb143	Local	26	0	1	0	0	1	379	1	
rb143	Local	27	0	0	0	1	0	376	1	
rb143	Local	28	0	0	0	0	0	459	1	
rb143	Local	29	0	1	1	0	0	472	1	
rb143	Local	30	0	1	0	1	0	415	1	
rb143	Local	31	0	1	1	1	1	543	1	
rb143	Local	32	0	1	0	0	1	429	1	
rb143	Global	1	1	0	0	1	1	634	1	
rb143	Global	2	1	0	0	1	0	435	1	
rb143	Global	3	1	1	0	0	1	493	1	
rb143	Global	4	1	0	0	0	1	445	1	
rb143	Global	5	1	1	1	1	0	608	1	
rb143	Global	6	1	1	1	0	1	679	1	
rb143	Global	7	1	0	1	0	0	604	1	
rb143	Global	8	1	0	1	0	0	514	1	
rb143	Global	9	1	0	1	0	0	581	1	
rb143	Global	10	1	1	1	0	1	513	1	
rb143	Global	11	1	0	1	0	0	660	1	
rb143	Global	12	1	1	0	0	1	416	1	
rb143	Global	13	1	1	1	1	1	496	1	
rb143	Global	14	1	0	0	0	0	482	1	
rb143	Global	15	1	1	1	1	1	482	1	
rb143	Global	16	1	0	0	1	0	402	1	
rb143	Global	17	1	1	0	1	1	472	1	
rb143	Global	18	1	0	0	0	1	415	1	
rb143	Global	19	1	1	1	1	0	447	1	
rb143	Global	20	1	0	0	0	0	442	1	
rb143	Global	21	1	0	0	1	0	469	1	
rb143	Global	22	1	1	1	1	1	580	1	
rb143	Global	23	1	0	1	1	1	150	0	
rb143	Global	24	1	1	0	1	1	481	1	
rb143	Global	25	1	0	0	1	0	465	1	
rb143	Global	26	1	1	1	0	1	512	1	
rb143	Global	27	1	0	1	1	0	651	1	
rb143	Global	28	1	1	1	0	0	599	1	
rb143	Global	29	1	0	0	0	0	492	1	
rb143	Global	30	1	0	0	0	0	452	1	
rb143	Global	31	1	0	0	1	0	513	1	
rb143	Global	32	1	1	1	1	1	557	1	
rb143	Local	1	1	1	1	0	1	150	0	
rb143	Local	2	1	1	1	0	0	626	1	
rb143	Local	3	1	0	0	1	1	547	1	
rb143	Local	4	1	0	0	1	1	466	1	
rb143	Local	5	1	0	1	0	1	496	1	
rb143	Local	6	1	1	1	0	0	514	1	
rb143	Local	7	1	1	1	1	1	533	1	
rb143	Local	8	1	1	0	1	1	450	1	
rb143	Local	9	1	0	1	1	0	399	1	
rb143	Local	10	1	1	1	0	0	462	1	
rb143	Local	11	1	1	0	0	0	427	1	
rb143	Local	12	1	0	0	1	0	396	1	
rb143	Local	13	1	0	0	0	0	402	1	
rb143	Local	14	1	0	0	0	0	425	1	
rb143	Local	15	1	0	0	1	1	410	1	
rb143	Local	16	1	0	0	0	0	522	1	
rb143	Local	17	1	1	1	0	1	487	1	
rb143	Local	18	1	0	1	1	1	416	1	
rb143	Local	19	1	1	0	1	1	408	1	
rb143	Local	20	1	1	1	0	1	384	1	
rb143	Local	21	1	0	0	0	0	436	1	
rb143	Local	22	1	1	0	0	0	400	1	
rb143	Local	23	1	0	0	0	0	366	1	
rb143	Local	24	1	0	1	0	1	417	1	
rb143	Local	25	1	1	1	1	1	433	1	
rb143	Local	26	1	0	0	1	1	427	1	
rb143	Local	27	1	0	0	1	0	380	1	
rb143	Local	28	1	1	1	1	0	385	1	
rb143	Local	29	1	0	1	1	1	422	1	
rb143	Local	30	1	1	1	1	1	415	1	
rb143	Local	31	1	0	1	1	0	359	1	
rb143	Local	32	1	1	0	0	1	441	1	
