SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor	
rg92	Global	1	0	0	0	1	1	427	1	
rg92	Global	2	0	1	0	0	0	492	1	
rg92	Global	3	0	0	1	0	1	708	1	
rg92	Global	4	0	0	0	0	1	519	1	
rg92	Global	5	0	1	1	0	0	594	1	
rg92	Global	6	0	0	0	1	1	560	1	
rg92	Global	7	0	0	0	0	0	648	1	
rg92	Global	8	0	1	1	0	1	578	1	
rg92	Global	9	0	0	0	1	0	1148	1	
rg92	Global	10	0	1	1	0	0	840	1	
rg92	Global	11	0	0	1	1	1	665	1	
rg92	Global	12	0	0	0	1	1	556	1	
rg92	Global	13	0	0	0	1	1	485	1	
rg92	Global	14	0	0	0	0	0	517	1	
rg92	Global	15	0	1	1	0	0	568	1	
rg92	Global	16	0	0	0	1	0	826	1	
rg92	Global	17	0	0	1	1	1	682	1	
rg92	Global	18	0	1	0	1	1	561	1	
rg92	Global	19	0	0	1	1	1	513	1	
rg92	Global	20	0	0	0	0	0	613	1	
rg92	Global	21	0	1	1	0	1	780	1	
rg92	Global	22	0	1	0	0	1	597	1	
rg92	Global	23	0	0	1	0	0	434	1	
rg92	Global	24	0	1	0	1	0	659	1	
rg92	Global	25	0	1	0	0	1	415	1	
rg92	Global	26	0	0	1	1	0	463	1	
rg92	Global	27	0	0	1	1	0	676	1	
rg92	Global	28	0	1	1	1	1	1146	1	
rg92	Global	29	0	1	1	1	0	597	1	
rg92	Global	30	0	0	1	0	1	530	1	
rg92	Global	31	0	1	0	0	0	471	1	
rg92	Global	32	0	1	1	1	1	470	1	
rg92	Local	1	0	0	0	1	0	699	1	
rg92	Local	2	0	1	0	0	1	500	1	
rg92	Local	3	0	1	1	1	1	686	1	
rg92	Local	4	0	0	0	0	0	477	1	
rg92	Local	5	0	1	0	0	1	451	1	
rg92	Local	6	0	0	0	1	0	736	1	
rg92	Local	7	0	0	0	1	1	460	1	
rg92	Local	8	0	1	0	1	1	433	1	
rg92	Local	9	0	1	1	1	1	451	1	
rg92	Local	10	0	0	1	0	1	488	1	
rg92	Local	11	0	1	0	0	1	464	1	
rg92	Local	12	0	0	1	0	0	581	1	
rg92	Local	13	0	1	1	0	0	568	1	
rg92	Local	14	0	1	1	0	0	434	1	
rg92	Local	15	0	1	1	1	0	516	1	
rg92	Local	16	0	0	0	0	0	655	1	
rg92	Local	17	0	0	0	0	1	843	1	
rg92	Local	18	0	1	1	1	1	548	1	
rg92	Local	19	0	0	0	0	0	643	1	
