Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	1.00	1.00	1.00	0.94	0.97	0.98
incong	1.00	1.00	1.00	0.94	0.88	0.91	0.95
Grand Total	1.00	1.00	1.00	0.97	0.91	0.94	0.97
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	1.00	1.00	1.00	1.00	0.94	0.94	0.88
436.7	426.3	499.3	544.9	446.8	558.5	410.9	441.9
							
							
							
rt	SDev	CCor	UCor				
436.7	27.6	15	16	0	0	0	
426.3	35.14	15	16	0	0	1	
499.3	150.5	16	16	0	1	0	
544.9	101.1	16	16	0	1	1	
446.8	31.83	16	16	1	0	0	
558.5	89.7	15	15	1	0	1	
410.9	75.99	15	15	1	1	0	
441.9	71.14	14	14	1	1	1	
