SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
rt137	Global	1	1	1	0	0	0	504	1	
rt137	Global	2	1	0	0	1	1	457	1	
rt137	Global	3	1	1	1	0	1	150	0	
rt137	Global	4	1	0	1	0	0	150	0	
rt137	Global	5	1	0	0	1	0	565	1	
rt137	Global	6	1	1	0	0	0	407	1	
rt137	Global	7	1	0	1	1	0	487	1	
rt137	Global	8	1	1	1	1	0	375	1	
rt137	Global	9	1	0	1	1	0	378	1	
rt137	Global	10	1	0	1	0	0	343	1	
rt137	Global	11	1	1	0	1	0	422	1	
rt137	Global	12	1	0	0	1	1	376	1	
rt137	Global	13	1	1	1	0	1	691	1	
rt137	Global	14	1	1	1	1	0	594	1	
rt137	Global	15	1	0	0	0	1	407	1	
rt137	Global	16	1	1	1	1	1	951	1	
rt137	Global	17	1	1	1	0	0	588	1	
rt137	Global	18	1	0	1	1	0	800	1	
rt137	Global	19	1	1	0	0	0	460	1	
rt137	Global	20	1	0	0	1	1	329	1	
rt137	Global	21	1	1	1	0	0	1151	1	
rt137	Global	22	1	0	1	0	0	610	1	
rt137	Global	23	1	0	0	0	1	353	1	
rt137	Global	24	1	0	1	1	0	419	1	
rt137	Global	25	1	1	0	0	1	387	1	
rt137	Global	26	1	0	0	1	1	359	1	
rt137	Global	27	1	0	1	0	0	481	1	
rt137	Global	28	1	1	0	0	0	417	1	
rt137	Global	29	1	1	0	0	1	425	1	
rt137	Global	30	1	1	0	1	0	426	1	
rt137	Global	31	1	0	0	1	0	452	1	
rt137	Global	32	1	1	1	1	0	617	1	
rt137	Local	1	1	0	0	1	1	1005	1	
rt137	Local	2	1	1	0	1	1	456	1	
rt137	Local	3	1	0	0	1	1	461	1	
rt137	Local	4	1	1	1	0	0	402	1	
rt137	Local	5	1	0	0	1	1	488	1	
rt137	Local	6	1	0	1	1	0	352	1	
rt137	Local	7	1	1	0	0	1	482	1	
rt137	Local	8	1	1	1	1	1	466	1	
rt137	Local	9	1	1	0	0	1	384	1	
rt137	Local	10	1	1	1	0	0	421	1	
rt137	Local	11	1	0	0	1	1	375	1	
rt137	Local	12	1	0	0	0	0	442	1	
rt137	Local	13	1	0	1	0	0	461	1	
rt137	Local	14	1	1	0	0	1	314	1	
rt137	Local	15	1	0	1	0	1	382	1	
rt137	Local	16	1	1	0	1	0	395	1	
rt137	Local	17	1	1	1	0	0	417	1	
rt137	Local	18	1	0	0	0	1	457	1	
rt137	Local	19	1	1	1	0	0	638	1	
rt137	Local	20	1	1	1	1	0	464	1	
rt137	Local	21	1	0	1	1	1	359	1	
rt137	Local	22	1	1	1	0	0	384	1	
rt137	Local	23	1	0	1	0	1	437	1	
rt137	Local	24	1	0	0	0	0	368	1	
rt137	Local	25	1	0	0	0	0	387	1	
rt137	Local	26	1	1	1	1	0	440	1	
rt137	Local	27	1	0	1	1	1	427	1	
rt137	Local	28	1	1	1	1	0	413	1	
rt137	Local	29	1	0	0	1	1	365	1	
rt137	Local	30	1	1	0	1	1	528	1	
rt137	Local	31	1	0	0	0	0	301	1	
rt137	Local	32	1	0	1	1	0	150	0	
rt137	Global	1	0	0	0	1	0	150	0	
rt137	Global	2	0	1	1	1	1	1010	1	
rt137	Global	3	0	0	0	0	0	365	1	
rt137	Global	4	0	1	0	0	0	560	1	
rt137	Global	5	0	0	0	1	0	688	1	
rt137	Global	6	0	1	0	1	0	527	1	
rt137	Global	7	0	1	1	0	1	420	1	
rt137	Global	8	0	0	1	0	1	612	1	
rt137	Global	9	0	1	0	1	1	603	1	
rt137	Global	10	0	0	0	0	0	488	1	
rt137	Global	11	0	1	1	1	1	465	1	
rt137	Global	12	0	0	0	0	0	519	1	
rt137	Global	13	0	0	1	1	0	150	0	
rt137	Global	14	0	0	1	0	0	1129	1	
rt137	Global	15	0	1	1	0	0	1011	1	
rt137	Global	16	0	0	1	0	1	536	1	
rt137	Global	17	0	0	1	1	0	366	1	
rt137	Global	18	0	0	0	0	0	506	1	
rt137	Global	19	0	0	0	0	1	427	1	
rt137	Global	20	0	1	1	1	1	150	0	
rt137	Global	21	0	0	1	1	1	927	1	
rt137	Global	22	0	1	0	1	0	577	1	
rt137	Global	23	0	1	1	0	1	579	1	
rt137	Global	24	0	0	0	1	0	423	1	
rt137	Global	25	0	1	0	1	0	609	1	
rt137	Global	26	0	0	1	1	0	640	1	
rt137	Global	27	0	0	0	0	1	426	1	
rt137	Global	28	0	1	0	1	1	451	1	
rt137	Global	29	0	1	0	0	1	448	1	
rt137	Global	30	0	1	1	0	0	150	0	
rt137	Global	31	0	0	1	0	1	1597	1	
rt137	Global	32	0	0	1	1	1	508	1	
rt137	Local	1	0	0	1	0	1	713	1	
rt137	Local	2	0	1	1	0	0	532	1	
rt137	Local	3	0	1	1	1	0	697	1	
rt137	Local	4	0	0	0	1	0	657	1	
rt137	Local	5	0	0	1	1	1	493	1	
rt137	Local	6	0	1	0	1	0	463	1	
rt137	Local	7	0	0	0	1	1	468	1	
rt137	Local	8	0	0	1	0	1	546	1	
rt137	Local	9	0	1	1	1	0	473	1	
rt137	Local	10	0	0	0	1	1	440	1	
rt137	Local	11	0	1	0	0	1	499	1	
rt137	Local	12	0	0	0	0	0	453	1	
rt137	Local	13	0	0	0	0	0	474	1	
rt137	Local	14	0	1	0	0	1	416	1	
rt137	Local	15	0	0	0	1	0	456	1	
rt137	Local	16	0	0	1	1	1	150	0	
rt137	Local	17	0	1	1	0	0	911	1	
rt137	Local	18	0	1	0	1	0	528	1	
rt137	Local	19	0	1	1	0	1	677	1	
rt137	Local	20	0	1	0	1	0	554	1	
rt137	Local	21	0	0	0	0	1	603	1	
rt137	Local	22	0	1	1	1	1	912	1	
rt137	Local	23	0	1	1	0	0	150	0	
rt137	Local	24	0	0	1	0	0	725	1	
rt137	Local	25	0	1	1	1	0	617	1	
rt137	Local	26	0	1	0	0	1	608	1	
rt137	Local	27	0	1	1	1	0	743	1	
rt137	Local	28	0	1	1	0	1	549	1	
rt137	Local	29	0	0	1	1	1	627	1	
rt137	Local	30	0	1	0	1	0	564	1	
rt137	Local	31	0	1	0	0	1	388	1	
rt137	Local	32	0	0	0	0	1	401	1	
