Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	0.94	1.00	0.97	0.94	0.94	0.94	0.95
incong	0.88	1.00	0.94	0.94	1.00	0.97	0.95
Grand Total	0.91	1.00	0.95	0.94	0.97	0.95	0.95
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
0.94	0.88	1.00	1.00	0.94	0.94	0.94	1.00
656.80	694.80	589.30	658.10	667.70	839.30	566.10	605.80
							
							
rt	SDev	CCor	UCor				
656.80	103.6	14	15	0	0	0	
694.80	157.2	13	14	0	0	1	
589.30	101.4	15	16	0	1	0	
658.10	105.7	15	16	0	1	1	
667.70	123	15	15	1	0	0	
839.30	201.4	15	15	1	0	1	
566.10	89.37	15	15	1	1	0	
605.80	130.3	16	16	1	1	1	
