SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
sb196	Global	1	0	1	0	1	0	957	1	
sb196	Global	2	0	1	1	0	1	483	1	
sb196	Global	3	0	1	1	0	0	547	1	
sb196	Global	4	0	0	1	1	1	498	1	
sb196	Global	5	0	0	0	0	0	427	1	
sb196	Global	6	0	1	1	0	1	445	1	
sb196	Global	7	0	1	1	0	0	352	1	
sb196	Global	8	0	1	0	1	0	354	1	
sb196	Global	9	0	0	0	1	0	379	1	
sb196	Global	10	0	0	0	0	1	376	1	
sb196	Global	11	0	0	0	0	0	451	1	
sb196	Global	12	0	1	1	0	1	360	1	
sb196	Global	13	0	0	1	1	0	497	1	
sb196	Global	14	0	1	0	1	0	331	1	
sb196	Global	15	0	1	0	1	0	361	1	
sb196	Global	16	0	0	1	1	1	331	1	
sb196	Global	17	0	0	1	1	0	297	1	
sb196	Global	18	0	1	0	0	1	150	0	
sb196	Global	19	0	1	0	1	0	462	1	
sb196	Global	20	0	0	1	1	1	355	1	
sb196	Global	21	0	0	1	1	0	293	1	
sb196	Global	22	0	1	0	1	0	320	1	
sb196	Global	23	0	1	0	0	1	300	1	
sb196	Global	24	0	1	0	0	0	367	1	
sb196	Global	25	0	0	1	0	1	150	0	
sb196	Global	26	0	1	1	0	0	428	1	
sb196	Global	27	0	1	0	0	1	317	1	
sb196	Global	28	0	1	1	1	1	346	1	
sb196	Global	29	0	1	1	0	0	561	1	
sb196	Global	30	0	0	0	1	1	322	1	
sb196	Global	31	0	1	0	0	0	360	1	
sb196	Global	32	0	0	1	1	0	377	1	
sb196	Local	1	0	0	1	0	1	586	1	
sb196	Local	2	0	1	1	1	1	686	1	
sb196	Local	3	0	1	0	1	1	437	1	
sb196	Local	4	0	1	0	1	1	368	1	
sb196	Local	5	0	0	1	1	0	435	1	
sb196	Local	6	0	1	1	1	1	477	1	
sb196	Local	7	0	0	0	0	0	515	1	
sb196	Local	8	0	0	0	1	0	447	1	
sb196	Local	9	0	1	0	0	1	370	1	
sb196	Local	10	0	0	0	1	0	373	1	
sb196	Local	11	0	0	0	0	0	400	1	
sb196	Local	12	0	0	1	1	0	414	1	
sb196	Local	13	0	0	1	0	0	430	1	
sb196	Local	14	0	0	1	0	1	150	0	
sb196	Local	15	0	0	0	1	1	499	1	
sb196	Local	16	0	1	0	1	1	150	0	
sb196	Local	17	0	1	0	0	1	763	1	
sb196	Local	18	0	0	0	0	1	387	1	
sb196	Local	19	0	0	1	1	1	527	1	
sb196	Local	20	0	0	0	0	1	396	1	
sb196	Local	21	0	0	1	0	1	411	1	
sb196	Local	22	0	0	0	1	1	347	1	
sb196	Local	23	0	1	1	1	1	538	1	
sb196	Local	24	0	0	1	0	0	489	1	
sb196	Local	25	0	0	1	1	1	489	1	
sb196	Local	26	0	0	0	1	0	394	1	
sb196	Local	27	0	1	0	0	0	408	1	
sb196	Local	28	0	1	1	0	0	496	1	
sb196	Local	29	0	1	0	0	0	426	1	
sb196	Local	30	0	0	1	1	0	443	1	
sb196	Local	31	0	0	1	0	0	454	1	
sb196	Local	32	0	0	1	0	1	539	1	
sb196	Global	1	1	0	0	1	1	583	1	
sb196	Global	2	1	1	1	1	0	627	1	
sb196	Global	3	1	0	1	0	1	779	1	
sb196	Global	4	1	0	1	0	0	524	1	
sb196	Global	5	1	0	1	1	1	481	1	
sb196	Global	6	1	1	0	0	1	466	1	
sb196	Global	7	1	1	0	1	0	448	1	
sb196	Global	8	1	1	1	0	1	531	1	
sb196	Global	9	1	0	1	1	1	424	1	
sb196	Global	10	1	0	0	1	1	434	1	
sb196	Global	11	1	0	0	0	1	380	1	
sb196	Global	12	1	1	1	1	1	496	1	
sb196	Global	13	1	0	0	0	1	346	1	
sb196	Global	14	1	0	0	0	1	370	1	
sb196	Global	15	1	0	1	0	0	445	1	
sb196	Global	16	1	1	0	1	0	416	1	
sb196	Global	17	1	0	1	1	0	150	0	
sb196	Global	18	1	1	1	1	0	469	1	
sb196	Global	19	1	0	0	0	1	508	1	
sb196	Global	20	1	0	1	0	1	463	1	
sb196	Global	21	1	0	1	0	1	492	1	
sb196	Global	22	1	1	1	1	1	724	1	
sb196	Global	23	1	1	0	1	0	464	1	
sb196	Global	24	1	0	0	1	0	423	1	
sb196	Global	25	1	1	0	0	1	496	1	
sb196	Global	26	1	0	0	1	0	378	1	
sb196	Global	27	1	1	1	1	0	519	1	
sb196	Global	28	1	0	0	0	0	386	1	
sb196	Global	29	1	0	0	1	1	447	1	
sb196	Global	30	1	1	1	0	1	442	1	
sb196	Global	31	1	1	0	0	1	358	1	
sb196	Global	32	1	1	1	0	0	399	1	
sb196	Local	1	1	1	0	0	1	517	1	
sb196	Local	2	1	1	1	0	0	368	1	
sb196	Local	3	1	1	0	1	0	419	1	
sb196	Local	4	1	0	0	0	0	427	1	
sb196	Local	5	1	1	1	0	0	373	1	
sb196	Local	6	1	1	1	0	1	384	1	
sb196	Local	7	1	0	0	1	1	469	1	
sb196	Local	8	1	1	1	0	0	483	1	
sb196	Local	9	1	0	0	1	1	387	1	
sb196	Local	10	1	0	0	0	0	456	1	
sb196	Local	11	1	1	0	0	0	557	1	
sb196	Local	12	1	1	1	0	1	429	1	
sb196	Local	13	1	0	0	0	1	150	0	
sb196	Local	14	1	1	1	1	1	359	1	
sb196	Local	15	1	0	0	0	0	376	1	
sb196	Local	16	1	0	0	1	1	427	1	
sb196	Local	17	1	1	1	1	1	429	1	
