SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
sc200	Global	1	0	0	0	1	0	749	1	
sc200	Global	2	0	1	1	0	0	150	0	
sc200	Global	3	0	1	0	1	0	564	1	
sc200	Global	4	0	0	1	1	0	581	1	
sc200	Global	5	0	1	1	0	1	464	1	
sc200	Global	6	0	1	0	0	1	687	1	
sc200	Global	7	0	0	1	0	0	574	1	
sc200	Global	8	0	0	0	0	0	600	1	
sc200	Global	9	0	0	1	0	1	613	1	
sc200	Global	10	0	0	1	0	0	604	1	
sc200	Global	11	0	0	1	1	0	633	1	
sc200	Global	12	0	0	0	0	0	426	1	
sc200	Global	13	0	0	1	0	0	771	1	
sc200	Global	14	0	0	1	1	0	492	1	
sc200	Global	15	0	1	0	0	0	492	1	
sc200	Global	16	0	1	1	1	0	485	1	
sc200	Global	17	0	0	0	1	1	469	1	
sc200	Global	18	0	0	0	1	1	411	1	
sc200	Global	19	0	1	0	0	0	363	1	
sc200	Global	20	0	1	0	1	0	389	1	
sc200	Global	21	0	0	0	1	0	401	1	
sc200	Global	22	0	1	0	1	0	504	1	
sc200	Global	23	0	1	1	1	0	618	1	
sc200	Global	24	0	1	1	1	0	593	1	
sc200	Global	25	0	0	0	0	1	572	1	
sc200	Global	26	0	0	1	1	1	150	0	
sc200	Global	27	0	1	1	0	0	602	1	
sc200	Global	28	0	0	0	0	0	399	1	
sc200	Global	29	0	1	1	0	0	734	1	
sc200	Global	30	0	1	1	1	0	626	1	
sc200	Global	31	0	1	0	0	0	442	1	
sc200	Global	32	0	0	0	1	1	589	1	
sc200	Local	1	0	1	0	1	0	567	1	
sc200	Local	2	0	1	1	0	0	473	1	
sc200	Local	3	0	1	1	1	1	768	1	
sc200	Local	4	0	1	1	1	1	568	1	
sc200	Local	5	0	1	0	0	1	570	1	
sc200	Local	6	0	1	0	1	0	636	1	
sc200	Local	7	0	1	1	1	1	567	1	
sc200	Local	8	0	1	1	1	0	601	1	
sc200	Local	9	0	1	0	1	0	854	1	
sc200	Local	10	0	0	1	1	0	609	1	
sc200	Local	11	0	0	1	0	1	751	1	
sc200	Local	12	0	1	0	0	1	767	1	
sc200	Local	13	0	0	1	1	1	976	1	
sc200	Local	14	0	1	0	0	1	639	1	
sc200	Local	15	0	0	1	1	0	506	1	
sc200	Local	16	0	1	1	1	0	467	1	
sc200	Local	17	0	1	1	0	0	570	1	
sc200	Local	18	0	1	0	1	0	572	1	
sc200	Local	19	0	0	0	1	0	502	1	
sc200	Local	20	0	1	1	0	1	528	1	
sc200	Local	21	0	0	0	1	0	557	1	
sc200	Local	22	0	1	0	1	0	613	1	
sc200	Local	23	0	1	0	0	0	476	1	
sc200	Local	24	0	0	0	0	1	419	1	
sc200	Local	25	0	1	1	0	1	651	1	
sc200	Local	26	0	0	0	1	0	381	1	
sc200	Local	27	0	1	0	0	1	537	1	
sc200	Local	28	0	1	0	0	0	440	1	
sc200	Local	29	0	1	0	0	1	523	1	
sc200	Local	30	0	0	1	0	0	600	1	
sc200	Local	31	0	0	1	0	0	686	1	
sc200	Local	32	0	1	1	0	1	541	1	
sc200	Global	1	1	0	1	0	0	966	1	
sc200	Global	2	1	0	1	0	0	700	1	
sc200	Global	3	1	0	0	0	1	493	1	
sc200	Global	4	1	0	0	0	1	655	1	
sc200	Global	5	1	1	0	0	0	475	1	
sc200	Global	6	1	0	0	1	0	457	1	
sc200	Global	7	1	1	1	1	0	774	1	
sc200	Global	8	1	0	0	1	1	511	1	
sc200	Global	9	1	0	1	1	0	682	1	
sc200	Global	10	1	0	1	1	0	794	1	
sc200	Global	11	1	0	0	1	1	588	1	
sc200	Global	12	1	1	0	1	1	696	1	
sc200	Global	13	1	0	0	0	0	416	1	
sc200	Global	14	1	1	1	0	0	632	1	
sc200	Global	15	1	0	0	0	0	465	1	
sc200	Global	16	1	1	1	1	0	791	1	
sc200	Global	17	1	1	1	1	1	586	1	
