SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
sg26	Global	1	1	0	0	0	0	803	1	
sg26	Global	2	1	0	0	1	1	991	1	
sg26	Global	3	1	0	0	0	0	560	1	
sg26	Global	4	1	0	1	0	0	737	1	
sg26	Global	5	1	0	1	0	0	597	1	
sg26	Global	6	1	1	1	1	1	818	1	
sg26	Global	7	1	1	1	1	1	688	1	
sg26	Global	8	1	0	0	1	0	567	1	
sg26	Global	9	1	1	0	1	1	601	1	
sg26	Global	10	1	1	0	0	0	454	1	
sg26	Global	11	1	0	1	0	1	579	1	
sg26	Global	12	1	1	1	0	0	807	1	
sg26	Global	13	1	0	0	0	1	443	1	
sg26	Global	14	1	0	1	0	1	550	1	
sg26	Global	15	1	1	0	1	1	542	1	
sg26	Global	16	1	1	1	1	0	557	1	
sg26	Global	17	1	0	0	1	1	477	1	
sg26	Global	18	1	1	1	1	0	892	1	
sg26	Global	19	1	0	1	1	0	642	1	
sg26	Global	20	1	1	1	0	1	150	0	
sg26	Global	21	1	1	0	0	0	797	1	
sg26	Global	22	1	1	1	0	1	665	1	
sg26	Global	23	1	1	0	0	0	389	1	
sg26	Global	24	1	0	1	1	0	633	1	
sg26	Global	25	1	0	0	0	1	602	1	
sg26	Global	26	1	0	0	1	0	591	1	
sg26	Global	27	1	0	0	1	0	491	1	
sg26	Global	28	1	1	1	1	0	587	1	
sg26	Global	29	1	1	1	1	1	766	1	
sg26	Global	30	1	1	0	1	0	503	1	
sg26	Global	31	1	1	0	0	1	513	1	
sg26	Global	32	1	1	1	0	0	613	1	
sg26	Local	1	1	0	1	1	1	1041	1	
sg26	Local	2	1	0	0	1	1	473	1	
sg26	Local	3	1	0	0	0	0	464	1	
sg26	Local	4	1	0	1	0	1	613	1	
sg26	Local	5	1	0	0	0	1	508	1	
sg26	Local	6	1	0	1	0	1	535	1	
sg26	Local	7	1	1	1	0	1	532	1	
sg26	Local	8	1	1	1	0	0	1041	1	
sg26	Local	9	1	1	1	0	1	553	1	
sg26	Local	10	1	0	1	1	1	538	1	
sg26	Local	11	1	0	0	1	1	496	1	
sg26	Local	12	1	0	0	0	0	434	1	
sg26	Local	13	1	0	0	1	0	700	1	
sg26	Local	14	1	0	0	1	1	484	1	
sg26	Local	15	1	0	0	0	0	477	1	
sg26	Local	16	1	0	1	0	0	667	1	
sg26	Local	17	1	1	0	1	0	481	1	
sg26	Local	18	1	0	1	1	0	657	1	
sg26	Local	19	1	0	0	1	0	517	1	
sg26	Local	20	1	1	1	1	1	696	1	
sg26	Local	21	1	0	1	0	1	521	1	
sg26	Local	22	1	1	0	0	1	460	1	
sg26	Local	23	1	0	0	0	0	1233	1	
sg26	Local	24	1	0	1	1	1	862	1	
sg26	Local	25	1	0	0	1	1	1137	1	
sg26	Local	26	1	1	1	1	1	987	1	
sg26	Local	27	1	1	1	0	1	540	1	
sg26	Local	28	1	0	0	0	0	539	1	
sg26	Local	29	1	0	0	0	0	762	1	
sg26	Local	30	1	1	1	1	1	1561	1	
sg26	Local	31	1	1	0	1	0	460	1	
sg26	Local	32	1	1	1	1	1	150	0	
sg26	Global	1	0	1	1	0	1	926	1	
sg26	Global	2	0	0	1	1	0	649	1	
sg26	Global	3	0	1	0	1	0	619	1	
sg26	Global	4	0	1	0	0	1	394	1	
sg26	Global	5	0	0	0	1	1	393	1	
sg26	Global	6	0	1	1	1	0	511	1	
sg26	Global	7	0	1	1	1	0	474	1	
sg26	Global	8	0	1	1	0	0	481	1	
sg26	Global	9	0	0	0	1	1	150	0	
sg26	Global	10	0	0	0	1	1	476	1	
sg26	Global	11	0	1	0	0	0	386	1	
sg26	Global	12	0	0	1	0	1	503	1	
sg26	Global	13	0	0	0	0	0	393	1	
sg26	Global	14	0	1	0	1	0	559	1	
sg26	Global	15	0	1	0	1	1	439	1	
sg26	Global	16	0	1	1	1	0	651	1	
sg26	Global	17	0	1	1	0	1	478	1	
sg26	Global	18	0	1	1	1	1	527	1	
sg26	Global	19	0	1	1	0	0	516	1	
sg26	Global	20	0	1	0	0	1	815	1	
sg26	Global	21	0	0	1	0	0	365	1	
sg26	Global	22	0	0	0	0	0	416	1	
sg26	Global	23	0	1	1	0	1	480	1	
sg26	Global	24	0	0	0	0	1	936	1	
sg26	Global	25	0	0	1	1	1	675	1	
sg26	Global	26	0	0	0	0	0	505	1	
sg26	Global	27	0	0	0	1	0	410	1	
sg26	Global	28	0	0	1	1	1	482	1	
sg26	Global	29	0	0	1	0	1	546	1	
sg26	Global	30	0	0	0	0	0	505	1	
sg26	Global	31	0	1	1	1	0	747	1	
sg26	Global	32	0	1	0	1	0	497	1	
sg26	Local	1	0	0	1	0	0	1126	1	
sg26	Local	2	0	0	0	1	1	150	0	
sg26	Local	3	0	1	0	1	0	471	1	
sg26	Local	4	0	0	1	1	1	614	1	
sg26	Local	5	0	1	0	0	1	613	1	
sg26	Local	6	0	0	1	0	1	532	1	
sg26	Local	7	0	1	0	0	0	393	1	
sg26	Local	8	0	0	1	1	1	519	1	
sg26	Local	9	0	1	0	0	1	150	0	
sg26	Local	10	0	0	0	0	1	935	1	
sg26	Local	11	0	1	0	1	0	1426	1	
sg26	Local	12	0	0	1	1	1	150	0	
sg26	Local	13	0	0	0	0	0	623	1	
sg26	Local	14	0	0	1	1	0	1239	1	
sg26	Local	15	0	0	1	1	0	654	1	
sg26	Local	16	0	1	0	1	0	554	1	
sg26	Local	17	0	1	1	1	1	586	1	
sg26	Local	18	0	1	0	1	0	806	1	
sg26	Local	19	0	1	0	1	0	482	1	
sg26	Local	20	0	1	1	1	1	562	1	
sg26	Local	21	0	0	1	0	1	619	1	
sg26	Local	22	0	0	0	0	1	962	1	
sg26	Local	23	0	1	1	0	1	624	1	
sg26	Local	24	0	1	0	0	1	592	1	
sg26	Local	25	0	1	1	0	0	444	1	
sg26	Local	26	0	1	1	1	1	767	1	
sg26	Local	27	0	0	0	0	1	648	1	
sg26	Local	28	0	1	1	0	1	530	1	
sg26	Local	29	0	1	1	0	1	455	1	
sg26	Local	30	0	0	1	0	1	508	1	
sg26	Local	31	0	1	0	1	1	504	1	
sg26	Local	32	0	1	0	1	1	489	1	
