SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
sk182	Global	1	1	0	0	0	0	150	0	
sk182	Global	2	1	0	0	1	1	359	1	
sk182	Global	3	1	0	0	0	0	425	1	
sk182	Global	4	1	1	1	1	0	618	1	
sk182	Global	5	1	0	1	1	1	769	1	
sk182	Global	6	1	1	1	0	0	794	1	
sk182	Global	7	1	1	1	0	1	150	0	
sk182	Global	8	1	0	1	1	1	1202	1	
sk182	Global	9	1	1	0	0	1	780	1	
sk182	Global	10	1	0	0	0	0	543	1	
sk182	Global	11	1	0	0	1	1	630	1	
sk182	Global	12	1	0	1	1	0	934	1	
sk182	Global	13	1	0	0	1	1	641	1	
sk182	Global	14	1	0	0	1	0	499	1	
sk182	Global	15	1	0	0	1	1	725	1	
sk182	Global	16	1	0	1	0	0	849	1	
sk182	Global	17	1	1	0	0	1	538	1	
sk182	Global	18	1	1	0	0	0	569	1	
sk182	Global	19	1	1	1	0	1	819	1	
sk182	Global	20	1	1	1	1	1	873	1	
sk182	Global	21	1	1	1	1	0	581	1	
sk182	Global	22	1	1	0	0	0	457	1	
sk182	Global	23	1	1	1	0	1	150	0	
sk182	Global	24	1	0	0	1	1	742	1	
sk182	Global	25	1	1	1	1	1	150	0	
sk182	Global	26	1	0	0	1	1	526	1	
sk182	Global	27	1	1	0	1	0	715	1	
sk182	Global	28	1	0	1	1	1	830	1	
sk182	Global	29	1	1	0	0	0	501	1	
sk182	Global	30	1	1	1	0	1	1063	1	
sk182	Global	31	1	0	1	0	1	529	1	
sk182	Global	32	1	1	1	0	0	150	0	
sk182	Local	1	1	1	0	1	0	522	1	
sk182	Local	2	1	0	1	0	1	487	1	
sk182	Local	3	1	1	0	1	1	503	1	
sk182	Local	4	1	0	0	1	0	489	1	
sk182	Local	5	1	0	0	0	0	401	1	
sk182	Local	6	1	1	1	1	1	480	1	
sk182	Local	7	1	1	1	0	1	648	1	
sk182	Local	8	1	0	0	0	1	586	1	
sk182	Local	9	1	0	0	0	1	486	1	
sk182	Local	10	1	1	0	1	1	614	1	
sk182	Local	11	1	1	0	0	0	677	1	
sk182	Local	12	1	0	1	0	0	890	1	
sk182	Local	13	1	0	1	0	0	744	1	
sk182	Local	14	1	1	0	0	0	422	1	
sk182	Local	15	1	0	1	0	1	720	1	
sk182	Local	16	1	0	1	1	0	506	1	
sk182	Local	17	1	0	0	1	0	460	1	
sk182	Local	18	1	0	0	0	1	560	1	
sk182	Local	19	1	1	1	0	1	569	1	
sk182	Local	20	1	1	0	0	1	523	1	
sk182	Local	21	1	1	0	1	0	544	1	
sk182	Local	22	1	0	1	1	0	463	1	
sk182	Local	23	1	0	0	1	1	556	1	
sk182	Local	24	1	1	1	0	0	150	0	
sk182	Local	25	1	0	0	0	0	595	1	
sk182	Local	26	1	1	1	1	0	552	1	
sk182	Local	27	1	0	1	1	1	544	1	
sk182	Local	28	1	1	1	1	0	567	1	
sk182	Local	29	1	1	0	1	0	713	1	
sk182	Local	30	1	0	1	1	0	587	1	
sk182	Local	31	1	0	1	0	1	559	1	
sk182	Local	32	1	0	1	1	0	495	1	
sk182	Global	1	0	1	1	0	1	150	0	
sk182	Global	2	0	0	0	0	1	673	1	
sk182	Global	3	0	1	0	0	1	679	1	
sk182	Global	4	0	0	0	0	0	644	1	
sk182	Global	5	0	0	1	0	0	710	1	
sk182	Global	6	0	0	1	0	0	633	1	
sk182	Global	7	0	1	0	0	0	529	1	
sk182	Global	8	0	1	1	0	1	150	0	
sk182	Global	9	0	0	1	1	0	1130	1	
sk182	Global	10	0	0	0	0	0	604	1	
sk182	Global	11	0	1	1	1	0	1145	1	
sk182	Global	12	0	0	0	0	0	773	1	
sk182	Global	13	0	0	0	1	0	582	1	
sk182	Global	14	0	0	1	0	0	577	1	
sk182	Global	15	0	1	0	1	0	491	1	
sk182	Global	16	0	0	0	1	0	443	1	
sk182	Global	17	0	1	0	1	1	495	1	
sk182	Global	18	0	1	1	0	1	744	1	
sk182	Global	19	0	1	0	1	1	494	1	
sk182	Global	20	0	1	0	1	0	488	1	
sk182	Global	21	0	0	0	0	1	704	1	
sk182	Global	22	0	0	0	0	1	617	1	
sk182	Global	23	0	1	1	1	0	464	1	
sk182	Global	24	0	1	1	1	0	532	1	
sk182	Global	25	0	1	1	1	1	150	0	
sk182	Global	26	0	0	1	1	0	551	1	
sk182	Global	27	0	1	0	1	1	568	1	
sk182	Global	28	0	0	0	1	0	690	1	
sk182	Global	29	0	0	1	0	1	1057	1	
sk182	Global	30	0	0	1	1	1	595	1	
sk182	Global	31	0	1	1	1	1	728	1	
sk182	Global	32	0	0	1	0	0	540	1	
sk182	Local	1	0	1	1	0	0	150	0	
sk182	Local	2	0	0	1	1	1	150	0	
sk182	Local	3	0	1	1	1	1	150	0	
sk182	Local	4	0	0	0	0	1	150	0	
sk182	Local	5	0	0	0	0	0	536	1	
sk182	Local	6	0	1	0	1	1	623	1	
sk182	Local	7	0	0	1	0	1	927	1	
sk182	Local	8	0	0	1	1	0	642	1	
sk182	Local	9	0	1	1	0	0	580	1	
sk182	Local	10	0	0	1	1	0	504	1	
sk182	Local	11	0	0	0	0	0	570	1	
sk182	Local	12	0	0	0	0	0	636	1	
sk182	Local	13	0	0	0	1	0	564	1	
sk182	Local	14	0	1	1	0	1	150	0	
sk182	Local	15	0	0	1	1	1	610	1	
sk182	Local	16	0	1	0	1	1	817	1	
sk182	Local	17	0	1	0	1	1	791	1	
sk182	Local	18	0	1	1	1	1	921	1	
sk182	Local	19	0	0	0	1	1	1010	1	
sk182	Local	20	0	0	1	0	1	751	1	
sk182	Local	21	0	0	0	0	0	518	1	
sk182	Local	22	0	1	1	1	0	562	1	
sk182	Local	23	0	0	1	0	1	658	1	
sk182	Local	24	0	1	0	1	0	758	1	
sk182	Local	25	0	0	0	0	0	565	1	
sk182	Local	26	0	1	0	1	0	583	1	
sk182	Local	27	0	1	0	0	0	499	1	
sk182	Local	28	0	1	1	0	0	629	1	
sk182	Local	29	0	1	1	0	0	597	1	
sk182	Local	30	0	0	1	1	0	692	1	
sk182	Local	31	0	1	0	1	1	723	1	
sk182	Local	32	0	0	0	0	1	150	0	
