SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
sp184	Global	1	1	1	0	1	1	601	1	
sp184	Global	2	1	0	0	0	0	446	1	
sp184	Global	3	1	1	1	1	0	546	1	
sp184	Global	4	1	1	0	0	0	424	1	
sp184	Global	5	1	0	1	1	0	610	1	
sp184	Global	6	1	0	0	0	1	393	1	
sp184	Global	7	1	1	0	0	0	519	1	
sp184	Global	8	1	0	1	1	1	603	1	
sp184	Global	9	1	0	0	1	0	472	1	
sp184	Global	10	1	1	1	0	1	150	0	
sp184	Global	11	1	1	0	1	1	663	1	
sp184	Global	12	1	1	0	0	0	579	1	
sp184	Global	13	1	0	1	0	1	607	1	
sp184	Global	14	1	0	1	1	0	1196	1	
sp184	Global	15	1	0	1	0	1	150	0	
sp184	Global	16	1	1	1	1	1	842	1	
sp184	Global	17	1	1	0	1	1	436	1	
sp184	Global	18	1	0	1	1	0	511	1	
sp184	Global	19	1	0	1	1	0	626	1	
sp184	Global	20	1	0	1	1	1	507	1	
sp184	Global	21	1	1	1	0	1	861	1	
sp184	Global	22	1	1	0	1	1	415	1	
sp184	Global	23	1	1	1	0	1	655	1	
sp184	Global	24	1	0	0	1	0	595	1	
sp184	Global	25	1	1	0	1	0	576	1	
sp184	Global	26	1	0	1	0	0	562	1	
sp184	Global	27	1	1	0	0	0	387	1	
sp184	Global	28	1	1	1	0	1	591	1	
sp184	Global	29	1	1	0	0	1	571	1	
sp184	Global	30	1	0	0	0	1	397	1	
sp184	Global	31	1	0	0	1	1	355	1	
sp184	Global	32	1	1	1	0	1	557	1	
sp184	Local	1	1	0	1	0	0	626	1	
sp184	Local	2	1	1	0	1	0	731	1	
sp184	Local	3	1	0	0	0	1	455	1	
sp184	Local	4	1	1	0	1	1	836	1	
sp184	Local	5	1	1	0	0	1	659	1	
sp184	Local	6	1	1	1	1	1	575	1	
sp184	Local	7	1	1	0	0	1	465	1	
sp184	Local	8	1	0	1	0	1	568	1	
sp184	Local	9	1	0	1	1	0	426	1	
sp184	Local	10	1	1	0	0	0	499	1	
sp184	Local	11	1	1	0	1	0	493	1	
sp184	Local	12	1	0	1	0	1	623	1	
sp184	Local	13	1	1	0	0	0	463	1	
sp184	Local	14	1	0	0	1	1	436	1	
sp184	Local	15	1	1	1	1	0	847	1	
sp184	Local	16	1	0	1	1	0	568	1	
sp184	Local	17	1	1	1	0	1	442	1	
sp184	Local	18	1	0	1	1	0	470	1	
sp184	Local	19	1	1	0	1	1	604	1	
sp184	Local	20	1	0	1	1	0	482	1	
sp184	Local	21	1	1	1	1	0	546	1	
