SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
sw52	Global	1	0	1	1	0	0	706	1	
sw52	Global	2	0	1	0	0	1	587	1	
sw52	Global	3	0	0	0	1	0	542	1	
sw52	Global	4	0	0	1	0	1	1197	1	
sw52	Global	5	0	1	1	1	1	615	1	
sw52	Global	6	0	1	0	0	0	510	1	
sw52	Global	7	0	0	1	1	0	721	1	
sw52	Global	8	0	0	0	1	0	556	1	
sw52	Global	9	0	0	0	1	0	524	1	
sw52	Global	10	0	1	0	0	1	465	1	
sw52	Global	11	0	0	0	0	1	664	1	
sw52	Global	12	0	0	1	0	1	603	1	
sw52	Global	13	0	1	0	1	1	150	0	
sw52	Global	14	0	1	1	0	1	590	1	
sw52	Global	15	0	1	1	0	0	642	1	
sw52	Global	16	0	1	0	0	0	652	1	
sw52	Global	17	0	1	0	0	1	150	0	
sw52	Global	18	0	0	1	0	0	918	1	
sw52	Global	19	0	0	1	1	0	703	1	
sw52	Global	20	0	0	1	0	1	560	1	
sw52	Global	21	0	1	0	1	1	736	1	
sw52	Global	22	0	1	0	0	0	500	1	
sw52	Global	23	0	0	0	1	1	510	1	
sw52	Global	24	0	0	0	0	1	601	1	
sw52	Global	25	0	1	1	1	1	550	1	
sw52	Global	26	0	0	1	1	0	575	1	
sw52	Global	27	0	1	1	1	0	817	1	
sw52	Global	28	0	0	0	1	1	519	1	
sw52	Global	29	0	0	1	1	1	666	1	
sw52	Global	30	0	0	1	0	1	575	1	
sw52	Global	31	0	1	1	1	1	633	1	
sw52	Global	32	0	1	0	1	1	570	1	
sw52	Local	1	0	1	0	0	0	953	1	
sw52	Local	2	0	0	0	0	1	511	1	
sw52	Local	3	0	1	1	0	1	1178	1	
sw52	Local	4	0	1	0	1	1	721	1	
sw52	Local	5	0	1	0	0	0	595	1	
sw52	Local	6	0	0	0	1	1	553	1	
sw52	Local	7	0	0	1	0	0	801	1	
sw52	Local	8	0	0	1	1	1	637	1	
sw52	Local	9	0	1	0	1	1	559	1	
sw52	Local	10	0	1	0	1	0	584	1	
sw52	Local	11	0	0	0	0	1	611	1	
sw52	Local	12	0	1	0	1	0	466	1	
sw52	Local	13	0	1	1	1	1	545	1	
sw52	Local	14	0	0	0	1	0	591	1	
sw52	Local	15	0	1	1	0	1	539	1	
sw52	Local	16	0	1	0	0	0	762	1	
