SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
sx82	Global	1	1	0	1	1	0	767	1	
sx82	Global	2	1	0	1	1	1	560	1	
sx82	Global	3	1	1	1	0	0	608	1	
sx82	Global	4	1	0	0	0	0	463	1	
sx82	Global	5	1	1	1	0	0	724	1	
sx82	Global	6	1	0	1	0	0	552	1	
sx82	Global	7	1	0	0	1	0	369	1	
sx82	Global	8	1	0	0	0	0	412	1	
sx82	Global	9	1	0	0	0	0	340	1	
sx82	Global	10	1	1	1	1	1	715	1	
sx82	Global	11	1	1	1	0	1	438	1	
sx82	Global	12	1	1	0	1	1	481	1	
sx82	Global	13	1	1	1	0	0	521	1	
sx82	Global	14	1	1	1	1	0	485	1	
sx82	Global	15	1	1	0	1	1	397	1	
sx82	Global	16	1	0	1	1	0	379	1	
sx82	Global	17	1	0	1	1	0	512	1	
sx82	Global	18	1	0	0	1	0	363	1	
sx82	Global	19	1	0	0	0	1	382	1	
sx82	Global	20	1	0	1	0	0	427	1	
sx82	Global	21	1	1	0	1	0	445	1	
sx82	Global	22	1	1	0	1	0	408	1	
sx82	Global	23	1	0	0	0	0	440	1	
sx82	Global	24	1	1	1	0	1	371	1	
sx82	Global	25	1	0	0	0	0	502	1	
sx82	Global	26	1	0	1	0	0	496	1	
sx82	Global	27	1	1	0	0	1	506	1	
sx82	Global	28	1	1	1	1	0	150	0	
sx82	Global	29	1	0	1	1	0	705	1	
sx82	Global	30	1	0	0	1	1	602	1	
sx82	Global	31	1	1	0	1	0	511	1	
sx82	Global	32	1	0	0	0	0	474	1	
sx82	Local	1	1	1	0	1	0	608	1	
sx82	Local	2	1	0	1	1	1	639	1	
sx82	Local	3	1	1	0	0	0	497	1	
sx82	Local	4	1	1	0	1	1	411	1	
sx82	Local	5	1	0	0	1	1	523	1	
sx82	Local	6	1	0	0	1	0	496	1	
sx82	Local	7	1	1	0	1	1	570	1	
sx82	Local	8	1	1	0	0	1	508	1	
sx82	Local	9	1	0	1	0	1	423	1	
sx82	Local	10	1	1	0	0	1	457	1	
sx82	Local	11	1	1	1	1	0	422	1	
sx82	Local	12	1	0	1	1	0	535	1	
sx82	Local	13	1	0	0	1	1	621	1	
sx82	Local	14	1	0	1	0	1	1091	1	
sx82	Local	15	1	1	1	1	0	472	1	
sx82	Local	16	1	0	0	1	1	503	1	
sx82	Local	17	1	0	1	0	1	369	1	
sx82	Local	18	1	0	0	1	0	420	1	
sx82	Local	19	1	0	1	1	0	572	1	
sx82	Local	20	1	0	1	1	0	638	1	
sx82	Local	21	1	0	1	0	1	512	1	
sx82	Local	22	1	0	0	0	0	379	1	
sx82	Local	23	1	0	1	0	0	496	1	
sx82	Local	24	1	0	1	0	0	442	1	
sx82	Local	25	1	1	1	1	0	493	1	
sx82	Local	26	1	1	0	0	0	375	1	
sx82	Local	27	1	1	1	0	0	394	1	
sx82	Local	28	1	0	0	0	0	464	1	
sx82	Local	29	1	1	0	0	1	503	1	
sx82	Local	30	1	1	1	0	0	497	1	
sx82	Local	31	1	1	1	1	1	699	1	
sx82	Local	32	1	0	0	0	0	459	1	
sx82	Global	1	0	0	1	1	0	796	1	
sx82	Global	2	0	0	0	0	1	544	1	
sx82	Global	3	0	1	1	1	1	455	1	
sx82	Global	4	0	1	1	0	1	420	1	
sx82	Global	5	0	1	1	1	1	476	1	
sx82	Global	6	0	0	1	0	0	570	1	
sx82	Global	7	0	0	1	0	0	500	1	
sx82	Global	8	0	0	1	1	0	422	1	
sx82	Global	9	0	1	0	0	1	447	1	
sx82	Global	10	0	1	0	0	0	419	1	
sx82	Global	11	0	0	1	1	0	491	1	
sx82	Global	12	0	0	0	0	0	643	1	
sx82	Global	13	0	0	1	1	0	397	1	
sx82	Global	14	0	0	1	0	0	403	1	
sx82	Global	15	0	1	0	0	0	370	1	
sx82	Global	16	0	1	1	0	0	381	1	
sx82	Global	17	0	0	0	1	0	345	1	
sx82	Global	18	0	1	0	0	0	321	1	
sx82	Global	19	0	0	0	1	0	359	1	
sx82	Global	20	0	0	1	1	1	521	1	
sx82	Global	21	0	0	0	1	1	428	1	
sx82	Global	22	0	0	0	1	0	430	1	
sx82	Global	23	0	0	1	0	1	520	1	
sx82	Global	24	0	0	0	1	0	395	1	
sx82	Global	25	0	0	0	0	1	473	1	
sx82	Global	26	0	1	1	1	0	488	1	
sx82	Global	27	0	1	1	0	0	584	1	
sx82	Global	28	0	0	0	1	1	404	1	
sx82	Global	29	0	1	0	0	0	418	1	
sx82	Global	30	0	0	1	0	1	426	1	
sx82	Global	31	0	1	0	1	1	540	1	
sx82	Global	32	0	1	0	1	0	498	1	
sx82	Local	1	0	1	1	1	0	757	1	
sx82	Local	2	0	0	0	1	0	685	1	
sx82	Local	3	0	0	0	0	0	444	1	
sx82	Local	4	0	1	0	1	1	927	1	
sx82	Local	5	0	0	1	1	0	554	1	
sx82	Local	6	0	0	0	1	1	642	1	
sx82	Local	7	0	0	0	0	0	524	1	
sx82	Local	8	0	0	1	0	1	530	1	
sx82	Local	9	0	0	0	1	0	415	1	
sx82	Local	10	0	0	1	0	0	575	1	
sx82	Local	11	0	1	0	0	1	561	1	
sx82	Local	12	0	1	1	1	0	753	1	
sx82	Local	13	0	0	0	1	1	592	1	
sx82	Local	14	0	1	1	0	1	620	1	
sx82	Local	15	0	1	0	0	1	555	1	
sx82	Local	16	0	1	0	0	1	387	1	
sx82	Local	17	0	1	1	1	1	552	1	
sx82	Local	18	0	0	0	0	1	464	1	
sx82	Local	19	0	1	1	1	1	551	1	
sx82	Local	20	0	0	1	0	0	519	1	
sx82	Local	21	0	1	1	0	0	514	1	
sx82	Local	22	0	1	1	1	0	590	1	
sx82	Local	23	0	0	1	1	0	442	1	
sx82	Local	24	0	1	1	0	1	573	1	
sx82	Local	25	0	0	1	0	1	503	1	
sx82	Local	26	0	0	1	0	1	529	1	
sx82	Local	27	0	0	1	1	0	510	1	
sx82	Local	28	0	0	0	0	1	577	1	
sx82	Local	29	0	1	0	0	1	435	1	
sx82	Local	30	0	1	0	1	1	421	1	
