Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	Gs	SS		Gs	SS		
cong	1.00	1.00	1.00	1.00	1.00	1.00	1.00
incong	1.00	0.94	0.97	1.00	0.94	0.97	0.97
Grand Total	1.00	0.97	0.98	1.00	0.97	0.98	0.98
							
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	1.00	1.00	0.94	1.00	1.00	1.00	0.94
530.70	496.10	523.50	615.30	502.00	579.00	503.80	619.70
							
							
							
rt	SDev	CCor	UCor				
530.7	122.6	16	16	0	0	0	
496.1	70.72	16	16	0	0	1	
523.5	116.8	16	16	0	1	0	
615.3	90.71	15	15	0	1	1	
502	72.35	15	16	1	0	0	
579	120.2	15	16	1	0	1	
503.8	85.33	15	16	1	1	0	
619.7	135.3	15	15	1	1	1	
