SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ta108	Global	1	1	1	1	1	1	150	0	
ta108	Global	2	1	0	1	0	1	734	1	
ta108	Global	3	1	1	0	1	0	674	1	
ta108	Global	4	1	1	1	0	0	495	1	
ta108	Global	5	1	1	0	0	0	329	1	
ta108	Global	6	1	0	0	0	1	487	1	
ta108	Global	7	1	0	0	1	0	663	1	
ta108	Global	8	1	0	1	1	0	515	1	
ta108	Global	9	1	1	1	1	1	590	1	
ta108	Global	10	1	0	1	0	0	570	1	
ta108	Global	11	1	1	1	0	1	796	1	
ta108	Global	12	1	0	1	1	1	696	1	
ta108	Global	13	1	1	1	1	1	489	1	
ta108	Global	14	1	1	0	0	0	481	1	
ta108	Global	15	1	0	0	0	0	625	1	
ta108	Global	16	1	0	0	0	1	490	1	
ta108	Global	17	1	0	1	0	1	522	1	
ta108	Global	18	1	1	0	1	0	591	1	
ta108	Global	19	1	0	0	0	0	523	1	
ta108	Global	20	1	1	1	0	0	576	1	
ta108	Global	21	1	0	1	1	0	666	1	
ta108	Global	22	1	0	1	0	1	663	1	
ta108	Global	23	1	1	1	0	0	675	1	
ta108	Global	24	1	0	0	1	0	489	1	
ta108	Global	25	1	0	0	0	0	385	1	
ta108	Global	26	1	0	0	1	0	381	1	
ta108	Global	27	1	1	1	1	0	618	1	
ta108	Global	28	1	0	1	1	1	625	1	
ta108	Global	29	1	0	0	1	1	474	1	
ta108	Global	30	1	0	0	1	0	656	1	
ta108	Global	31	1	0	0	0	0	420	1	
ta108	Global	32	1	1	0	1	1	708	1	
ta108	Local	1	1	0	1	1	1	150	0	
ta108	Local	2	1	0	1	0	1	702	1	
ta108	Local	3	1	1	1	0	1	615	1	
ta108	Local	4	1	1	0	1	1	469	1	
ta108	Local	5	1	1	0	0	1	492	1	
ta108	Local	6	1	0	0	1	1	380	1	
ta108	Local	7	1	0	0	1	0	537	1	
ta108	Local	8	1	0	1	0	0	695	1	
ta108	Local	9	1	1	1	1	0	560	1	
ta108	Local	10	1	0	0	1	0	465	1	
ta108	Local	11	1	0	1	1	0	399	1	
ta108	Local	12	1	1	0	0	1	462	1	
ta108	Local	13	1	0	1	0	0	698	1	
ta108	Local	14	1	0	0	1	1	643	1	
ta108	Local	15	1	0	0	0	0	517	1	
ta108	Local	16	1	1	1	0	0	937	1	
ta108	Local	17	1	1	1	1	0	644	1	
ta108	Local	18	1	0	1	0	0	678	1	
ta108	Local	19	1	1	0	0	1	499	1	
ta108	Local	20	1	0	1	0	0	661	1	
ta108	Local	21	1	1	0	0	0	473	1	
ta108	Local	22	1	1	1	1	1	575	1	
ta108	Local	23	1	1	1	0	0	689	1	
ta108	Local	24	1	0	0	0	1	665	1	
ta108	Local	25	1	0	0	1	0	860	1	
ta108	Local	26	1	0	0	1	1	639	1	
ta108	Local	27	1	1	1	1	1	577	1	
ta108	Local	28	1	1	0	0	1	475	1	
ta108	Local	29	1	0	1	1	1	450	1	
ta108	Local	30	1	0	0	1	1	447	1	
ta108	Local	31	1	0	0	0	1	394	1	
ta108	Local	32	1	0	1	1	1	416	1	
ta108	Global	1	0	1	0	0	0	488	1	
ta108	Global	2	0	1	1	1	1	585	1	
ta108	Global	3	0	1	1	0	1	644	1	
ta108	Global	4	0	0	1	0	0	462	1	
ta108	Global	5	0	1	0	0	0	403	1	
ta108	Global	6	0	1	0	1	0	378	1	
ta108	Global	7	0	1	0	1	1	446	1	
ta108	Global	8	0	0	1	0	1	466	1	
ta108	Global	9	0	1	1	0	0	432	1	
ta108	Global	10	0	0	1	0	0	610	1	
ta108	Global	11	0	1	1	1	0	441	1	
ta108	Global	12	0	0	1	1	1	460	1	
ta108	Global	13	0	0	1	1	0	457	1	
ta108	Global	14	0	0	1	0	1	478	1	
ta108	Global	15	0	1	0	1	1	524	1	
ta108	Global	16	0	1	1	1	1	545	1	
ta108	Global	17	0	1	0	0	0	512	1	
ta108	Global	18	0	1	1	1	0	483	1	
ta108	Global	19	0	1	0	0	1	564	1	
ta108	Global	20	0	0	1	1	1	572	1	
ta108	Global	21	0	1	1	1	0	438	1	
ta108	Global	22	0	0	1	0	0	425	1	
ta108	Global	23	0	1	0	0	1	523	1	
ta108	Global	24	0	1	0	0	0	552	1	
ta108	Global	25	0	1	0	1	1	760	1	
ta108	Global	26	0	0	1	0	0	440	1	
ta108	Global	27	0	0	0	0	0	843	1	
ta108	Global	28	0	1	0	1	1	444	1	
ta108	Global	29	0	1	0	1	1	511	1	
ta108	Global	30	0	1	0	0	0	611	1	
ta108	Global	31	0	1	0	1	1	497	1	
ta108	Global	32	0	1	0	1	0	435	1	
ta108	Local	1	0	0	1	0	1	1106	1	
ta108	Local	2	0	0	1	1	0	857	1	
ta108	Local	3	0	0	0	1	0	564	1	
ta108	Local	4	0	1	0	1	1	580	1	
ta108	Local	5	0	0	0	0	0	528	1	
ta108	Local	6	0	0	1	1	0	557	1	
ta108	Local	7	0	0	0	0	0	397	1	
ta108	Local	8	0	1	0	1	1	515	1	
ta108	Local	9	0	0	1	1	1	703	1	
ta108	Local	10	0	1	0	1	0	464	1	
ta108	Local	11	0	1	1	1	0	468	1	
ta108	Local	12	0	0	1	1	0	491	1	
ta108	Local	13	0	0	0	0	0	427	1	
ta108	Local	14	0	1	1	1	0	357	1	
ta108	Local	15	0	0	0	1	1	542	1	
ta108	Local	16	0	0	0	0	0	445	1	
ta108	Local	17	0	0	1	0	1	640	1	
ta108	Local	18	0	1	1	1	1	682	1	
ta108	Local	19	0	0	0	0	0	473	1	
ta108	Local	20	0	0	1	1	1	584	1	
ta108	Local	21	0	1	1	0	0	532	1	
ta108	Local	22	0	0	1	0	1	569	1	
ta108	Local	23	0	1	0	0	1	475	1	
ta108	Local	24	0	0	0	1	0	457	1	
ta108	Local	25	0	1	1	0	1	534	1	
ta108	Local	26	0	1	0	0	0	667	1	
ta108	Local	27	0	1	1	0	1	489	1	
ta108	Local	28	0	0	1	0	1	537	1	
ta108	Local	29	0	0	0	1	1	432	1	
ta108	Local	30	0	1	0	0	0	564	1	
ta108	Local	31	0	0	1	0	0	685	1	
ta108	Local	32	0	1	0	1	1	844	1	
