SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
tb129	Global	1	0	1	0	1	1	472	1	
tb129	Global	2	0	0	1	0	1	535	1	
tb129	Global	3	0	1	0	0	0	380	1	
tb129	Global	4	0	1	0	1	1	697	1	
tb129	Global	5	0	1	1	0	1	633	1	
tb129	Global	6	0	1	0	1	1	642	1	
tb129	Global	7	0	0	0	0	0	564	1	
tb129	Global	8	0	0	1	1	1	564	1	
tb129	Global	9	0	1	0	0	1	574	1	
tb129	Global	10	0	1	1	1	0	536	1	
tb129	Global	11	0	0	0	1	1	503	1	
tb129	Global	12	0	1	0	1	1	649	1	
tb129	Global	13	0	1	1	0	1	579	1	
tb129	Global	14	0	0	0	1	0	583	1	
tb129	Global	15	0	0	1	1	0	602	1	
tb129	Global	16	0	1	0	0	0	568	1	
tb129	Global	17	0	0	1	0	0	522	1	
tb129	Global	18	0	0	1	0	1	495	1	
tb129	Global	19	0	1	0	0	1	568	1	
tb129	Global	20	0	1	1	0	1	610	1	
tb129	Global	21	0	0	0	1	0	793	1	
tb129	Global	22	0	0	1	0	0	428	1	
tb129	Global	23	0	1	1	1	0	485	1	
tb129	Global	24	0	0	0	0	0	550	1	
tb129	Global	25	0	1	1	0	0	484	1	
tb129	Global	26	0	0	1	1	0	541	1	
tb129	Global	27	0	1	0	1	0	347	1	
tb129	Global	28	0	0	0	0	1	427	1	
tb129	Global	29	0	0	1	1	1	437	1	
tb129	Global	30	0	0	1	1	0	464	1	
tb129	Global	31	0	0	0	0	1	462	1	
tb129	Global	32	0	0	1	1	1	427	1	
tb129	Local	1	0	0	0	0	0	1039	1	
tb129	Local	2	0	1	1	0	0	703	1	
tb129	Local	3	0	1	0	1	1	679	1	
tb129	Local	4	0	1	0	0	1	638	1	
tb129	Local	5	0	0	0	0	0	537	1	
tb129	Local	6	0	1	1	1	0	807	1	
tb129	Local	7	0	1	0	1	1	532	1	
tb129	Local	8	0	1	1	0	1	785	1	
tb129	Local	9	0	0	1	1	1	555	1	
tb129	Local	10	0	1	1	1	1	644	1	
tb129	Local	11	0	1	1	1	0	622	1	
tb129	Local	12	0	0	0	1	0	437	1	
tb129	Local	13	0	1	0	1	0	472	1	
tb129	Local	14	0	0	0	1	1	622	1	
tb129	Local	15	0	0	1	0	1	431	1	
tb129	Local	16	0	1	1	1	0	753	1	
tb129	Local	17	0	0	1	1	1	664	1	
tb129	Local	18	0	1	0	0	1	468	1	
tb129	Local	19	0	1	0	0	0	426	1	
tb129	Local	20	0	0	1	1	1	516	1	
tb129	Local	21	0	0	1	0	1	511	1	
tb129	Local	22	0	1	0	0	1	483	1	
tb129	Local	23	0	1	1	0	0	563	1	
tb129	Local	24	0	1	1	1	1	515	1	
