SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
te131	Global	1	0	0	1	0	1	849	1	
te131	Global	2	0	1	0	1	1	490	1	
te131	Global	3	0	1	1	1	1	539	1	
te131	Global	4	0	1	0	0	1	385	1	
te131	Global	5	0	1	1	0	0	430	1	
te131	Global	6	0	0	1	1	1	576	1	
te131	Global	7	0	1	0	1	1	578	1	
te131	Global	8	0	0	1	1	0	548	1	
te131	Global	9	0	0	1	0	1	690	1	
te131	Global	10	0	1	1	1	1	417	1	
te131	Global	11	0	1	1	1	0	601	1	
te131	Global	12	0	1	0	0	0	519	1	
te131	Global	13	0	0	1	1	0	698	1	
te131	Global	14	0	1	0	0	1	563	1	
te131	Global	15	0	0	1	1	1	715	1	
te131	Global	16	0	0	0	1	1	478	1	
te131	Global	17	0	1	1	0	0	508	1	
te131	Global	18	0	0	0	1	0	479	1	
te131	Global	19	0	0	0	1	0	608	1	
te131	Global	20	0	1	1	0	0	423	1	
te131	Global	21	0	0	1	0	1	576	1	
te131	Global	22	0	1	1	0	1	150	0	
te131	Global	23	0	0	0	0	1	601	1	
te131	Global	24	0	1	0	1	0	462	1	
te131	Global	25	0	1	0	0	0	379	1	
te131	Global	26	0	0	1	1	1	584	1	
te131	Global	27	0	0	0	0	0	443	1	
te131	Global	28	0	1	0	1	1	511	1	
te131	Global	29	0	0	0	0	0	426	1	
te131	Global	30	0	0	0	1	1	452	1	
te131	Global	31	0	1	1	0	1	673	1	
te131	Global	32	0	1	0	0	1	526	1	
te131	Local	1	0	1	0	1	1	855	1	
te131	Local	2	0	1	0	0	1	553	1	
te131	Local	3	0	0	1	1	0	642	1	
te131	Local	4	0	1	1	0	0	564	1	
te131	Local	5	0	1	0	1	0	500	1	
te131	Local	6	0	1	0	1	1	822	1	
te131	Local	7	0	1	0	0	0	596	1	
te131	Local	8	0	1	1	1	0	753	1	
te131	Local	9	0	0	0	1	0	512	1	
te131	Local	10	0	1	0	0	1	900	1	
te131	Local	11	0	0	1	1	1	723	1	
te131	Local	12	0	0	0	0	0	823	1	
te131	Local	13	0	1	1	1	0	767	1	
te131	Local	14	0	1	0	0	1	584	1	
te131	Local	15	0	1	0	1	0	555	1	
te131	Local	16	0	0	1	0	0	556	1	
te131	Local	17	0	0	0	0	1	588	1	
te131	Local	18	0	1	0	1	0	592	1	
te131	Local	19	0	1	0	0	1	835	1	
te131	Local	20	0	0	1	1	0	675	1	
te131	Local	21	0	1	0	1	0	640	1	
te131	Local	22	0	1	1	0	0	690	1	
te131	Local	23	0	1	1	1	0	570	1	
te131	Local	24	0	1	1	0	1	580	1	
te131	Local	25	0	1	1	0	0	559	1	
te131	Local	26	0	0	1	0	0	591	1	
te131	Local	27	0	0	0	1	0	435	1	
te131	Local	28	0	1	1	1	0	637	1	
te131	Local	29	0	1	0	0	0	383	1	
te131	Local	30	0	0	1	1	0	492	1	
te131	Local	31	0	1	1	0	0	492	1	
te131	Local	32	0	0	1	0	1	652	1	
te131	Global	1	1	0	0	1	0	1058	1	
te131	Global	2	1	1	1	1	1	651	1	
te131	Global	3	1	0	1	0	0	871	1	
te131	Global	4	1	1	1	1	1	628	1	
te131	Global	5	1	1	1	0	0	556	1	
te131	Global	6	1	1	0	1	0	869	1	
te131	Global	7	1	1	1	1	0	713	1	
te131	Global	8	1	0	1	0	1	987	1	
te131	Global	9	1	1	1	0	0	725	1	
te131	Global	10	1	0	1	1	0	609	1	
te131	Global	11	1	1	0	0	1	408	1	
te131	Global	12	1	0	0	0	1	648	1	
te131	Global	13	1	1	0	0	1	754	1	
te131	Global	14	1	0	1	0	0	961	1	
te131	Global	15	1	1	0	0	0	783	1	
te131	Global	16	1	1	0	1	0	586	1	
te131	Global	17	1	0	0	0	0	557	1	
te131	Global	18	1	1	0	1	0	422	1	
te131	Global	19	1	1	0	1	0	391	1	
te131	Global	20	1	0	0	0	0	388	1	
te131	Global	21	1	0	0	0	1	713	1	
te131	Global	22	1	0	1	1	1	691	1	
te131	Global	23	1	0	1	1	0	562	1	
te131	Global	24	1	0	0	1	0	419	1	
te131	Global	25	1	1	1	0	0	443	1	
te131	Global	26	1	0	0	1	1	470	1	
te131	Global	27	1	1	0	1	1	396	1	
te131	Global	28	1	0	1	0	0	555	1	
te131	Global	29	1	1	1	1	0	627	1	
te131	Global	30	1	1	1	0	0	596	1	
te131	Global	31	1	1	0	0	1	609	1	
te131	Global	32	1	0	1	1	1	720	1	
te131	Local	1	1	1	1	0	0	726	1	
te131	Local	2	1	0	1	0	0	690	1	
te131	Local	3	1	1	0	0	0	409	1	
te131	Local	4	1	0	1	0	1	993	1	
te131	Local	5	1	0	0	1	0	474	1	
te131	Local	6	1	1	1	1	0	745	1	
te131	Local	7	1	1	1	1	1	623	1	
te131	Local	8	1	1	1	0	0	687	1	
te131	Local	9	1	0	0	1	1	566	1	
te131	Local	10	1	1	0	1	1	648	1	
te131	Local	11	1	0	1	1	1	530	1	
te131	Local	12	1	1	0	1	0	487	1	
te131	Local	13	1	1	0	0	0	360	1	
te131	Local	14	1	1	0	1	0	425	1	
te131	Local	15	1	0	0	0	1	627	1	
te131	Local	16	1	1	0	0	1	555	1	
te131	Local	17	1	1	1	0	1	500	1	
te131	Local	18	1	1	0	0	0	445	1	
te131	Local	19	1	0	0	0	0	433	1	
te131	Local	20	1	0	1	1	0	458	1	
te131	Local	21	1	1	1	1	0	535	1	
te131	Local	22	1	1	0	0	0	532	1	
te131	Local	23	1	0	1	0	1	641	1	
te131	Local	24	1	0	1	0	1	547	1	
te131	Local	25	1	1	0	1	1	722	1	
te131	Local	26	1	0	1	1	1	517	1	
te131	Local	27	1	0	0	1	0	480	1	
te131	Local	28	1	0	1	1	0	664	1	
te131	Local	29	1	0	0	1	0	556	1	
te131	Local	30	1	0	0	0	1	564	1	
te131	Local	31	1	0	1	0	1	565	1	
te131	Local	32	1	1	1	1	1	583	1	
