SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ttq102	Global	1	1	0	1	1	0	1223	1	
ttq102	Global	2	1	0	0	0	1	1219	1	
ttq102	Global	3	1	0	0	0	1	886	1	
ttq102	Global	4	1	1	1	0	0	1028	1	
ttq102	Global	5	1	0	0	0	1	1131	1	
ttq102	Global	6	1	1	1	1	0	1036	1	
ttq102	Global	7	1	1	1	1	1	1267	1	
ttq102	Global	8	1	1	0	1	0	1019	1	
ttq102	Global	9	1	0	1	1	1	1232	1	
ttq102	Global	10	1	0	1	0	1	957	1	
ttq102	Global	11	1	0	0	0	1	668	1	
ttq102	Global	12	1	0	0	0	1	865	1	
ttq102	Global	13	1	1	0	1	1	668	1	
ttq102	Global	14	1	0	1	0	0	1417	1	
ttq102	Global	15	1	0	1	0	0	796	1	
ttq102	Global	16	1	0	0	1	0	744	1	
ttq102	Global	17	1	1	0	0	1	798	1	
ttq102	Global	18	1	0	0	0	0	1410	1	
ttq102	Global	19	1	0	1	1	0	755	1	
ttq102	Global	20	1	1	1	1	0	562	1	
ttq102	Global	21	1	0	1	1	0	554	1	
ttq102	Global	22	1	0	1	0	1	939	1	
ttq102	Global	23	1	0	0	1	0	727	1	
ttq102	Global	24	1	0	1	1	1	891	1	
ttq102	Global	25	1	0	0	1	0	1345	1	
ttq102	Global	26	1	0	1	0	0	684	1	
ttq102	Global	27	1	0	0	1	0	627	1	
ttq102	Global	28	1	1	0	1	1	620	1	
ttq102	Global	29	1	0	0	1	1	970	1	
ttq102	Global	30	1	1	0	0	1	562	1	
ttq102	Global	31	1	1	1	0	1	1203	1	
ttq102	Global	32	1	1	1	0	1	933	1	
ttq102	Local	1	1	1	1	0	1	1149	1	
ttq102	Local	2	1	1	1	1	0	753	1	
ttq102	Local	3	1	0	0	0	0	672	1	
ttq102	Local	4	1	0	0	0	1	765	1	
ttq102	Local	5	1	0	0	1	0	725	1	
ttq102	Local	6	1	0	1	1	0	737	1	
ttq102	Local	7	1	0	1	0	0	540	1	
ttq102	Local	8	1	1	1	0	1	739	1	
ttq102	Local	9	1	1	0	0	1	745	1	
ttq102	Local	10	1	1	0	1	1	695	1	
ttq102	Local	11	1	1	0	0	1	431	1	
ttq102	Local	12	1	1	1	0	1	529	1	
ttq102	Local	13	1	0	1	0	0	670	1	
ttq102	Local	14	1	0	1	1	1	603	1	
ttq102	Local	15	1	0	0	0	1	545	1	
ttq102	Local	16	1	1	1	0	0	623	1	
ttq102	Local	17	1	1	1	1	0	528	1	
ttq102	Local	18	1	0	0	1	0	533	1	
ttq102	Local	19	1	0	1	1	1	1066	1	
ttq102	Local	20	1	0	0	1	0	620	1	
ttq102	Local	21	1	1	1	1	0	779	1	
ttq102	Local	22	1	0	0	1	1	580	1	
ttq102	Local	23	1	1	0	1	0	1087	1	
ttq102	Local	24	1	0	1	1	1	828	1	
ttq102	Local	25	1	1	0	1	0	524	1	
ttq102	Local	26	1	1	1	1	1	545	1	
ttq102	Local	27	1	0	0	0	1	615	1	
ttq102	Local	28	1	0	1	0	1	582	1	
ttq102	Local	29	1	0	0	0	1	458	1	
ttq102	Local	30	1	1	1	0	0	743	1	
ttq102	Local	31	1	1	0	0	1	620	1	
ttq102	Local	32	1	1	0	1	1	619	1	
ttq102	Global	1	0	0	1	0	0	1216	1	
ttq102	Global	2	0	1	1	0	0	700	1	
ttq102	Global	3	0	0	0	0	0	493	1	
ttq102	Global	4	0	1	0	1	0	533	1	
ttq102	Global	5	0	0	1	0	0	642	1	
ttq102	Global	6	0	1	1	1	0	564	1	
