Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	1.00	1.00	0.94	1.00	0.97	0.98
incong	1.00	0.94	0.97	0.94	1.00	0.97	0.97
Grand Total	1.00	0.97	0.98	0.94	1.00	0.97	0.98
							
							
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	1.00	1.00	0.94	0.94	0.94	1.00	1.00
734.40	743.70	739.70	810.90	757.70	834.40	767.90	812.30
							
							
rt	SDev	CCor	UCor				
734.40	93.96	16	16	0	0	0	
743.70	80.9	15	16	0	0	1	
739.70	91.19	14	16	0	1	0	
810.90	150	15	15	0	1	1	
757.70	72.34	13	15	1	0	0	
834.40	135.1	14	15	1	0	1	
767.90	137.2	16	16	1	1	0	
812.30	124.7	16	16	1	1	1	
