SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
yx85	Global	1	0	1	1	1	1	1477	1	
yx85	Global	2	0	1	0	0	1	870	1	
yx85	Global	3	0	0	0	0	0	762	1	
yx85	Global	4	0	0	1	1	0	610	1	
yx85	Global	5	0	1	1	1	1	824	1	
yx85	Global	6	0	0	1	0	0	552	1	
yx85	Global	7	0	1	1	1	1	1040	1	
yx85	Global	8	0	1	0	1	1	616	1	
yx85	Global	9	0	1	0	1	1	519	1	
yx85	Global	10	0	1	1	1	0	891	1	
yx85	Global	11	0	1	0	0	0	577	1	
yx85	Global	12	0	0	1	1	0	579	1	
yx85	Global	13	0	0	0	1	1	1541	1	
yx85	Global	14	0	1	0	0	0	564	1	
yx85	Global	15	0	0	1	0	0	597	1	
yx85	Global	16	0	1	1	0	0	514	1	
yx85	Global	17	0	0	1	0	0	469	1	
yx85	Global	18	0	1	0	1	0	388	1	
yx85	Global	19	0	0	0	0	1	1161	1	
yx85	Global	20	0	1	1	1	1	1110	1	
yx85	Global	21	0	1	1	0	1	676	1	
yx85	Global	22	0	0	0	0	0	850	1	
yx85	Global	23	0	0	0	1	0	587	1	
yx85	Global	24	0	0	1	1	1	782	1	
yx85	Global	25	0	0	1	0	1	681	1	
yx85	Global	26	0	1	1	0	1	568	1	
yx85	Global	27	0	0	1	0	1	578	1	
yx85	Global	28	0	1	0	1	0	676	1	
yx85	Global	29	0	1	0	1	0	569	1	
yx85	Global	30	0	0	0	1	1	819	1	
yx85	Global	31	0	0	0	0	1	697	1	
yx85	Global	32	0	1	0	0	0	578	1	
yx85	Local	1	0	1	1	1	1	5932	1	
yx85	Local	2	0	1	0	0	1	1656	1	
yx85	Local	3	0	1	0	1	1	1175	1	
yx85	Local	4	0	1	1	1	0	1573	1	
yx85	Local	5	0	1	1	1	1	938	1	
yx85	Local	6	0	0	0	0	0	919	1	
yx85	Local	7	0	1	1	0	0	768	1	
yx85	Local	8	0	0	1	1	1	1161	1	
yx85	Local	9	0	1	0	1	0	646	1	
yx85	Local	10	0	0	1	0	0	920	1	
yx85	Local	11	0	1	1	1	1	1089	1	
yx85	Local	12	0	1	0	1	1	1030	1	
yx85	Local	13	0	1	1	1	0	733	1	
yx85	Local	14	0	0	1	1	1	889	1	
yx85	Local	15	0	0	0	1	0	647	1	
yx85	Local	16	0	0	1	0	0	881	1	
yx85	Local	17	0	1	0	1	0	679	1	
yx85	Local	18	0	0	0	0	0	532	1	
yx85	Local	19	0	1	0	0	1	769	1	
yx85	Local	20	0	1	0	0	0	666	1	
yx85	Local	21	0	0	1	0	1	936	1	
yx85	Local	22	0	1	1	0	1	771	1	
yx85	Local	23	0	0	0	1	0	700	1	
yx85	Local	24	0	1	0	1	0	668	1	
yx85	Local	25	0	1	1	0	0	754	1	
yx85	Local	26	0	0	1	0	1	849	1	
yx85	Local	27	0	1	0	1	0	970	1	
yx85	Local	28	0	1	0	0	1	810	1	
yx85	Local	29	0	1	0	0	0	640	1	
yx85	Local	30	0	0	1	0	1	826	1	
yx85	Local	31	0	0	1	1	0	785	1	
yx85	Local	32	0	0	0	0	1	828	1	
yx85	Global	1	1	0	1	1	0	1440	1	
yx85	Global	2	1	0	1	0	0	876	1	
yx85	Global	3	1	1	0	1	1	936	1	
yx85	Global	4	1	1	0	1	1	875	1	
yx85	Global	5	1	1	0	0	1	623	1	
yx85	Global	6	1	0	0	1	1	664	1	
yx85	Global	7	1	1	1	1	1	692	1	
yx85	Global	8	1	0	0	0	0	827	1	
yx85	Global	9	1	1	0	0	1	842	1	
yx85	Global	10	1	0	1	1	1	651	1	
yx85	Global	11	1	0	0	0	1	511	1	
yx85	Global	12	1	1	0	1	0	731	1	
yx85	Global	13	1	0	1	0	1	895	1	
yx85	Global	14	1	0	1	1	0	758	1	
yx85	Global	15	1	0	1	0	1	990	1	
yx85	Global	16	1	0	0	1	1	615	1	
yx85	Global	17	1	1	1	0	0	758	1	
yx85	Global	18	1	0	0	0	0	1725	1	
yx85	Global	19	1	1	0	1	1	834	1	
yx85	Global	20	1	1	1	0	0	1122	1	
yx85	Global	21	1	1	1	1	1	970	1	
yx85	Global	22	1	1	0	0	1	1618	1	
yx85	Global	23	1	0	1	1	0	659	1	
yx85	Global	24	1	1	0	0	1	1415	1	
yx85	Global	25	1	1	0	1	1	506	1	
yx85	Global	26	1	0	0	0	1	491	1	
yx85	Global	27	1	0	0	1	0	660	1	
yx85	Global	28	1	1	1	0	0	639	1	
yx85	Global	29	1	0	1	1	0	706	1	
yx85	Global	30	1	1	1	1	1	714	1	
yx85	Global	31	1	0	1	0	0	717	1	
yx85	Global	32	1	0	1	0	0	1319	1	
yx85	Local	1	1	1	0	0	0	806	1	
yx85	Local	2	1	1	1	0	1	810	1	
yx85	Local	3	1	0	1	0	0	776	1	
yx85	Local	4	1	0	1	1	0	625	1	
yx85	Local	5	1	1	0	0	0	490	1	
yx85	Local	6	1	0	1	0	0	450	1	
yx85	Local	7	1	1	1	1	0	583	1	
yx85	Local	8	1	1	0	0	1	1066	1	
yx85	Local	9	1	0	1	0	0	644	1	
yx85	Local	10	1	0	0	1	1	686	1	
yx85	Local	11	1	0	1	1	1	901	1	
yx85	Local	12	1	1	1	1	0	613	1	
yx85	Local	13	1	0	0	0	1	844	1	
yx85	Local	14	1	1	1	0	1	581	1	
yx85	Local	15	1	1	0	0	1	457	1	
yx85	Local	16	1	1	1	0	0	630	1	
yx85	Local	17	1	1	1	1	1	662	1	
yx85	Local	18	1	1	1	1	0	594	1	
yx85	Local	19	1	0	1	1	0	543	1	
yx85	Local	20	1	1	0	1	0	470	1	
yx85	Local	21	1	1	0	1	1	932	1	
yx85	Local	22	1	0	1	1	1	791	1	
yx85	Local	23	1	1	0	1	0	746	1	
yx85	Local	24	1	1	0	1	1	639	1	
yx85	Local	25	1	1	1	0	1	1098	1	
yx85	Local	26	1	0	0	1	0	728	1	
yx85	Local	27	1	0	1	0	0	580	1	
yx85	Local	28	1	1	0	1	1	640	1	
yx85	Local	29	1	0	0	1	0	570	1	
yx85	Local	30	1	0	0	0	1	788	1	
yx85	Local	31	1	1	0	0	1	2471	1	
yx85	Local	32	1	1	0	0	1	633	1	
